content,username,device,date,title
The phone itself is very good however the battery life just like any other smartphone as awful as long as you get an external battery case such as a power bear or something else that you can charge it while using it it worked wonderfully lots of nice features,Iggy18a,Samsung Galaxy S7,2017-04-24,"Easy transition, great phone."
It does everything I expect. It is easier to use than the mini droid I was using. Now all I have to do is figure out what all it can do. If I can't figure it out I will make contact or check on website.,Joel64,Samsung Galaxy S7,2017-03-20,"Good features and expecially battery life. Stays charged for two days or longer, depending how I'm using it."
"I use this phone for my work - texting, google maps, internet, etc. Work and I do alot of texting back and forth.",Sarah57,Samsung Galaxy S7,2017-03-20,Easy to use. Just like my old phone.
"Loving my new phone, the camera takes awesome pictures. I also really like the finger print sign in. Over all I'm enjoying my new phone.",JenniZ,Samsung Galaxy S7,2017-03-20,Does everything as advertised and more
"I have had nothing but iPhones for many yeats, so the transition over to an android was a huge step for me. I was amazed at how easy to use this phone really is. The apps are easy to locate and download. The storage is huge and the camera is crystal clear. I am still in awe and have shown all of my iPhone using friends how fast and easy this phone is. I'm hooked forever!!",Terri Bug,Samsung Galaxy S7,2017-03-20,This phone is so easy to use. I absolutely love it and highly recommend this phone to everyone.
Excellent service and I have no been with Verizon long enough to determine if my satisfaction will continue. Hope I will continue to receive good service and will enjoy our relationship for years to come.,skeeter14,Samsung Galaxy S7,2017-03-20,"Great features, and long battery life."
My son loves his new phone. He's very glad to have a phone that works. Thank you for great customer service!,Kawilcoxes,Samsung Galaxy S7,2017-03-20,Great
I like fact that you can chose to let members of group conversation see responses. Like when I delete e=mails on phone it deletes from my computer. Old phone didn't do that.,karenk2208,Samsung Galaxy S7,2017-03-20,New Galaxy Phone
Very easy to use I've only had this phone a few weeks but the ease of use after owning the S5 for years... upgrading was definitely to my advantage,VILI60,Samsung Galaxy S7,2017-03-20,Great Phone
"a big upgrade for me and im completely satisfied with. phone is very fast, plenty of awesome features with a good design. waterproof.",abrooks92,Samsung Galaxy S7,2017-03-20,very fast and nice features
I really love this phone it's fast and the picture on it is so clear the processing on it is very fast.,mrstoneman2013,Samsung Galaxy S7,2017-03-20,Awesome phone
"Easy, light, and just the right size to handle. Apps are quick to load and easy to find on pages. The color selection is also a positive for those who don't want just a black phone.",bert1125,Samsung Galaxy S7,2017-03-19,Very easy to operate. Only a few system apps were installed. Great phone!!
"I love all the new features it has and so more up to date then my old one , I like the new style easy to hold in your hand and also takes beautiful pictures .",iih2trouble,Samsung Galaxy S7,2017-03-19,Love my new s7 phone
Samsung has gone above and beyond other phones. They can not compete with Samsung. Easy to understand and easily communicates/integrates with other operating systems.,datennant,Samsung Galaxy S7,2017-03-20,Easy transition because rep transferred everything over. This is big in my book.
Camera isn't as good as I wanted it to be but still better then my iPhone! Over all I really love the phone !,Jennifermarie1121,Samsung Galaxy S7,2017-04-24,Awesome
"The Galaxy S7 was a perfect upgrade from my previous phone, a Galaxy S4. The operating system is easy to navigate and similar enough to the previous versions that it was not hard to adjust to at all. And the battery life is so much better!!",Jules8613,Samsung Galaxy S7,2017-03-17,Great upgrade!
The phone and video is great. The phone is fast. The sound is clear. It is a great phone. I love it and how it works!!!,Chinaluv,Samsung Galaxy S7,2017-03-17,Love it!
I love everything about my new Samsung Galaxy S7. It's a good phone with great features. I like the sleek design of the phone.,missprettyncurvy,Samsung Galaxy S7,2017-03-20,Great phone
"Sooooooooo much better than the Droid turbo 2 which was suggested for my last phone! Disappointed by that suggestion from the Waterloo store, assured me it was just like my Galaxy",Chelsbai,Samsung Galaxy S7,2017-04-24,Galaxy S7
"Sill getting to know the phone but I am very impressed thusfar. Just transitioned to Nougat, no manual available yet, so learning as I go.",johnny lu,Samsung Galaxy S7,2017-03-17,Getting to know Nougat
My friends told me I would regret waiting so long to upgrade...now I know they were right. I love the phone...all aspects and features.,Poohbear54,Samsung Galaxy S7,2017-03-17,My New Galaxy 7
"I've had the phone about 2 weeks now, and I'm very happy that I went with this phone. The colors are sharp. The battery lasts all day, even when traveling and using it. The Gold color is gorgeous! It was VERY simple to transfer all of my old phone to this one, even with switching carriers, I was extremely impressed with that part. I had considered the Edge, but went with this one because I can be a tad clumsy and I'm glad that I did because I've already dropped this one and not caused any damage to it. I have a simple case for it (because it matches the phone) and the InvisiGlass(?) front screen cover, but that's it. Overall, this is an awesome phone!",MsSoftailDC,Samsung Galaxy S7,2017-03-17,Definitely worth the money
Best phone I've ever owned! Prior to purchasing the S7 I owned the S5 and I am equally satisfied with both products!,Pocket computer,Samsung Galaxy S7,2017-04-24,I'm pleased with my phone but the only concern I have is that it shut off twice by itself
My grandaughter talked me into getting this phone and I really glad she did. I'm still learning how to use it but I love it.,Hopefully,Samsung Galaxy S7,2017-03-17,Best purchase ever
I like Samsung products much more than my previous product. This phone is fast and doesn't lag in any way. Perfect for what I use it for.,Brendiann14,Samsung Galaxy S7,2017-03-17,Good product
"love the phone, works great, looks terrific. Way better than the phone I had before and I liked it a lot.",S7 in Missouri,Samsung Galaxy S7,2017-03-17,S&
