"Hospital.Name","Hospital.Type","Address","label","State","ZIP.Code","Emergency.Services","Hospital.overall.rating","count","city_matched","Population2010","Geolocation","ACCESS2_AdjPrev","ARTHRITIS_AdjPrev","BINGE_AdjPrev","BPHIGH_AdjPrev","BPMED_AdjPrev","CANCER_AdjPrev","CASTHMA_AdjPrev","CHD_AdjPrev","CHECKUP_AdjPrev","CHOLSCREEN_AdjPrev","COLON_SCREEN_AdjPrev","COPD_AdjPrev","COREM_AdjPrev","COREW_AdjPrev","CSMOKING_AdjPrev","DENTAL_AdjPrev","DIABETES_AdjPrev","HIGHCHOL_AdjPrev","KIDNEY_AdjPrev","LPA_AdjPrev","MAMMOUSE_AdjPrev","MHLTH_AdjPrev","OBESITY_AdjPrev","PAPTEST_AdjPrev","PHLTH_AdjPrev","SLEEP_AdjPrev","STROKE_AdjPrev","TEETHLOST_AdjPrev","owner_tri","PlaceName","f_address.x","long.x","lati.x","f_address.y","long.y","lati.y"
"CHILDREN'S HOSPITAL OF ALABAMA","Childrens","1600 SEVENTH AVENUE SOUTH","Birmingham, AL","AL",35233,"true",NA,1,"birmingham",212237,"(33.52756637730, -86.7988174678)",21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22,49.1,16.1,35.4,3.3,31.7,79.7,17,39,80.1,18.3,46.9,5,25.9,"Non-profit","Birmingham","1600 SEVENTH AVENUE SOUTH Birmingham AL 35233",-86.8050753,33.5041025,"1600 SEVENTH AVENUE SOUTH Birmingham AL 35233",-86.8050753,33.5041025
"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","Childrens","1700 CENTER STREET","Mobile, AL","AL",36604,"true",NA,1,"mobile",195111,"(30.67762486480, -88.1184482714)",19.1,31.8,12.8,43,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"Government","Mobile","1700 CENTER STREET Mobile AL 36604",-88.0728409,30.695229,"1700 CENTER STREET Mobile AL 36604",-88.0728409,30.695229
"ABRAZO MARYVALE CAMPUS","Acute Care Hospitals","5102 WEST CAMPBELL AVENUE","Phoenix, AZ","AZ",85031,"true",2,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Proprietary","Phoenix","5102 WEST CAMPBELL AVENUE Phoenix AZ 85031",-112.2810358,33.5018743,"5102 WEST CAMPBELL AVENUE Phoenix AZ 85031",-112.2810358,33.5018743
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","Acute Care Hospitals","1111 EAST MCDOWELL ROAD","Phoenix, AZ","AZ",85006,"true",3,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Non-profit","Phoenix","1111 EAST MCDOWELL ROAD Phoenix AZ 85006",-112.0579565,33.4649397,"1111 EAST MCDOWELL ROAD Phoenix AZ 85006",-112.0579565,33.4649397
"TUCSON MEDICAL CENTER","Acute Care Hospitals","5301 EAST GRANT ROAD","Tucson, AZ","AZ",85712,"true",3,1,"tucson",520116,"(32.15672444830, -110.877085494)",20.6,23.8,13.7,29.6,56.2,6,10.4,6.1,62.9,69.9,58,7.4,29.3,30.1,19.2,56.9,10,35,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"Non-profit","Tucson","5301 EAST GRANT ROAD Tucson AZ 85712",-110.878239535043,32.2527126,"5301 EAST GRANT ROAD Tucson AZ 85712",-110.878239535043,32.2527126
"ST. MARY'S HOSPITAL","Acute Care Hospitals","1601 WEST ST MARY'S ROAD","Tucson, AZ","AZ",85745,"true",3,1,"tucson",520116,"(32.15672444830, -110.877085494)",20.6,23.8,13.7,29.6,56.2,6,10.4,6.1,62.9,69.9,58,7.4,29.3,30.1,19.2,56.9,10,35,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"Non-profit","Tucson","1601 WEST ST MARY'S ROAD Tucson AZ 85745",-111.000179234884,32.22744275,"1601 WEST ST MARY'S ROAD Tucson AZ 85745",-111.000179234884,32.22744275
"ST JOSEPH'S HOSPITAL","Acute Care Hospitals","350 NORTH WILMOT ROAD","Tucson, AZ","AZ",85711,"true",3,1,"tucson",520116,"(32.15672444830, -110.877085494)",20.6,23.8,13.7,29.6,56.2,6,10.4,6.1,62.9,69.9,58,7.4,29.3,30.1,19.2,56.9,10,35,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"Non-profit","Tucson","350 NORTH WILMOT ROAD Tucson AZ 85711",-110.854430390772,32.2268626,"350 NORTH WILMOT ROAD Tucson AZ 85711",-110.854430390772,32.2268626
"YUMA REGIONAL MEDICAL CENTER","Acute Care Hospitals","2400 SOUTH AVENUE A","Yuma, AZ","AZ",85364,"true",2,1,"yuma",93064,"(32.59860271170, -114.548368370)",23.6,22.4,15.2,31.7,56.1,5.6,9.4,6.4,62.8,68.1,52.8,7,31.6,24.8,17.7,53.9,11.1,34.5,3.7,24.9,75.2,13.2,33.3,78.7,14,36,3.1,16,"Non-profit","Yuma","2400 SOUTH AVENUE A Yuma AZ 85364",-114.6349416,32.6826354,"2400 SOUTH AVENUE A Yuma AZ 85364",-114.6349416,32.6826354
"JOHN C. LINCOLN MEDICAL CENTER","Acute Care Hospitals","250 EAST DUNLAP AVENUE","Phoenix, AZ","AZ",85020,"true",3,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Non-profit","Phoenix","250 EAST DUNLAP AVENUE Phoenix AZ 85020",-112.070651215529,33.5693168,"250 EAST DUNLAP AVENUE Phoenix AZ 85020",-112.070651215529,33.5693168
"MARICOPA MEDICAL CENTER","Acute Care Hospitals","2601 EAST ROOSEVELT STREET","Phoenix, AZ","AZ",85008,"true",2,NA,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Government","Phoenix","2601 EAST ROOSEVELT STREET Phoenix AZ 85008",-112.0267,33.4568796,"2601 EAST ROOSEVELT STREET Phoenix AZ 85008",-112.0267,33.4568796
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","Acute Care Hospitals","350 WEST THOMAS ROAD","Phoenix, AZ","AZ",85013,"true",3,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Non-profit","Phoenix","350 WEST THOMAS ROAD Phoenix AZ 85013",-112.0793074,33.4811191,"350 WEST THOMAS ROAD Phoenix AZ 85013",-112.0793074,33.4811191
"ABRAZO CENTRAL CAMPUS","Acute Care Hospitals","2000 WEST BETHANY HOME ROAD","Phoenix, AZ","AZ",85015,"true",2,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Proprietary","Phoenix","2000 WEST BETHANY HOME ROAD Phoenix AZ 85015",-112.10184,33.524912,"2000 WEST BETHANY HOME ROAD Phoenix AZ 85015",-112.10184,33.524912
"CHANDLER REGIONAL MEDICAL CENTER","Acute Care Hospitals","1955 WEST FRYE ROAD","Chandler, AZ","AZ",85224,"true",4,NA,"chandler",236123,"(33.28318981000, -111.852210033)",12.3,21.2,16.2,26,54.8,6,9.1,5,66.1,72.8,67,5.3,34.5,35.2,15.3,68,7.7,33.1,3.1,17.4,80.3,10.2,24.5,83.5,9.7,32.9,2.4,9.9,"Non-profit","Chandler","1955 WEST FRYE ROAD Chandler AZ 85224",-111.8746054,33.2973867,"1955 WEST FRYE ROAD Chandler AZ 85224",-111.8746054,33.2973867
"ST LUKE'S MEDICAL CENTER","Acute Care Hospitals","1800 EAST VAN BUREN STREET","Phoenix, AZ","AZ",85006,"true",3,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Proprietary","Phoenix","1800 EAST VAN BUREN STREET Phoenix AZ 85006",-112.04284355,33.4541048,"1800 EAST VAN BUREN STREET Phoenix AZ 85006",-112.04284355,33.4541048
"SCOTTSDALE OSBORN MEDICAL CENTER","Acute Care Hospitals","7400 EAST OSBORN ROAD","Scottsdale, AZ","AZ",85251,"true",3,NA,"scottsdale",217385,"(33.68724936510, -111.865085877)",9.3,20.8,17.1,25.6,54.4,6.3,9,4.7,66.1,73.3,70.1,4.9,37.1,37.7,14,72.3,6.5,33,3,14.6,81.4,9.4,23.2,85.1,8.5,30.8,2.1,7.7,"Proprietary","Scottsdale","7400 EAST OSBORN ROAD Scottsdale AZ 85251",-111.920212782014,33.48849945,"7400 EAST OSBORN ROAD Scottsdale AZ 85251",-111.920212782014,33.48849945
"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","Acute Care Hospitals","1501 NORTH CAMPBELL AVENUE","Tucson, AZ","AZ",85724,"true",1,1,"tucson",520116,"(32.15672444830, -110.877085494)",20.6,23.8,13.7,29.6,56.2,6,10.4,6.1,62.9,69.9,58,7.4,29.3,30.1,19.2,56.9,10,35,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"Non-profit","Tucson","1501 NORTH CAMPBELL AVENUE Tucson AZ 85724",-110.94560407842,32.24123395,"1501 NORTH CAMPBELL AVENUE Tucson AZ 85724",-110.94560407842,32.24123395
"BANNER DESERT MEDICAL CENTER","Acute Care Hospitals","1400 SOUTH  DOBSON ROAD","Mesa, AZ","AZ",85202,"true",3,1,"mesa",439041,"(33.40228373590, -111.718721181)",17.1,23.4,15.6,27.5,55.7,6.1,10.1,5.9,64.4,71.1,62.9,6.9,33.1,32.4,19.3,60.6,8.9,33.8,3.4,21.3,77.5,12.4,28.3,80.4,12.3,34.7,2.9,13.2,"Non-profit","Mesa","1400 SOUTH  DOBSON ROAD Mesa AZ 85202",-111.869699808592,33.37175955,"1400 SOUTH  DOBSON ROAD Mesa AZ 85202",-111.869699808592,33.37175955
"PHOENIX INDIAN MEDICAL CENTER","Acute Care Hospitals","4212 NORTH 16TH STREET","Phoenix, AZ","AZ",85016,"false",NA,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Government","Phoenix","4212 NORTH 16TH STREET Phoenix AZ 85016",-112.049090672799,33.49715495,"4212 NORTH 16TH STREET Phoenix AZ 85016",-112.049090672799,33.49715495
"ABRAZO SCOTTSDALE CAMPUS","Acute Care Hospitals","3929 EAST BELL ROAD","Phoenix, AZ","AZ",85032,"true",2,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Proprietary","Phoenix","3929 EAST BELL ROAD Phoenix AZ 85032",-111.9973914,33.639414,"3929 EAST BELL ROAD Phoenix AZ 85032",-111.9973914,33.639414
"NORTHWEST MEDICAL CENTER","Acute Care Hospitals","6200 NORTH LA CHOLLA BOULEVARD","Tucson, AZ","AZ",85741,"true",3,1,"tucson",520116,"(32.15672444830, -110.877085494)",20.6,23.8,13.7,29.6,56.2,6,10.4,6.1,62.9,69.9,58,7.4,29.3,30.1,19.2,56.9,10,35,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"Proprietary","Tucson","6200 NORTH LA CHOLLA BOULEVARD Tucson AZ 85741",-111.0100752,32.3202768,"6200 NORTH LA CHOLLA BOULEVARD Tucson AZ 85741",-111.0100752,32.3202768
"SCOTTSDALE SHEA MEDICAL CENTER","Acute Care Hospitals","9003 EAST SHEA BOULEVARD","Scottsdale, AZ","AZ",85260,"true",3,1,"scottsdale",217385,"(33.68724936510, -111.865085877)",9.3,20.8,17.1,25.6,54.4,6.3,9,4.7,66.1,73.3,70.1,4.9,37.1,37.7,14,72.3,6.5,33,3,14.6,81.4,9.4,23.2,85.1,8.5,30.8,2.1,7.7,"Proprietary","Scottsdale","9003 EAST SHEA BOULEVARD Scottsdale AZ 85260",-111.885502407978,33.5801106,"9003 EAST SHEA BOULEVARD Scottsdale AZ 85260",-111.885502407978,33.5801106
"BANNER BAYWOOD MEDICAL CENTER","Acute Care Hospitals","6644 EAST BAYWOOD AVENUE","Mesa, AZ","AZ",85206,"false",4,NA,"mesa",439041,"(33.40228373590, -111.718721181)",17.1,23.4,15.6,27.5,55.7,6.1,10.1,5.9,64.4,71.1,62.9,6.9,33.1,32.4,19.3,60.6,8.9,33.8,3.4,21.3,77.5,12.4,28.3,80.4,12.3,34.7,2.9,13.2,"Non-profit","Mesa","6644 EAST BAYWOOD AVENUE Mesa AZ 85206",-111.689103644316,33.4112456,"6644 EAST BAYWOOD AVENUE Mesa AZ 85206",-111.689103644316,33.4112456
"BANNER THUNDERBIRD MEDICAL CENTER","Acute Care Hospitals","5555 WEST THUNDERBIRD ROAD","Glendale, AZ","AZ",85306,"true",3,NA,"glendale",226721,"(33.57961230890, -112.225306421)",20.5,23.8,14.7,28.3,56.4,5.9,10.2,6.1,64.3,70.3,60.4,7.2,31.5,30.4,19.8,57.1,9.9,34.1,3.5,23.7,76.7,13,29.6,78.6,13.5,35.8,3.1,14.8,"Government","Glendale","5555 WEST THUNDERBIRD ROAD Glendale AZ 85306",-112.1795965,33.6092024,"5555 WEST THUNDERBIRD ROAD Glendale AZ 85306",-112.1795965,33.6092024
"HONORHEALTH DEER VALLEY MEDICAL CENTER","Acute Care Hospitals","19829 NORTH 27TH AVENUE","Phoenix, AZ","AZ",85027,"true",3,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Non-profit","Phoenix","19829 NORTH 27TH AVENUE Phoenix AZ 85027",-112.096846851096,33.4794786,"19829 NORTH 27TH AVENUE Phoenix AZ 85027",-112.096846851096,33.4794786
"ABRAZO ARROWHEAD CAMPUS","Acute Care Hospitals","18701 NORTH 67TH AVENUE","Glendale, AZ","AZ",85308,"true",3,NA,"glendale",226721,"(33.57961230890, -112.225306421)",20.5,23.8,14.7,28.3,56.4,5.9,10.2,6.1,64.3,70.3,60.4,7.2,31.5,30.4,19.8,57.1,9.9,34.1,3.5,23.7,76.7,13,29.6,78.6,13.5,35.8,3.1,14.8,"Proprietary","Glendale","18701 NORTH 67TH AVENUE Glendale AZ 85308",-112.2015464,33.6550895,"18701 NORTH 67TH AVENUE Glendale AZ 85308",-112.2015464,33.6550895
"MAYO CLINIC HOSPITAL","Acute Care Hospitals","5777 EAST MAYO BOULEVARD","Phoenix, AZ","AZ",85054,"true",5,1,"phoenix",1445632,"(33.57241386950, -112.088995222)",22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"Non-profit","Phoenix","5777 EAST MAYO BOULEVARD Phoenix AZ 85054",-112.0111998,33.6832558,"5777 EAST MAYO BOULEVARD Phoenix AZ 85054",-112.0111998,33.6832558
