GEO.id,Id
HC01_EST_VC09,Total; Estimate; AGE - 55 to 64 years
HC01_MOE_VC09,Total; Margin of Error; AGE - 55 to 64 years
HC02_EST_VC09,Moved; within same county; Estimate; AGE - 55 to 64 years
HC02_MOE_VC09,Moved; within same county; Margin of Error; AGE - 55 to 64 years
HC03_EST_VC09,"Moved; from different county, same state; Estimate; AGE - 55 to 64 years"
HC03_MOE_VC09,"Moved; from different county, same state; Margin of Error; AGE - 55 to 64 years"
HC04_EST_VC09,Moved; from different  state; Estimate; AGE - 55 to 64 years
HC04_MOE_VC09,Moved; from different  state; Margin of Error; AGE - 55 to 64 years
HC05_EST_VC09,Moved; from abroad; Estimate; AGE - 55 to 64 years
HC05_MOE_VC09,Moved; from abroad; Margin of Error; AGE - 55 to 64 years
HC01_EST_VC10,Total; Estimate; AGE - 65 to 74 years
HC01_MOE_VC10,Total; Margin of Error; AGE - 65 to 74 years
HC02_EST_VC10,Moved; within same county; Estimate; AGE - 65 to 74 years
HC02_MOE_VC10,Moved; within same county; Margin of Error; AGE - 65 to 74 years
HC03_EST_VC10,"Moved; from different county, same state; Estimate; AGE - 65 to 74 years"
HC03_MOE_VC10,"Moved; from different county, same state; Margin of Error; AGE - 65 to 74 years"
HC04_EST_VC10,Moved; from different  state; Estimate; AGE - 65 to 74 years
HC04_MOE_VC10,Moved; from different  state; Margin of Error; AGE - 65 to 74 years
HC05_EST_VC10,Moved; from abroad; Estimate; AGE - 65 to 74 years
HC05_MOE_VC10,Moved; from abroad; Margin of Error; AGE - 65 to 74 years
HC01_EST_VC11,Total; Estimate; AGE - 75 years and over
HC01_MOE_VC11,Total; Margin of Error; AGE - 75 years and over
HC02_EST_VC11,Moved; within same county; Estimate; AGE - 75 years and over
HC02_MOE_VC11,Moved; within same county; Margin of Error; AGE - 75 years and over
HC03_EST_VC11,"Moved; from different county, same state; Estimate; AGE - 75 years and over"
HC03_MOE_VC11,"Moved; from different county, same state; Margin of Error; AGE - 75 years and over"
HC04_EST_VC11,Moved; from different  state; Estimate; AGE - 75 years and over
HC04_MOE_VC11,Moved; from different  state; Margin of Error; AGE - 75 years and over
HC05_EST_VC11,Moved; from abroad; Estimate; AGE - 75 years and over
HC05_MOE_VC11,Moved; from abroad; Margin of Error; AGE - 75 years and over
HC01_EST_VC13,Total; Estimate; Median age (years)
HC01_MOE_VC13,Total; Margin of Error; Median age (years)
HC02_EST_VC13,Moved; within same county; Estimate; Median age (years)
HC02_MOE_VC13,Moved; within same county; Margin of Error; Median age (years)
HC03_EST_VC13,"Moved; from different county, same state; Estimate; Median age (years)"
HC03_MOE_VC13,"Moved; from different county, same state; Margin of Error; Median age (years)"
HC04_EST_VC13,Moved; from different  state; Estimate; Median age (years)
HC04_MOE_VC13,Moved; from different  state; Margin of Error; Median age (years)
HC05_EST_VC13,Moved; from abroad; Estimate; Median age (years)
HC05_MOE_VC13,Moved; from abroad; Margin of Error; Median age (years)
HC01_EST_VC16,Total; Estimate; SEX - Male
HC01_MOE_VC16,Total; Margin of Error; SEX - Male
HC02_EST_VC16,Moved; within same county; Estimate; SEX - Male
HC02_MOE_VC16,Moved; within same county; Margin of Error; SEX - Male
HC03_EST_VC16,"Moved; from different county, same state; Estimate; SEX - Male"
HC03_MOE_VC16,"Moved; from different county, same state; Margin of Error; SEX - Male"
HC04_EST_VC16,Moved; from different  state; Estimate; SEX - Male
HC04_MOE_VC16,Moved; from different  state; Margin of Error; SEX - Male
HC05_EST_VC16,Moved; from abroad; Estimate; SEX - Male
HC05_MOE_VC16,Moved; from abroad; Margin of Error; SEX - Male
HC01_EST_VC17,Total; Estimate; SEX - Female
HC01_MOE_VC17,Total; Margin of Error; SEX - Female
HC02_EST_VC17,Moved; within same county; Estimate; SEX - Female
HC02_MOE_VC17,Moved; within same county; Margin of Error; SEX - Female
HC03_EST_VC17,"Moved; from different county, same state; Estimate; SEX - Female"
HC03_MOE_VC17,"Moved; from different county, same state; Margin of Error; SEX - Female"
HC04_EST_VC17,Moved; from different  state; Estimate; SEX - Female
HC04_MOE_VC17,Moved; from different  state; Margin of Error; SEX - Female
HC05_EST_VC17,Moved; from abroad; Estimate; SEX - Female
HC05_MOE_VC17,Moved; from abroad; Margin of Error; SEX - Female
HC01_EST_VC20,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC20,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC20,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC20,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC20,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC03_MOE_VC20,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race"
HC04_EST_VC20,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_MOE_VC20,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_EST_VC20,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC05_MOE_VC20,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC21,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC21,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC21,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC21,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC21,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC03_MOE_VC21,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White"
HC04_EST_VC21,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_MOE_VC21,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_EST_VC21,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC05_MOE_VC21,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC22,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC22,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC22,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC22,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC22,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
HC03_MOE_VC22,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American"
HC04_EST_VC22,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_MOE_VC22,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_EST_VC22,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC05_MOE_VC22,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC23,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC23,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC23,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC23,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC23,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC03_MOE_VC23,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native"
HC04_EST_VC23,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_MOE_VC23,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_EST_VC23,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC05_MOE_VC23,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC24,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC24,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC24,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC24,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC24,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC03_MOE_VC24,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian"
HC04_EST_VC24,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_MOE_VC24,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_EST_VC24,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC05_MOE_VC24,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC25,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC25,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC25,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC25,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC25,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC03_MOE_VC25,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander"
HC04_EST_VC25,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC25,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_EST_VC25,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC05_MOE_VC25,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC26,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC26,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC26,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC26,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC26,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC03_MOE_VC26,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race"
HC04_EST_VC26,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_MOE_VC26,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_EST_VC26,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC05_MOE_VC26,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC27,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC27,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC27,Moved; within same county; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC27,Moved; within same county; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC27,"Moved; from different county, same state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC03_MOE_VC27,"Moved; from different county, same state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races"
HC04_EST_VC27,Moved; from different  state; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC27,Moved; from different  state; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_EST_VC27,Moved; from abroad; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_MOE_VC27,Moved; from abroad; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC29,Total; Estimate; Hispanic or Latino origin (of any race)
HC01_MOE_VC29,Total; Margin of Error; Hispanic or Latino origin (of any race)
HC02_EST_VC29,Moved; within same county; Estimate; Hispanic or Latino origin (of any race)
HC02_MOE_VC29,Moved; within same county; Margin of Error; Hispanic or Latino origin (of any race)
HC03_EST_VC29,"Moved; from different county, same state; Estimate; Hispanic or Latino origin (of any race)"
HC03_MOE_VC29,"Moved; from different county, same state; Margin of Error; Hispanic or Latino origin (of any race)"
HC04_EST_VC29,Moved; from different  state; Estimate; Hispanic or Latino origin (of any race)
HC04_MOE_VC29,Moved; from different  state; Margin of Error; Hispanic or Latino origin (of any race)
HC05_EST_VC29,Moved; from abroad; Estimate; Hispanic or Latino origin (of any race)
HC05_MOE_VC29,Moved; from abroad; Margin of Error; Hispanic or Latino origin (of any race)
HC01_EST_VC30,"Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC30,"Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC30,"Moved; within same county; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC30,"Moved; within same county; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC30,"Moved; from different county, same state; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC30,"Moved; from different county, same state; Margin of Error; White alone, not Hispanic or Latino"
HC04_EST_VC30,"Moved; from different  state; Estimate; White alone, not Hispanic or Latino"
HC04_MOE_VC30,"Moved; from different  state; Margin of Error; White alone, not Hispanic or Latino"
HC05_EST_VC30,"Moved; from abroad; Estimate; White alone, not Hispanic or Latino"
HC05_MOE_VC30,"Moved; from abroad; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC33,Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native
HC01_MOE_VC33,Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native
HC02_EST_VC33,Moved; within same county; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native
HC02_MOE_VC33,Moved; within same county; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native
HC03_EST_VC33,"Moved; from different county, same state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native"
HC03_MOE_VC33,"Moved; from different county, same state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native"
HC04_EST_VC33,Moved; from different  state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native
HC04_MOE_VC33,Moved; from different  state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native
HC05_EST_VC33,Moved; from abroad; Estimate; NATIVITY AND CITIZENSHIP STATUS - Native
HC05_MOE_VC33,Moved; from abroad; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Native
HC01_EST_VC34,Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC01_MOE_VC34,Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC02_EST_VC34,Moved; within same county; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC02_MOE_VC34,Moved; within same county; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC03_EST_VC34,"Moved; from different county, same state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
HC03_MOE_VC34,"Moved; from different county, same state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born"
HC04_EST_VC34,Moved; from different  state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC04_MOE_VC34,Moved; from different  state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC05_EST_VC34,Moved; from abroad; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC05_MOE_VC34,Moved; from abroad; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born
HC01_EST_VC35,Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC01_MOE_VC35,Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC02_EST_VC35,Moved; within same county; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC02_MOE_VC35,Moved; within same county; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC03_EST_VC35,"Moved; from different county, same state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
HC03_MOE_VC35,"Moved; from different county, same state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen"
HC04_EST_VC35,Moved; from different  state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC04_MOE_VC35,Moved; from different  state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC05_EST_VC35,Moved; from abroad; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC05_MOE_VC35,Moved; from abroad; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Naturalized U.S. citizen
HC01_EST_VC36,Total; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC01_MOE_VC36,Total; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC02_EST_VC36,Moved; within same county; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC02_MOE_VC36,Moved; within same county; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC03_EST_VC36,"Moved; from different county, same state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
HC03_MOE_VC36,"Moved; from different county, same state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen"
HC04_EST_VC36,Moved; from different  state; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC04_MOE_VC36,Moved; from different  state; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC05_EST_VC36,Moved; from abroad; Estimate; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC05_MOE_VC36,Moved; from abroad; Margin of Error; NATIVITY AND CITIZENSHIP STATUS - Foreign born - Not a U.S. citizen
HC01_EST_VC39,Total; Estimate; MARITAL STATUS - Population 15 years and over
HC01_MOE_VC39,Total; Margin of Error; MARITAL STATUS - Population 15 years and over
HC02_EST_VC39,Moved; within same county; Estimate; MARITAL STATUS - Population 15 years and over
HC02_MOE_VC39,Moved; within same county; Margin of Error; MARITAL STATUS - Population 15 years and over
HC03_EST_VC39,"Moved; from different county, same state; Estimate; MARITAL STATUS - Population 15 years and over"
HC03_MOE_VC39,"Moved; from different county, same state; Margin of Error; MARITAL STATUS - Population 15 years and over"
HC04_EST_VC39,Moved; from different  state; Estimate; MARITAL STATUS - Population 15 years and over
HC04_MOE_VC39,Moved; from different  state; Margin of Error; MARITAL STATUS - Population 15 years and over
HC05_EST_VC39,Moved; from abroad; Estimate; MARITAL STATUS - Population 15 years and over
HC05_MOE_VC39,Moved; from abroad; Margin of Error; MARITAL STATUS - Population 15 years and over
HC01_EST_VC40,Total; Estimate; MARITAL STATUS - Population 15 years and over - Never married
HC01_MOE_VC40,Total; Margin of Error; MARITAL STATUS - Population 15 years and over - Never married
HC02_EST_VC40,Moved; within same county; Estimate; MARITAL STATUS - Population 15 years and over - Never married
HC02_MOE_VC40,Moved; within same county; Margin of Error; MARITAL STATUS - Population 15 years and over - Never married
HC03_EST_VC40,"Moved; from different county, same state; Estimate; MARITAL STATUS - Population 15 years and over - Never married"
HC03_MOE_VC40,"Moved; from different county, same state; Margin of Error; MARITAL STATUS - Population 15 years and over - Never married"
HC04_EST_VC40,Moved; from different  state; Estimate; MARITAL STATUS - Population 15 years and over - Never married
HC04_MOE_VC40,Moved; from different  state; Margin of Error; MARITAL STATUS - Population 15 years and over - Never married
HC05_EST_VC40,Moved; from abroad; Estimate; MARITAL STATUS - Population 15 years and over - Never married
HC05_MOE_VC40,Moved; from abroad; Margin of Error; MARITAL STATUS - Population 15 years and over - Never married
HC01_EST_VC41,"Total; Estimate; MARITAL STATUS - Population 15 years and over - Now married, except separated"
HC01_MOE_VC41,"Total; Margin of Error; MARITAL STATUS - Population 15 years and over - Now married, except separated"
HC02_EST_VC41,"Moved; within same county; Estimate; MARITAL STATUS - Population 15 years and over - Now married, except separated"
HC02_MOE_VC41,"Moved; within same county; Margin of Error; MARITAL STATUS - Population 15 years and over - Now married, except separated"
