,mother_node,title_steam,app_id,user_rating,game_spcs,percent,reivew_users,keywords_list,genre_list,no_dlc,dlc_av,rank_no,current,all_time,24_peak,time_diff,YEAR,price,DATE,unique,Indie,Action_g,Adventure_g,Strategy,Simulation,RPG,Casual,Early Access,Sports,Violent,Racing,Singleplayer,Multiplayer,Great Soundtrack,Atmospheric,Story Rich,Open World,2D,Co-op,Sci-fi,Adventure_k,Fantasy,Puzzle,First-Person,Shooter,Difficult,Funny,Classic,Sandbox,Horror,Female Protagonist,FPS,Pixel Graphics,Comedy,Survival,Third Person,Anime,Platformer,Action_k,Turn-Based,Exploration,total_key,agreement,retention
13,18 Wheels of Steel: Extreme Trucker 2,18 Wheels of Steel: Extreme Trucker 2,362780,,Single-player,59.0,32.0,"Simulation, Driving",Simulation,0.0,0.0,4913,2.0,9.0,4.0,2313 days 00:00:00.000000000,2011.0,9.99,2011-01-06,Driving,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.5,22.2222222222
14,1954 Alcatraz,1954 Alcatraz,255280,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud",72.0,459.0,"Adventure, Point & Click, Indie, Singleplayer, Puzzle, Crime, Female Protagonist","Indie, Adventure",0.0,0.0,3958,4.0,82.0,8.0,1153 days 00:00:00.000000000,2014.0,19.99,2014-03-11,"Point & Click, Puzzle, Crime, Female Protagonist, Singleplayer",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.0,0.285714285714,4.87804878049
15,1979 Revolution: Black Friday,1979 Revolution: Black Friday,388320,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Captions available",76.0,376.0,"Adventure, Indie, Political, Historical, Story Rich, Choices Matter, Atmospheric, Singleplayer, Multiple Endings, Choose Your Own Adventure, Exploration, Great Soundtrack, Action, Point & Click, Replay Value, Short","Indie, Adventure",0.0,0.0,5804,1.0,27.0,3.0,398 days 00:00:00.000000000,2016.0,5.99,2016-04-04,"Short, Atmospheric, Great Soundtrack, Singleplayer, Political, Choose Your Own Adventure, Choices Matter, Exploration, Historical, Story Rich, Action, Point & Click, Replay Value, Multiple Endings",1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.0,0.125,3.7037037037
16,2 -you're the only one-,2 -you're the only one-,552280,Overwhelmingly Positive,"Single-player,Steam Trading Cards",98.0,549.0,"Anime, Visual Novel, Dating Sim, Adventure, Cute, Nudity",Adventure,0.0,0.0,1978,7.0,155.0,41.0,149 days 00:00:00.000000000,2016.0,29.99,2016-12-09,"Cute, Anime, Visual Novel, Dating Sim, Nudity",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0.166666666667,4.51612903226
17,2017 VR,2017 VR,575600,Very Positive,"Single-player,Online Multi-Player,Online Co-op,Steam Leaderboards",83.0,53.0,"Early Access, Action, RPG, Indie, Gore, VR","Indie, Action, Gore, RPG, Early Access",0.0,0.0,2680,3.0,19.0,14.0,79 days 00:00:00.000000000,2017.0,14.99,2017-02-17,VR,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.833333333333,15.7894736842
18,20XX,20XX,322110,Overwhelmingly Positive,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Full controller support,Steam Cloud,Steam Leaderboards",95.0,1064.0,"Early Access, Platformer, Action, Rogue-like, Indie, Rogue-lite, Online Co-Op, Local Multiplayer, Controller, Female Protagonist, 2D, Great Soundtrack, Singleplayer, Local Co-Op, Procedural Generation, Multiplayer, Difficult, Side Scroller, Co-op","Action, Indie, Early Access",0.0,0.0,320,56.0,204.0,75.0,894 days 00:00:00.000000000,2014.0,11.99,2014-11-25,"Side Scroller, Procedural Generation, Co-op, Singleplayer, Great Soundtrack, Multiplayer, Platformer, 2D, Rogue-lite, Controller, Online Co-Op, Local Multiplayer, Rogue-like, Female Protagonist, Local Co-Op, Difficult",1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19.0,0.157894736842,27.4509803922
19,35MM,35MM,466500,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards",72.0,1353.0,"Post-apocalyptic, Atmospheric, Walking Simulator, Survival, First-Person, Horror, Open World, Adventure, Indie, Singleplayer, Story Rich, Survival Horror, Exploration, Action, Simulation, FPS",Indie,0.0,0.0,5303,10.0,230.0,13.0,345 days 00:00:00.000000000,2016.0,8.99,2016-05-27,"Atmospheric, Walking Simulator, Singleplayer, Survival, Simulation, First-Person, Post-apocalyptic, Exploration, Adventure, FPS, Story Rich, Action, Survival Horror, Horror, Open World",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,16.0,0.0625,4.34782608696
20,4 Elements,4 Elements,47000,Very Positive,"Single-player,Steam Achievements,Steam Leaderboards",86.0,429.0,"Casual, Puzzle, Match 3, Adventure, Hidden Object, Fantasy, Singleplayer","Adventure, Casual",0.0,0.0,6284,6.0,59.0,12.0,3168 days 00:00:00.000000000,2008.0,3.99,2008-09-03,"Fantasy, Puzzle, Singleplayer, Hidden Object, Match 3",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.285714285714,10.1694915254
21,60 Seconds!,60 Seconds!,368360,Mostly Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",78.0,3082.0,"Survival, Post-apocalyptic, Singleplayer, Strategy, Simulation, Dark Humor, Indie, Adventure, Funny, Comedy, Casual, Action, Point & Click, Choices Matter, Difficult, War, Dark Comedy, Atmospheric, Rogue-like, Horror","Indie, Casual, Strategy, Adventure, Simulation",0.0,0.0,816,49.0,532.0,91.0,713 days 00:00:00.000000000,2015.0,9.99,2015-05-25,"Funny, Dark Comedy, Atmospheric, Singleplayer, Survival, Rogue-like, Choices Matter, Post-apocalyptic, Dark Humor, Action, Point & Click, Horror, Comedy, War, Difficult",1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,20.0,0.25,9.21052631579
22,688(I) Hunter/Killer,688(I) Hunter/Killer,2900,Mostly Positive,"Single-player,Multi-player",73.0,42.0,"Strategy, Simulation, Naval",Strategy,0.0,0.0,4969,3.0,14.0,5.0,7247 days 00:00:00.000000000,1997.0,9.99,1997-07-04,"Naval, Simulation",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.333333333333,21.4285714286
23,7 Days to Die,7 Days to Die,251570,Very Positive,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support,Includes level editor",80.0,34133.0,"Early Access, Survival, Zombies, Open World, Crafting, Multiplayer, Sandbox, Building, Co-op, Action, Adventure, Horror, Survival Horror, FPS, Indie, Online Co-Op, RPG, Singleplayer, Gore, Voxel","Indie, Simulation, Violent, Gore, RPG, Action, Early Access, Adventure",0.0,0.0,107,8604.0,24755.0,9475.0,1241 days 00:00:00.000000000,2013.0,24.99,2013-12-13,"Building, Voxel, Crafting, Co-op, Zombies, Singleplayer, Survival, Multiplayer, Sandbox, Online Co-Op, FPS, Survival Horror, Horror, Open World",1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,20.0,0.272727272727,34.7566148253
24,7 Grand Steps: What Ancients Begat,7 Grand Steps: What Ancients Begat,238930,,"Single-player,Steam Trading Cards",60.0,247.0,"Strategy, Indie, Board Game, Casual, Simulation, Singleplayer, Historical, Turn-Based","Indie, Simulation, Casual, Strategy",0.0,0.0,4031,4.0,161.0,6.0,1430 days 00:00:00.000000000,2013.0,19.99,2013-06-07,"Board Game, Turn-Based, Historical, Singleplayer",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.0,0.5,2.48447204969
25,7 Wonders: Magical Mystery Tour,7 Wonders: Magical Mystery Tour,275830,Positive,Single-player,100.0,19.0,"Casual, Strategy, Match 3, Puzzle","Casual, Strategy",0.0,0.0,5533,3.0,13.0,6.0,1174 days 00:00:00.000000000,2014.0,6.99,2014-02-18,"Puzzle, Match 3",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.5,23.0769230769
26,8-Bit Armies,8-Bit Armies,427250,Very Positive,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",82.0,1067.0,"Strategy, RTS, Pixel Graphics, Simulation, Indie, Voxel, Multiplayer, Co-op, Great Soundtrack, Action, Base Building","Indie, Simulation, Strategy",2.0,1.0,824,24.0,600.0,46.0,380 days 00:00:00.000000000,2016.0,14.99,2016-04-22,"Voxel, Co-op, Great Soundtrack, Pixel Graphics, Multiplayer, Base Building, RTS, Action",1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.0,0.272727272727,4.0
27,8-Bit Armies: Arena,8-Bit Armies: Arena,586040,Very Positive,"Multi-player,Online Multi-Player,Captions available,Steam Workshop",80.0,56.0,"Strategy, Action, Indie","Action, Indie, Strategy",0.0,0.0,3685,6.0,46.0,18.0,86 days 00:00:00.000000000,2017.0,4.99,2017-02-10,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,13.0434782609
28,8-Bit Hordes,8-Bit Hordes,497850,Very Positive,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",85.0,274.0,"Strategy, Indie, Simulation, RTS, Pixel Graphics, Horror, Multiplayer, Voxel, Fantasy","Indie, Simulation, Strategy",0.0,0.0,776,19.0,424.0,27.0,268 days 00:00:00.000000000,2016.0,7.49,2016-08-12,"Voxel, Pixel Graphics, Horror, Multiplayer, Fantasy, RTS",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.0,0.333333333333,4.48113207547
29,8-Bit Invaders!,8-Bit Invaders!,531680,Very Positive,"Single-player,Multi-player,Local Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor",84.0,119.0,"Strategy, Indie, Simulation, RTS, Multiplayer, Singleplayer, Pixel Graphics, Action, Great Soundtrack, Co-op, Sci-fi, Online Co-Op, Local Multiplayer, Retro, Aliens, PvP, Military, Voxel, War","Indie, Simulation, Strategy",0.0,0.0,1619,12.0,192.0,21.0,142 days 00:00:00.000000000,2016.0,14.99,2016-12-16,"PvP, Co-op, Sci-fi, Great Soundtrack, Pixel Graphics, Aliens, Singleplayer, Multiplayer, Online Co-Op, Local Multiplayer, Retro, RTS, Action, Military, War, Voxel",1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19.0,0.157894736842,6.25
30,80 Days,80 Days,381780,Very Positive,"Single-player,Steam Achievements",93.0,337.0,"Adventure, Indie, Story Rich, Choices Matter, Interactive Fiction, Strategy, Replay Value, Choose Your Own Adventure, Multiple Endings, Exploration, Steampunk, Casual, Singleplayer, Atmospheric, Short, Romance, Funny, Relaxing, Open World, Great Soundtrack","Adventure, Indie, Strategy",0.0,0.0,2738,7.0,168.0,13.0,587 days 00:00:00.000000000,2015.0,9.99,2015-09-28,"Funny, Short, Atmospheric, Relaxing, Singleplayer, Steampunk, Great Soundtrack, Choose Your Own Adventure, Interactive Fiction, Romance, Choices Matter, Exploration, Story Rich, Replay Value, Multiple Endings, Casual, Open World",1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0.15,4.16666666667
31,911 Operator,911 Operator,503560,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor",81.0,1663.0,"Strategy, Simulation, Indie, Casual, Management, Singleplayer, Realistic","Indie, Simulation, Casual, Strategy",1.0,1.0,42,502.0,1955.0,920.0,72 days 00:00:00.000000000,2017.0,9.74,2017-02-24,"Realistic, Management, Singleplayer",1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.571428571429,25.6777493606
32,911: First Responders,911: First Responders,323610,Very Positive,"Single-player,Multi-player,Co-op,Shared/Split Screen",85.0,532.0,"Simulation, Strategy, Moddable, Multiplayer, Co-op, Singleplayer, Management, Realistic","Simulation, Strategy",0.0,0.0,2273,57.0,129.0,71.0,4042 days 00:00:00.000000000,2006.0,4.99,2006-04-13,"Management, Singleplayer, Multiplayer, Moddable, Realistic, Co-op",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.25,44.1860465116
33,A Bird Story,A Bird Story,327410,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",84.0,3260.0,"Indie, Story Rich, Great Soundtrack, Short, Pixel Graphics, RPGMaker, Adventure, Interactive Fiction, Singleplayer, 2D, RPG, Retro, Visual Novel, Atmospheric, Casual, Walking Simulator, Surreal, Top-Down","Indie, Adventure, RPG",1.0,1.0,5714,3.0,1313.0,7.0,912 days 00:00:00.000000000,2014.0,3.99,2014-11-07,"Short, Atmospheric, Top-Down, Great Soundtrack, Pixel Graphics, Singleplayer, Visual Novel, Interactive Fiction, 2D, Surreal, Retro, Walking Simulator, RPGMaker, Story Rich, Casual",1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.0,0.166666666667,0.2284843869
34,A Chair in a Room : Greenwater,A Chair in a Room : Greenwater,427760,Very Positive,Single-player,91.0,390.0,"Adventure, Indie, Simulation, Horror, VR","Indie, Adventure, Simulation",0.0,0.0,1350,6.0,48.0,8.0,397 days 00:00:00.000000000,2016.0,24.99,2016-04-05,"VR, Horror",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.6,12.5
35,"A Fear Of Heights, And Other Things","A Fear Of Heights, And Other Things",535460,Positive,Single-player,95.0,22.0,"Indie, Casual, Simulation, VR","Indie, Casual, Simulation",0.0,0.0,3660,1.0,8.0,3.0,202 days 00:00:00.000000000,2016.0,0.66,2016-10-17,VR,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.75,12.5
36,A Fistful of Gun,A Fistful of Gun,229810,,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support",67.0,79.0,"Indie, Action, Western, Pixel Graphics, Bullet Hell, Arena Shooter, Top-Down Shooter, Local Co-Op, Co-op, Multiplayer, Twin Stick Shooter, 2D","Action, Indie",0.0,0.0,4640,1.0,213.0,5.0,592 days 00:00:00.000000000,2015.0,12.99,2015-09-23,"Co-op, Twin Stick Shooter, Pixel Graphics, Multiplayer, 2D, Western, Bullet Hell, Arena Shooter, Top-Down Shooter, Local Co-Op",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,0.166666666667,0.469483568075
37,A Good Snowman Is Hard To Build,A Good Snowman Is Hard To Build,316610,Very Positive,"Single-player,Steam Achievements,Full controller support,Steam Cloud",94.0,74.0,"Indie, Puzzle, Casual, Sokoban, Cute",Indie,0.0,0.0,4786,2.0,26.0,3.0,802 days 00:00:00.000000000,2015.0,9.99,2015-02-25,"Sokoban, Cute, Puzzle, Casual",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.2,7.69230769231
38,A Legend of Luca,A Legend of Luca,433600,Very Positive,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",84.0,139.0,"Action, Adventure, Indie, VR, Rogue-lite, Great Soundtrack, FPS, Replay Value, Exploration, Shooter, Rogue-like, Shoot 'Em Up, Bullet Hell","Action, Indie, Adventure",0.0,0.0,4874,4.0,21.0,5.0,397 days 00:00:00.000000000,2016.0,19.99,2016-04-05,"Shoot 'Em Up, FPS, Great Soundtrack, Shooter, Rogue-like, Rogue-lite, VR, Exploration, Bullet Hell, Replay Value",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13.0,0.230769230769,19.0476190476
