"gender","country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","age"
"male","United States","NE","No","No","No","Never","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No",27
"male","Costa Rica",NA,"No","No","No",NA,"26-100","Yes","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","No","No",38
"male","Canada",NA,"No","No","Yes","Never","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","No",24
"male","United Kingdom",NA,"No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Don't know","No",39
"male","United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","Don't know","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",28
"male","United States","IA","No","No","Yes","Often","More than 1000","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Don't know","No",39
"female","United States","MD","No","No","No",NA,"6-25","No","Yes","Don't know","No","No","Don't know","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Don't know","No",29
"male","Austria",NA,"No","No","No",NA,"6-25","Yes","Yes","Don't know","No","Don't know","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Don't know","No",22
"male","United States","OR","No","Yes","Yes","Sometimes","100-500","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",38
"male","United Kingdom",NA,"Yes","No","Yes","Sometimes","More than 1000","No","No","No","Yes","Yes","Yes","Yes","Very difficult","Yes","Yes","Some of them","No","No","Maybe","Yes","No",37
"male","United States","TX","No","No","No","Never","26-100","Yes","No","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No",35
"female","United States","PA","No","Yes","No",NA,"More than 1000","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No",30
"male","United States","IN","No","Yes","Yes","Rarely","100-500","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No",37
"male","United Kingdom",NA,"No","No","No","Never","6-25","No","Yes","No","No","No","No","Yes","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No",24
"male","United States","WV","No","No","No","Sometimes","6-25","No","No","No","No","No","No","No","Somewhat easy","Yes","Yes","No","No","No","No","No","No",23
"male","Ireland",NA,"No","No","Yes","Rarely","100-500","No","Yes","No","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","No","Some of them","No","No","No","No","Yes",30
"female","United States","MI","No","No","No",NA,"100-500","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No",29
"male","Canada",NA,"Yes","Yes","No",NA,"1-5","Yes","Yes","Don't know","Not sure","No","Yes","Yes","Somewhat easy","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",19
"male","United States","CA","No","Yes","No","Never","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","No","No","Some of them","Some of them","No","Maybe","No","No",32
"male","Poland",NA,"No","No","No","Rarely","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",28
"male","United States","IL","No","No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",36
"male","United Kingdom",NA,"No","Yes","Yes","Rarely","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat difficult","Yes","Maybe","Some of them","No","No","Yes","No","Yes",37
"male","United States","IL","No","Yes","Yes","Sometimes","26-100","No","No","Don't know","No","No","Don't know","Don't know","Somewhat difficult","Maybe","No","Some of them","Some of them","No","Maybe","No","No",25
"male","United States","CA","No","Yes","Yes","Sometimes","More than 1000","No","Yes","Don't know","No","No","Don't know","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Don't know","No",27
"male","United States","OK","No","No","No","Often","26-100","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Yes","Maybe","Some of them","Yes","No","Maybe","No","No",26
"male","United States","UT","No","No","Yes","Rarely","26-100","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Maybe","No","Some of them","Yes","No","No","Don't know","Yes",27
"male","United States","IL","No","Yes","Yes","Sometimes","26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Very easy","Maybe","No","Some of them","No","No","No","Don't know","Yes",25
"male","United Kingdom",NA,"No","No","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes",36
