entry_type,year,part_of_speech,word,month
new sub-entry,2014, adv.,weekdays,September
new sub-entry,2014, adv.,weekends,September
new sub-entry,2014, adv.,weeknights,September
new sub-entry,2014, n.,workaround,September
new sub-entry,2014, n.,workerism,September
new sub-entry,2014, n.,working paper,September
new sub-entry,2014, n.,workprint,September
new sub-entry,2014, adj.,wroughted,September
new sub-entry,2014, adv. and adj.,year over year,September
new sub-entry,2014, adv.,yernfully,September
new word sense,2014, n.4,case,September
new word sense,2014, adv. and adj.,case-by-case,September
new word sense,2014, adj.2,caseless,September
new word sense,2014, n.,caseness,September
new word sense,2014, n.1,caseworker,September
new word sense,2014, adj. and n.,contrafactive,September
new word sense,2014, adj.,daiwhomly,September
new word sense,2014, adv.,daiwhomly,September
new word sense,2014, n.,dayglow,September
new word sense,2014, n.,Dayton,September
new word sense,2014, n.,dayworker,September
new word sense,2014, n.,fact check,September
new word sense,2014, n.,fact find,September
new word sense,2014, v.,fact-check,September
new word sense,2014, n.,fact-checker,September
new word sense,2014, adj.,fact-checking,September
new word sense,2014, n.,fact-checking,September
new word sense,2014, adj.2,factional,September
new word sense,2014, adj.,factless,September
new word sense,2014, adj.,factorizable,September
new word sense,2014, v.,first foot,September
new word sense,2014, n. and adj.,first string,September
new word sense,2014, adj. and adv.,first-handed,September
new word sense,2014, n.2,firsting,September
new word sense,2014, adj.,grossing,September
new word sense,2014, n. and adj.,haut bourgeois,September
new word sense,2014, adj. and n.,high Arctic,September
new word sense,2014, adj. and n.,high brown,September
new word sense,2014, n.,high centre | high center,September
new word sense,2014, n.,High Churchwoman,September
new word sense,2014, n.,High Dutchman,September
new word sense,2014, n.,high jumping,September
new word sense,2014, n.,High Kirk,September
new word sense,2014, n.,high living,September
new word sense,2014, n.,high muckety-muck,September
new word sense,2014, n.,high stick,September
new word sense,2014, n. and adj.,high voltage,September
new word sense,2014, adj. and n.,high wheel,September
new word sense,2014, v.,high-centre | high-center,September
new word sense,2014, adj.,high-centred | high-centered,September
new word sense,2014, n.,high-centring | high-centering,September
new word sense,2014, n. and adj.,higher class,September
new word sense,2014, n.,higher ground,September
new word sense,2014, adj.,high-fiving,September
new word sense,2014, n.,high-fiving,September
new word sense,2014, adj. and n.,high-full,September
new word sense,2014, adj.1,high-graded,September
new word sense,2014, n.,Highland woman,September
new word sense,2014, adj.,high-living,September
new word sense,2014, n.,high-rider,September
new word sense,2014, adj.,high-riding,September
new word sense,2014, adj.,high-rolling,September
new word sense,2014, n.,highside,September
new word sense,2014, v.,highside,September
new word sense,2014, v.,high-stick,September
new word sense,2014, n.,last call,September
new word sense,2014, n.1,lasting,September
new word sense,2014, n.,Little Bear,September
new word sense,2014, n.,little folk,September
new word sense,2014, n. and adj.,little leaf,September
new word sense,2014, adj. and n.,low Arctic,September
new word sense,2014, n.,lowside,September
new word sense,2014, v.,lowside,September
new word sense,2014, n.,osha,September
new word sense,2014, adj.,oxytonous,September
new word sense,2014, n.,Red Army Fraction,September
new word sense,2014, n. and adj.,upper working class,September
new word sense,2014, adv. and adj.,week by week,September
new word sense,2014, adv.,weekdays,September
new word sense,2014, adv.,weekends,September
new word sense,2014, adv.,weeknights,September
new word sense,2014, n.,workaround,September
new word sense,2014, n.,workerism,September
new word sense,2014, n.,working paper,September
new word sense,2014, n.,workprint,September
new word sense,2014, adj.,wroughted,September
new word sense,2014, adv. and adj.,year over year,September
new word sense,2014, adv.,yernfully,September
new word entry,2015, n.,avelling,March
new word entry,2015, n.,ear opening,March
new word entry,2015, n.,ear tag,March
new word entry,2015, n.,ear-grass,March
new word entry,2015, adj.,ear-opening,March
new word entry,2015, n.,ear-piercing,March
new word entry,2015, n. and adj.,ear-popping,March
new word entry,2015, v.,ear-tag,March
new word entry,2015, n.,ear-tickler,March
new word entry,2015, adj. and adv.,ear-to-ear,March
new word entry,2015, n.,earwigger,March
new word entry,2015, n.,earwigging,March
new word entry,2015, n.2,earworm,March
new word entry,2015, v.1,hadda,March
new word entry,2015, n.,hav,March
new word entry,2015, n.,haveli,March
new word entry,2015, int.,havers,March
new word entry,2015, adj.,havey-cavey,March
new word entry,2015, n.,large-cap,March
new word entry,2015, n.,largity,March
new word entry,2015, v.,laterize,March
new word entry,2015, int.,laters,March
new word entry,2015, n.,lookbook,March
new word entry,2015, n.,lookie-likie,March
new word entry,2015, v.,look-see,March
new word entry,2015, adj.,pollutable,March
new word entry,2015, n.3,Whit,March
new word entry,2015, n.,White Mountain,March
new word entry,2015, adj.,white-chinned,March
new word entry,2015, adj.,white-clawed,March
new word entry,2015, n.,Whites tree frog,March
new word entry,2015, v.,Whitsuntide,March
new word entry,2015, n.,Whitsuntiding,March
new sub-entry,2015, n.,avelling,March
new sub-entry,2015, n.,ear opening,March
new sub-entry,2015, n.,ear tag,March
new sub-entry,2015, n.,ear-grass,March
new sub-entry,2015, adj.,ear-opening,March
new sub-entry,2015, n.,ear-piercing,March
new sub-entry,2015, n. and adj.,ear-popping,March
new sub-entry,2015, v.,ear-tag,March
new sub-entry,2015, n.,ear-tickler,March
new sub-entry,2015, adj. and adv.,ear-to-ear,March
new sub-entry,2015, n.,earwigger,March
new sub-entry,2015, n.,earwigging,March
new sub-entry,2015, n.2,earworm,March
new sub-entry,2015, v.1,hadda,March
new sub-entry,2015, n.,hav,March
new sub-entry,2015, n.,haveli,March
new sub-entry,2015, int.,havers,March
new sub-entry,2015, adj.,havey-cavey,March
new sub-entry,2015, n.,large-cap,March
new sub-entry,2015, n.,largity,March
new sub-entry,2015, v.,laterize,March
new sub-entry,2015, int.,laters,March
new sub-entry,2015, n.,lookbook,March
new sub-entry,2015, n.,lookie-likie,March
new sub-entry,2015, v.,look-see,March
new sub-entry,2015, adj.,pollutable,March
new sub-entry,2015, n.3,Whit,March
new sub-entry,2015, n.,White Mountain,March
new sub-entry,2015, adj.,white-chinned,March
new sub-entry,2015, adj.,white-clawed,March
new sub-entry,2015, n.,Whites tree frog,March
new sub-entry,2015, v.,Whitsuntide,March
new sub-entry,2015, n.,Whitsuntiding,March
new word sense,2015, n.,avelling,March
new word sense,2015, n.,ear opening,March
new word sense,2015, n.,ear tag,March
new word sense,2015, n.,ear-grass,March
new word sense,2015, adj.,ear-opening,March
new word sense,2015, n.,ear-piercing,March
new word sense,2015, n. and adj.,ear-popping,March
new word sense,2015, v.,ear-tag,March
new word sense,2015, n.,ear-tickler,March
new word sense,2015, adj. and adv.,ear-to-ear,March
new word sense,2015, n.,earwigger,March
new word sense,2015, n.,earwigging,March
new word sense,2015, n.2,earworm,March
new word sense,2015, v.1,hadda,March
new word sense,2015, n.,hav,March
new word sense,2015, n.,haveli,March
new word sense,2015, int.,havers,March
new word sense,2015, adj.,havey-cavey,March
new word sense,2015, n.,large-cap,March
new word sense,2015, n.,largity,March
new word sense,2015, v.,laterize,March
new word sense,2015, int.,laters,March
new word sense,2015, n.,lookbook,March
new word sense,2015, n.,lookie-likie,March
new word sense,2015, v.,look-see,March
new word sense,2015, adj.,pollutable,March
new word sense,2015, n.3,Whit,March
new word sense,2015, n.,White Mountain,March
new word sense,2015, adj.,white-chinned,March
new word sense,2015, adj.,white-clawed,March
new word sense,2015, n.,Whites tree frog,March
new word sense,2015, v.,Whitsuntide,March
new word sense,2015, n.,Whitsuntiding,March
new word entry,2013, adj.,adults-only,September
new word entry,2013, n. and adj.,American African,September
new word entry,2013, n.,aquafarm,September
new word entry,2013, n.,aquafarming,September
new word entry,2013, n.,arab spring,September
new word entry,2013, n.2 and adj.2,A-rab,September
new word entry,2013, adj.,arabesqued,September
new word entry,2013, n.,arabesqueness,September
new word entry,2013, n.,Arabidopsis,September
new word entry,2013, n.,arabinogalactan,September
new word entry,2013, n.,arabinoside,September
new word entry,2013, n.,arabitol,September
new word entry,2013, n. and adj.,Arabophile,September
new word entry,2013, prep.,atter,September
new word entry,2013, v.,au pair,September
new word entry,2013, adj.,backdated,September
new word entry,2013, n.,bag woman,September
new word entry,2013, adj.,bargainable,September
new word entry,2013, n.,Brnsted,September
new word entry,2013, n.,BrnstedLowry,September
new word entry,2013, adj.,buzzworthy,September
new word entry,2013, n.,campsite,September
new word entry,2013, v.,coalify,September
new word entry,2013, adj.,cultivatible,September
new word entry,2013, adj.,dementalizing,September
new word entry,2013, adj.,embryogenical,September
new word entry,2013, adj.,embryonical,September
new word entry,2013, n.,embryony,September
new word entry,2013, n.,embryopathy,September
new word entry,2013, n.,embryophyte,September
new word entry,2013, pron.,emself,September
new word entry,2013, n.,fetology,September
new word entry,2013, adj.,fetomaternal,September
new word entry,2013, n.,fetoscope,September
new word entry,2013, n.,fetoscopy,September
new word entry,2013, adj. and n.,fleishig,September
new word entry,2013, n.,grey zone | gray zone,September
new word entry,2013, n.,greyware | grayware,September
new word entry,2013, n.,gurrier,September
new word entry,2013, pron.,heself,September
new word entry,2013, adj.,hims,September
new word entry,2013, n.,iron bomb,September
new word entry,2013, n. and adj.,iron brown,September
new word entry,2013, n.,iron fist,September
new word entry,2013, n.,iron triangle,September
new word entry,2013, n.,iron woman,September
new word entry,2013, n.,irone,September
new word entry,2013, adj.,ironizing,September
new word entry,2013, n.,lwchen,September
new word entry,2013, v.,looder,September
new word entry,2013, n. and adj.,low ball,September
new word entry,2013, adj.,low-balling,September
new word entry,2013, v.,low-bridge,September
new word entry,2013, v.,lowercase,September
new word entry,2013, adj. and n.,Lowland Scots,September
new word entry,2013, n.,low-lifer,September
new word entry,2013, adj.,low-maintenance,September
new word entry,2013, v.,low-rate,September
new word entry,2013, adj.,low-riding,September
new word entry,2013, n.,LowryBrnsted,September
new word entry,2013, adj. and n.,low-top,September
new word entry,2013, n.,mattar paneer,September
new word entry,2013, n.,meal offering,September
new word entry,2013, adj. and n.,milchig,September
new word entry,2013, v.,misclaim,September
new word entry,2013, adj.,misdelivered,September
new word entry,2013, adj.,museographic,September
new word entry,2013, n.,Mutazilism,September
new word entry,2013, n.,New Norwegian,September
new word entry,2013, adj.,non se ipse,September
new word entry,2013, adj. and n.,Nunamiut,September
new word entry,2013, int.,ohmigosh,September
new word entry,2013, int.,ooh-wee,September
new word entry,2013, n.,orgasmatron,September
new word entry,2013, n.,oversighting,September
new word entry,2013, adj.,overstaffed,September
new word entry,2013, n.,peakman,September
new word entry,2013, n.,primost,September
new word entry,2013, pron.,sheself,September
new word entry,2013, adv.,steelily,September
new word entry,2013, pron.,they-all,September
new word entry,2013, pron.,theyself,September
new word entry,2013, adv.,top to tail,September
new word entry,2013, adj.2,undubbed,September
new word entry,2013, n.,unlovableness,September
new word entry,2013, pron.,weself,September
new sub-entry,2013, adj.,adults-only,September
new sub-entry,2013, n. and adj.,American African,September
new sub-entry,2013, n.,aquafarm,September
new sub-entry,2013, n.,aquafarming,September
new sub-entry,2013, n.,arab spring,September
new sub-entry,2013, n.2 and adj.2,A-rab,September
new sub-entry,2013, adj.,arabesqued,September
new sub-entry,2013, n.,arabesqueness,September
new sub-entry,2013, n.,Arabidopsis,September
new sub-entry,2013, n.,arabinogalactan,September
new sub-entry,2013, n.,arabinoside,September
new sub-entry,2013, n.,arabitol,September
new sub-entry,2013, n. and adj.,Arabophile,September
new sub-entry,2013, prep.,atter,September
new sub-entry,2013, v.,au pair,September
new sub-entry,2013, adj.,backdated,September
new sub-entry,2013, n.,bag woman,September
new sub-entry,2013, adj.,bargainable,September
new sub-entry,2013, n.,Brnsted,September
new sub-entry,2013, n.,BrnstedLowry,September
new sub-entry,2013, adj.,buzzworthy,September
new sub-entry,2013, n.,campsite,September
new sub-entry,2013, v.,coalify,September
new sub-entry,2013, adj.,cultivatible,September
new sub-entry,2013, adj.,dementalizing,September
new sub-entry,2013, adj.,embryogenical,September
new sub-entry,2013, adj.,embryonical,September
new sub-entry,2013, n.,embryony,September
new sub-entry,2013, n.,embryopathy,September
new sub-entry,2013, n.,embryophyte,September
new sub-entry,2013, pron.,emself,September
new sub-entry,2013, n.,fetology,September
new sub-entry,2013, adj.,fetomaternal,September
new sub-entry,2013, n.,fetoscope,September
new sub-entry,2013, n.,fetoscopy,September
new sub-entry,2013, adj. and n.,fleishig,September
new sub-entry,2013, n.,grey zone | gray zone,September
new sub-entry,2013, n.,greyware | grayware,September
new sub-entry,2013, n.,gurrier,September
new sub-entry,2013, pron.,heself,September
new sub-entry,2013, adj.,hims,September
new sub-entry,2013, n.,iron bomb,September
new sub-entry,2013, n. and adj.,iron brown,September
new sub-entry,2013, n.,iron fist,September
new sub-entry,2013, n.,iron triangle,September
new sub-entry,2013, n.,iron woman,September
new sub-entry,2013, n.,irone,September
new sub-entry,2013, adj.,ironizing,September
new sub-entry,2013, n.,lwchen,September
new sub-entry,2013, v.,looder,September
new sub-entry,2013, n. and adj.,low ball,September
new sub-entry,2013, adj.,low-balling,September
new sub-entry,2013, v.,low-bridge,September
new sub-entry,2013, v.,lowercase,September
new sub-entry,2013, adj. and n.,Lowland Scots,September
new sub-entry,2013, n.,low-lifer,September
new sub-entry,2013, adj.,low-maintenance,September
new sub-entry,2013, v.,low-rate,September
new sub-entry,2013, adj.,low-riding,September
new sub-entry,2013, n.,LowryBrnsted,September
new sub-entry,2013, adj. and n.,low-top,September
new sub-entry,2013, n.,mattar paneer,September
new sub-entry,2013, n.,meal offering,September
new sub-entry,2013, adj. and n.,milchig,September
new sub-entry,2013, v.,misclaim,September
new sub-entry,2013, adj.,misdelivered,September
new sub-entry,2013, adj.,museographic,September
new sub-entry,2013, n.,Mutazilism,September
new sub-entry,2013, n.,New Norwegian,September
new sub-entry,2013, adj.,non se ipse,September
new sub-entry,2013, adj. and n.,Nunamiut,September
new sub-entry,2013, int.,ohmigosh,September
new sub-entry,2013, int.,ooh-wee,September
new sub-entry,2013, n.,orgasmatron,September
new sub-entry,2013, n.,oversighting,September
new sub-entry,2013, adj.,overstaffed,September
new sub-entry,2013, n.,peakman,September
new sub-entry,2013, n.,primost,September
new sub-entry,2013, pron.,sheself,September
new sub-entry,2013, adv.,steelily,September
new sub-entry,2013, pron.,they-all,September
new sub-entry,2013, pron.,theyself,September
new sub-entry,2013, adv.,top to tail,September
new sub-entry,2013, adj.2,undubbed,September
new sub-entry,2013, n.,unlovableness,September
new sub-entry,2013, pron.,weself,September
new word sense,2013, adj.,adults-only,September
new word sense,2013, n. and adj.,American African,September
new word sense,2013, n.,aquafarm,September
new word sense,2013, n.,aquafarming,September
new word sense,2013, n.,arab spring,September
new word sense,2013, n.2 and adj.2,A-rab,September
new word sense,2013, adj.,arabesqued,September
new word sense,2013, n.,arabesqueness,September
new word sense,2013, n.,Arabidopsis,September
new word sense,2013, n.,arabinogalactan,September
new word sense,2013, n.,arabinoside,September
new word sense,2013, n.,arabitol,September
new word sense,2013, n. and adj.,Arabophile,September
new word sense,2013, prep.,atter,September
new word sense,2013, v.,au pair,September
new word sense,2013, adj.,backdated,September
new word sense,2013, n.,bag woman,September
new word sense,2013, adj.,bargainable,September
new word sense,2013, n.,Brnsted,September
new word sense,2013, n.,BrnstedLowry,September
new word sense,2013, adj.,buzzworthy,September
new word sense,2013, n.,campsite,September
new word sense,2013, v.,coalify,September
new word sense,2013, adj.,cultivatible,September
new word sense,2013, adj.,dementalizing,September
new word sense,2013, adj.,embryogenical,September
new word sense,2013, adj.,embryonical,September
new word sense,2013, n.,embryony,September
new word sense,2013, n.,embryopathy,September
new word sense,2013, n.,embryophyte,September
new word sense,2013, pron.,emself,September
new word sense,2013, n.,fetology,September
new word sense,2013, adj.,fetomaternal,September
new word sense,2013, n.,fetoscope,September
new word sense,2013, n.,fetoscopy,September
new word sense,2013, adj. and n.,fleishig,September
new word sense,2013, n.,grey zone | gray zone,September
new word sense,2013, n.,greyware | grayware,September
new word sense,2013, n.,gurrier,September
new word sense,2013, pron.,heself,September
new word sense,2013, adj.,hims,September
new word sense,2013, n.,iron bomb,September
new word sense,2013, n. and adj.,iron brown,September
new word sense,2013, n.,iron fist,September
new word sense,2013, n.,iron triangle,September
new word sense,2013, n.,iron woman,September
new word sense,2013, n.,irone,September
new word sense,2013, adj.,ironizing,September
new word sense,2013, n.,lwchen,September
new word sense,2013, v.,looder,September
new word sense,2013, n. and adj.,low ball,September
new word sense,2013, adj.,low-balling,September
new word sense,2013, v.,low-bridge,September
new word sense,2013, v.,lowercase,September
new word sense,2013, adj. and n.,Lowland Scots,September
new word sense,2013, n.,low-lifer,September
new word sense,2013, adj.,low-maintenance,September
new word sense,2013, v.,low-rate,September
new word sense,2013, adj.,low-riding,September
new word sense,2013, n.,LowryBrnsted,September
new word sense,2013, adj. and n.,low-top,September
new word sense,2013, n.,mattar paneer,September
new word sense,2013, n.,meal offering,September
new word sense,2013, adj. and n.,milchig,September
new word sense,2013, v.,misclaim,September
new word sense,2013, adj.,misdelivered,September
new word sense,2013, adj.,museographic,September
new word sense,2013, n.,Mutazilism,September
new word sense,2013, n.,New Norwegian,September
new word sense,2013, adj.,non se ipse,September
new word sense,2013, adj. and n.,Nunamiut,September
new word sense,2013, int.,ohmigosh,September
new word sense,2013, int.,ooh-wee,September
new word sense,2013, n.,orgasmatron,September
new word sense,2013, n.,oversighting,September
new word sense,2013, adj.,overstaffed,September
new word sense,2013, n.,peakman,September
new word sense,2013, n.,primost,September
new word sense,2013, pron.,sheself,September
new word sense,2013, adv.,steelily,September
new word sense,2013, pron.,they-all,September
new word sense,2013, pron.,theyself,September
new word sense,2013, adv.,top to tail,September
new word sense,2013, adj.2,undubbed,September
new word sense,2013, n.,unlovableness,September
new word sense,2013, pron.,weself,September
new word entry,2014, n.,allobarbital,June
new word entry,2014, n. and adj.,Anthropocene,June
new word entry,2014, n.,aphicide,June
new word entry,2014, adj.,apotheotic,June
new word entry,2014, n.,arolium,June
new word entry,2014, n.,Aussieland,June
new word entry,2014, n.,authenticating,June
new word entry,2014, n.,authentification,June
new word entry,2014, n.,authigenesis,June
new word entry,2014, adj.,authigenous,June
new word entry,2014, adj.,authored,June
new word entry,2014, n.,authorhood,June
new word entry,2014, n.,basa,June
new word entry,2014, n.,basslet,June
new word entry,2014, n. and adj.,belle poque,June
new word entry,2014, adj. and n.,bezzie,June
new word entry,2014, n.,biopharma,June
new word entry,2014, adj. and n.,biosimilar,June
new word entry,2014, n.,bloatware,June
new word entry,2014, n.,blobfish,June
new word entry,2014, n.,blockading,June
new word entry,2014, n.,bonus genius,June
new word entry,2014, n.,branzino,June
new word entry,2014, n.,camouflaging,June
new word entry,2014, n.,characteristic equation,June
new word entry,2014, adj.1,choleretic,June
new word entry,2014, adv.,cholerically,June
new word entry,2014, adj.2,cholerized,June
new word entry,2014, n.,cholestasis,June
new word entry,2014, adj.,cholestatic,June
new word entry,2014, n.,cholestearin,June
new word entry,2014, adj.,citational,June
new word entry,2014, adj.,citharoedical,June
new word entry,2014, n.,citizening,June
new word entry,2014, n.,citoyen,June
new word entry,2014, n.,citoyenne,June
new word entry,2014, n.,citronade,June
new word entry,2014, n.2,citronyl,June
new word entry,2014, adj.,citrusy,June
new word entry,2014, adj.,city dwelling,June
new word entry,2014, adj.2,class-ified,June
new word entry,2014, n.,coffee grinder,June
new word entry,2014, adj.,compostable,June
new word entry,2014, n.,conlang,June
new word entry,2014, adj.,convoying,June
new word entry,2014, n.3,coot,June
new word entry,2014, adj.,cooty,June
new word entry,2014, n.,copernicium,June
new word entry,2014, n.,country bookie,June
new word entry,2014, n.,country gentlewoman,June
new word entry,2014, n.2,country rock,June
new word entry,2014, n.,country rocker,June
new word entry,2014, n.,country singer,June
new word entry,2014, n.,county commission,June
new word entry,2014, n.,desalinator,June
new word entry,2014, n.,desalinization,June
new word entry,2014, v.,desalinize,June
new word entry,2014, adj.,desalinized,June
new word entry,2014, n.,desalinizing,June
new word entry,2014, n. and adj.,dial-in,June
new word entry,2014, adj.1,diallelic,June
new word entry,2014, adj.2,diallelic,June
new word entry,2014, adj.,dialoguing,June
new word entry,2014, adj. and n.,diasporan,June
new word entry,2014, adj.,diasporic,June
new word entry,2014, n.,dreamcatcher,June
new word entry,2014, n.,drink-driver,June
new word entry,2014, n. and phr.,dulce et decorum est,June
new word entry,2014, n.,dulce et decorum,June
new word entry,2014, adj.,dysregulated,June
new word entry,2014, n.,eilthirl,June
new word entry,2014, n.,elegant,June
new word entry,2014, adj.,entitled,June
new word entry,2014, n.,entitlement,June
new word entry,2014, n.,eye cap,June
new word entry,2014, n.,eye music,June
new word entry,2014, n.,eyeballing,June
new word entry,2014, n.,eyebrow-raiser,June
new word entry,2014, adj.,eyebrow-raising,June
new word entry,2014, n.,eyebrow-raising,June
new word entry,2014, adj.,eye-popping,June
new word entry,2014, n.,eye-roll,June
new word entry,2014, n.,eye-roller,June
new word entry,2014, adj.,eye-rolling,June
new word entry,2014, n.,eye-rolling,June
new word entry,2014, n. and adv.,eyewards,June
new word entry,2014, adj.,eyewatering,June
new word entry,2014, n.,fabrosaur,June
new word entry,2014, n. and adj.,fabrosaurid,June
new word entry,2014, n.,Fabrosaurus,June
new word entry,2014, adj.,fascistized,June
new word entry,2014, n.,ferrinatrite,June
new word entry,2014, n.,ferrofluid,June
new word entry,2014, adj.,ferrohydrodynamic,June
new word entry,2014, n.,ferrohydrodynamics,June
new word entry,2014, n.,flexagon,June
new word entry,2014, n. and adj.,flexitarian,June
new word entry,2014, n.,Fritzie,June
new word entry,2014, n.2,Gallipoli,June
new word entry,2014, n.,garden bean,June
new word entry,2014, n.,genioglossus,June
new word entry,2014, n.,genipat,June
new word entry,2014, adj.,genitalic,June
new word entry,2014, adv.,genitally,June
new word entry,2014, int. and n.,Goddammit,June
new word entry,2014, n.,Goddards drops,June
new word entry,2014, pron.,Godself,June
new word entry,2014, int.,Godzooks,June
new word entry,2014, n.,Haber,June
new word entry,2014, n.,HaberBosch,June
new word entry,2014, n.,hash mark,June
new word entry,2014, n.3,hash,June
new word entry,2014, n. and adj.,heterodontosaurid,June
