submit_date,down_votes,up_votes,meaning,date,phrase
" November 12, 2016",631,2365,That feeling of remorse/self loathing/shame after busting a huge nut to questionable pornographic material.,Apr 28,Stroker's Guilt
" February 05, 2017",1674,937,Sexy ass pic you send in a text message.,Apr 27,hot dog pic
" November 20, 2009",853,1930,"The opposite of fucking ones self. To unfuckyourself, you're fixing a fuck up or avoiding the fuck up altogether.",Apr 26,Unfuckyourself
" February 24, 2017",847,2264,"A plague of many modern electric guitarists. Long and excessive solo on the guitar or other instrument, to show technical superiority rather than compositional and songwriting skills.",Feb 28,musical masturbation
" February 06, 2015",5925,9596,"(n.) fuh-kyoo The line, or queue, formed outside of a Vietnamese restaurant in anticipation of its noodle soup, also known as pho",Apr 7,Pho Queue
" October 01, 2004",1188,1488,"It actually is a word: capable of being conjectured or imagined.This word was popularized in an episode of Friends in the second season.",Apr 6,supposably
" November 21, 2004",2022,9380,Doing something that is a complete waste of effort and time for which you can expect no results and may even backfire on you.,Apr 5,piss in the wind
" April 13, 2017",561,1883,"When you fall asleep in an upright position with your head dangling, most commonly in a car or airplane. The motion makes your head bob up and down like a chicken pecking. In rare cases, you could be fighting falling asleep in class and a moving vehicle is not necessary. Chances of chicken sleeping are increased by 70% after a wake and bake session or accounting class.",Apr 24,chicken sleeping
" April 12, 2017",2507,3171,The feeling of depression and sense of impending doom that sweeps through a person when they think about how Donald Trump is fucking up the world.,Apr 23,Down in the Trumps
" June 05, 2007",921,2089,A tree-hugging female hippie who doesn't shave and always looks like she's maybe been rolling around in the dirt.,Apr 22,earth biscuit
" January 31, 2017",2112,1578,The medical term for the area between the testicles and the rectum.,Apr 21,Gorsuch
" January 23, 2017",1065,1692,Fighting or serving/ about to serve your opponent an ass whoopin in video game.,Apr 14,Catch these thumbs
" July 21, 2003",2866,1127,The act of picking someone up.,Apr 13,chop
" April 10, 2017",778,7249,to beat up and violently drag paying passengers off an airplane in order to make room for airline crew on stand-by.,Apr 12,re-accommodate
" March 20, 2017",1053,3512,A dick thing you say to a tall person to piss them off.,Mar 23,hows the weather up there
" March 18, 2017",4869,3265,"The insane, narcissistic, outrageous asshat who ratfucked his way into the Whitehouse with Russian hacking, slanderous lies from FBI director James Comey, and the archaic, undemocratic, and fucked Electoral College. Ratfucker is now working tirelessly (minus weekly vacations to Florida) to finish dismantling american society, enact authoritarian rule, destroy the environment, and destabilized global relations. Youve been ratfucked.",Mar 22,ratfucker
" March 11, 2017",3797,3178,Government healthcare program thought up by a group of rich white men posing as politicians that will provide you with enough coverage for a band-aid. Unless of course you are one of the rich.,Mar 20,Trumpcare
" March 18, 2017",4877,2921,When the president deals with a problem by sweeping it under the rug.,Mar 19,presidential comb over
" March 15, 2017",1293,2144,When you masterbate so much your spank bank is now into overdraft,Mar 18,spank bank overdraft
" May 01, 2008",3538,2063,(Noun) Getting drunk on St. Patrick's Day,Mar 17,Shamrock'd
" July 30, 2012",1133,1967,See Oxymoron,Apr 3,Clean Coal
" March 25, 2017",856,1864,"When you and someone else make arrangements to hang out but the plans we're not officially made, therefore they can diminish like a cloud in the sky",Apr 2,cloud plans
" April 02, 2008",716,2178,Somebody that says really stupid April Fools Day jokes that piss everyone off.,Apr 1,April Tool
" March 08, 2017",971,1977,A hard round constipating turd. Induced by too much starch and not enough fiber in the diet.,Mar 13,Corn Puck
" September 03, 2007",11964,2509,"The way one's hair can look first thing in the morning, sticking straight up in all directions.",Mar 12,Strand-up comedy
" March 09, 2017",891,2418,N. The sunglasses you put on when your eyes are displaying the effects of marijuana.,Mar 11,highwear
" March 06, 2017",1232,2770,"A term formerly useful for describing websites consisting entirely of intentionally fabricated news stories, but now used to describe virtually anything that does not mesh with one's own views.",Mar 10,fake news
" March 01, 2017",922,1658,"NMH stand for Nodding My Head as a direct opposite of the popular abbreviation SMH, Shaking My Head.NMH is often used to express approval or joy.",Mar 9,nmh
" September 12, 2015",3510,2541,To be fired.,Feb 21,Trumped
"July 29, 2003",366,857,the mouth of either a male or a female. used as a derogatoty meaning.,"
May 8
",cock holster
"November 10, 2010",500,633,"A ""pet name"" of an adored or term of endearment for a significant other who has deliciously suckable, irresistible balls.","
May 7
",Sugar Nuts
"July 23, 2003",663,866,"n. uh-goh, uh-gohsOne who is ugly; offensive to the eye; repulsive","
May 6
",uggo
"April 14, 2006",762,1196,when you didn't really plan on giving a blowjob but you did anyways.,"
May 5
",accidental blowjob
"October 23, 2003",618,2699,"A person who has stopped growing at both ends and is now growing in themiddle.","
May 4
",adult
" November 11, 2009",3243,1974,"Donald Trump ties are cheap, poorly-made rags that are sold a discount and second-hand stores. People wearing these ties are those who wish they had more in their wallet than just lint. Generally, tie-wearers are wanna-bes who are looking for some attention and something to brag about. In reality, they are just embarassing themselves and all other other tie-wearers around the world.",Mar 6,donald trump tie
" February 25, 2017",1185,1059,"An individual who performs less than satisfactorily to the chagrin and sometimes amusement of his or her associates, crew, or squadron.",Mar 5,crumplesack
" July 03, 2011",675,2235,"A vivid, unpleasant mental image (as in a nightmare) conjured in broad daylight, such as an impending crash, or a thought of a loved one in distress, which can cause a strong emotional response such as fear or horror.",Mar 4,daymare
" February 24, 2017",2306,2484,Noun. Disciples of the dark lord Steve Bannon.,Mar 3,Bannonite
" November 30, 2010",2242,1841,getting unbeleivably hammered. may involve loss of memory and balance.,Feb 14,Flynn drunk
" September 25, 2010",3299,2533,A person's chin which lacks definition or strength of character.,Feb 7,bitch chin
" February 25, 2017",1273,1744,(noun): Someone appointed to help destroy or dismantle the agency for which he or she ostensibly works.,Feb 27,bureauclast
" August 16, 2012",1763,5478,"The talk, actions, or behavior of dildos",Feb 26,dildocio
" February 15, 2017",2820,2386,"""The Donald"" in Italian, to draw a parallel between him and Il Duce (Mussolini), the fascist leader of Italy.",Feb 25,Il Donald
" January 09, 2017",1235,1599,Extraterrestrial. A weird person. Someone who is being awkward or weird.,Feb 24,tall grey
" July 01, 2014",4152,4331,Donald Trump's birth-name.,Feb 23,fuckface von clownstick
" January 21, 2017",3621,3989,T.rump is a tyrant lizard with small hands and an even smaller brain,Jan 24,Tyrannosaurus rump
" January 15, 2017",1247,1225,"Similar to the phrase ""just putting that out there"", but it is usually said more as suggestion, particularly when the person saying it lacks confidence that his answer or solution is correct.",Jan 17,Just Placing it out there
" January 26, 2017",4513,2459,Cost of goods paid by consumers after tariff cost increases.,Jan 31,Trump Jumped
" May 30, 2004",725,1167,"When you get so glazed over from smoking the hwaddaow that you can't tell up from down.Derived from Cheech and Chong, who smoked a lot of reefer.",Apr 20,cheeched
" April 12, 2017",735,1849,Neglext:The act of abandoning someone in mid-conversation for a prolonged period of time(intentionally or unintentionally) via the sending of text messages electronically especially from one cell phone to another.,Apr 19,Neglext
" March 15, 2017",2334,1407,The act of explaining man on man sexual intercourse to another person.,Mar 16,manonmansplaining
" December 30, 2011",1269,2558,What most teenage boys use to masturbate,Mar 15,lucky sock
" March 26, 2017",917,2059,"Masturbation, usually in a more aggressive manner.",Mar 31,cranking the hog
" March 26, 2017",1169,1468,When you confirm the affirmative.,Mar 30,Comfermative
" March 26, 2017",1642,1462,Opposite of uptight; laid back; chill,Mar 29,downtight
" March 05, 2017",1285,2002,"Something you feed haters, has to be juicy lies that will get them to bite",Mar 8,hater steak
" January 25, 2017",3224,3738,"Trumpflakes are people that blindly defend Donald Trump, no matter insane or bat-shit crazy the case may be. They are basically flakes that defend Donald Trump by calling everyone 'snowflakes'.",Feb 20,trumpflakes
" February 07, 2017",1867,3269,When you completely blow a job interview and still wind up getting the job.,Feb 19,DeVos'd it
" February 15, 2017",2745,2775,The unpunished crime of betraying one's country through espionage and alternative facts.,Feb 18,treasonish
" February 17, 2015",1611,2106,When a person or persons quits or leaves an organization or position before the said person is canned.,Feb 17,Nixon'd out
" February 15, 2017",1930,2381,To torch a good job by accidentally engaging in treasonous acts.,Feb 16,Flynncinerate
"June 12, 2012",870,1145,When you can't poo.,"
May 3
",No Shit-Situation
" April 06, 2010",2634,8713,"Latin abbreviation for the literal translation of ""and shit"", specifically, ""et merda"". Just like ""etc."" (and so forth), ""i.e."" (that is), and ""e.g."" (for example), ""etm."" can be used to abbreviate ""and shit"".",Jan 10,etm.
" March 16, 2007",6700,8028,A slang term for a hair cut.,Dec 26,ears lowered
" February 19, 2017",1129,1376,"One of the shittest and most annoying things on the internet. First seen in january, 2016. In february, 2017, it went viral, and began to invade all over the internet. You can see at least one comment with this bird in facebook pages. There are numerous pages and groups created about this. Also there are millions of protesters around the world.",Mar 2,trash dove
" April 17, 2006",1819,1307,The reverse of namesake; a person you are named after.,Mar 1,nametake
" February 11, 2017",2421,3933,"Acronym for So-Called Ruler of the United States, as in POTUS, President of the United States.",Feb 13,SCROTUS
" February 10, 2013",1384,1848,"In a political context - In favor of large, intrusive government that violates or suppresses individual rights; characterized by a ""law and order"" approach; failing to support civil liberties and/or economic freedom in society; undemocraticIn a non-political context - Bossy, controlling, domineering",Feb 12,authoritarian
" January 21, 2017",2022,3325,An outrageous lie.,Feb 11,Spicer
" February 08, 2017",2305,3180,"A toad who thinks he is a prince, devoid of any self awareness as to what an asshole he looks like to everyone around him. Possibly a narcissist slash racist slash spoiled rich kid all grown up.",Feb 10,Shit Gibbon
" February 08, 2017",1096,2911,Effortlessly obtained dick.,Feb 9,easy D
" January 28, 2017",6990,2679,"adj: describes an action or person that is motivated by arrogance, self-agrandizement, and without concern for fact, consequence or responsibilty.",Feb 6,trumpian
" February 03, 2017",1794,4276,One of the worst terrorist attacks that never happened.,Feb 5,Bowling Green Massacre
" February 01, 2017",6426,3221,"An anagram or ""alternative name"" for the worst president in the history of the USA. Coined by Colin Mochrie (of Whose Line is it Anyway fame) on 20 January 2017.",Feb 4,lord dampnut
" January 18, 2017",1439,4390,"On an episode of Dr. Phil, a ""difficult"" teenage daughter, addresses the crowd using the phrase, ""Cash me outside dah.""Basically, it means, come talk to me outside so that we can sort out our issues and potentially get into a physical fight.",Feb 3,cash me outside howbow dah
" February 13, 2013",1144,1572,"The seemingly friendly yank of someone's arm in an authoritative handshake truly designed to be vigorous, demeaning and disrespectful.",Feb 2,yankshake
" January 26, 2017",6739,3092,An economic system where corporations and billionaires get huge tax breaks and refunds the rest of us get chump change.,Feb 1,Trumponomics
" November 23, 2016",2857,3047,"Alt-Reich: An Intentional play on the word ""Altreich"". which is an actual German word meaning Old Empire and can refer to Germany's pre-WWI territories or even it's territories as the Holy Roman Empire, i.e. the countries Hitler tried to take back.",Feb 22,Alt-Reich
" January 22, 2017",2676,4563,"The worst of the four classifications of lies: lies, damned lies, statistics, alternative facts. Alternative facts are distinguished from the other damnable lies by the addition of gaslighting the listener.",Jan 23,alternative facts
" January 21, 2017",3829,3699,"A large, fresh dump.",Jan 22,Hot Donald
" January 19, 2017",3527,2679,"""The Stupidest explanation is always the right one""",Jan 21,Trump's Razor
" June 29, 2006",2237,2955,A male physical attribute with implications of having a small cock. ,Jan 20,small hands
" January 18, 2017",1265,2521,The response for when someone is telling huge porkies.,Jan 19,bull mother fucking shit
" June 18, 2009",1976,1891,A citizen of Nazi Germany who participated in or overlooked atrocities while denying personal moral responsibility by appeal to his submission to supposedly legitimate authority.,Jan 16,Good German
" January 14, 2017",2832,3049,a nick name for Donald J Trump (during and after the 2016 Presidential election),Jan 15,orange face
" September 28, 2010",2112,2601,"The term ""banana republic"" refers to a country dominated by corporate interests, in which income disparity between rich and poor is extremely high, to the point that the middle class has just about disappeared, and aside from the fantastically wealthy few, practically everyone is dirt poor.A Banana Republican is a Republican who wants to lower taxes for the rich, leading to increased income disparity and bringing the USA closer to banana republic status.",Jan 14,Banana Republican
" February 22, 2014",8352,10701,similar to the resting bitch face. when a guy just looks like an asshole but hes actually a nice guy with a face of a complete doucher,Jan 13,resting douche face
" April 21, 2003",1374,3460,"In BDSM terminology, refers to sensual or erotic play involving bodily fluids, typically urine, saliva, and less commonly, blood.  Considered 'edge-play', because it is obviously somewhat unhygenic.",Jan 12,watersports
" January 29, 2017",2798,3959,"A fascist twit who overuses their Twitter, and uses it for attention and to indoctrinate the foolish. Synomous with The Orange Snowflake, a.k.a Orange Mussolini, a.ka. Orange Faced Shit-gibbon, a.k.a Donald J. Trump.",Jan 30,Twitler
" October 22, 2006",2916,6121,"What every inhabitant of the USA is, except the Native Americans. ",Jan 29,immigrant
" June 18, 2005",1921,2701,n. Government by the least qualified or most unprincipled people.,Jan 28,kakistocracy
" January 25, 2017",3665,3245,"basically donald trump, bc he's a big 'ol white lump of overcomb + cheeto dust skin",Jan 27,Donald Lump
" February 11, 2017",3917,3614,When a handshake between two persons goes past the extra timeit can last up to twenty-odd seconds.,Feb 15,Trumpshake
" February 28, 2010",575,1792,Military phrase meaning troops in place. Slang usage is when you are referring to going somewhere or being somewhere or someplace.,Jan 9,Boots on the Ground
" January 06, 2017",1028,2181,"This expression dates as far back as man has been stuffing his junk into farm animals. You fuck one goat. Meaning there are some things we do that we must carry with us, no matter the good deeds you do or the people who love you, this can all be overshadowed by one horrific deed.",Jan 8,you fuck one goat
" January 06, 2017",2606,2033,Noun. Using social media sites such as Twitter to manage foreign relations and conduct diplomatic discussions publicly.,Jan 7,Tweetplomacy
" January 05, 2017",8095,4540,Pull a fact out of your ass.,Jan 6,trump it
" March 13, 2006",1551,5298,"voluntold:  The exact opposite of volunteering.  Always used in reference to an unpleasant task to which you have been assigned by your boss.",Dec 25,voluntold
" July 28, 2008",3827,13607,An individual who talks on his or her cell phone even when doing so is rude or inconsiderate of other people.,Dec 23,Cellfish
" December 18, 2016",5302,5082,When you make a decision you instantly regret.,Dec 22,feeling brexit
" December 17, 2016",6089,4918,"AdjectiveA self-coined malapropism and Freudian slip by the Short-fingered Vulgarian/President-elect as he attempted to conduct sensitive US-Chinese diplomacy with a very-classy, bigly-nuanced tweet.",Dec 21,Unpresidented
" January 29, 2017",6556,4218,Piece Of Totally Useless Shit,Feb 8,POTUS
" December 14, 2016",2122,4026,"If you own a sailboat, it's the wind in your sails.",Dec 18,Sailboat fuel
" December 10, 2016",5347,3213,The weight gained when Donald Trump was elected President Of The United States,Dec 11,Trump Ten
" December 02, 2016",895,2314,"An expression used in North England meaning ""I'm so tired I'm going to have to go to bed soon""",Dec 4,not long out of bed
" November 18, 2016",678,4293,"A safe haven which could be limited to a closet, toilet, single room or a complete house were a male organism is able to produce semen by hand without being disturbed.",Nov 27,wank shelter
" November 18, 2016",527,3027,"The default drink one orders when unfamiliar with the drink options, or not ready to order.",Nov 20,Panic drink
" August 24, 2009",2272,9825,"When two mates have a mutual understanding to laugh at each others jokes, no matter how lame or awkward said joke is, therefore lessening the social failure of the bad joke.",Jan 18,Joke Insurance
" July 23, 2005",1835,3709,n. The act of urinating on someone for sexual pleasure.,Jan 11,Golden Shower
" January 07, 2017",3737,3961,a new healthcare insurance system where you automatically lose your health coverage if you are sick or poor.,Jan 26,trumpcare
" January 24, 2017",3565,2674,"When you go to a foreign country, order a presidential suite, and get videotaped watching two prostitutes pee on each other.",Jan 25,Trump Treatment
" March 18, 2010",3040,14072,"When you have to call someone back but don't want to talk to them, so you wait until you know they can't talk and leave a voice mail.",Dec 28,Stealth-call
" November 26, 2010",3622,7801,"A TSA pat-down with a ""happy landing.""",Dec 27,Gate Massage
" December 20, 2004",2372,1031,From the slang own: to own self.,Nov 13,Self-own
" December 15, 2016",5275,10555,Body of assholes who assemble every four years to confirm chief executive asshole.,Dec 20,rectoral college
" January 02, 2015",7456,17240,To mess up extremely past the point of no return.,Dec 19,You Done Fucked Up
" December 16, 2016",1783,4012,When your experience level in masturbating has reached the pinnacle of the field and have been established as an expert in the field.,Dec 17,doctorbating
" December 15, 2016",4522,4624,Extreme over reaction to personal criticism.,Dec 16,trumpitantrum
" December 13, 2016",1286,4252,When you masturbate so long in the shower that the water turns cold,Dec 15,Beat it till it's cold
" December 13, 2016",5108,5615,A small penis surrounded by a ridiculous plumage of pubic hair.,Dec 14,Trump Stump
" December 12, 2016",897,3921,Excuse to miss school for an event.,Dec 13,one day flu
" December 10, 2016",5549,4742,Taking an incredibly toxic dump.,Dec 12,Take a Trump
" September 20, 2006",9508,6632,"For people who don't know the word ""our""",Dec 10,are
" December 07, 2016",1298,3789,A term used to tell someone to pray before an event.,Dec 9,bless it up
" November 27, 2003",14435,39632,"The sometimes frothy, usually slimy, amalgam of lubricant, stray fecal matter, and ejaculate that leaks out of the receiving partner's anus after a session of anal intercourse. Named, by popular demand and usage, after legislator Rick Santorum because of his homophobic political statements.",Dec 8,santorum
" December 06, 2016",937,2028,"A TV show, Film or situation that was not really funny or marginally funny that for whatever reason is much funnier aftwrwards.",Dec 7,Laughterwards
" December 05, 2016",733,6436,The most Southern 'fuck you' there is. Can be put at the end of a phrase to nullify any cruelty.,Dec 6,Bless your heart
" December 02, 2016",4732,3476,The smell that occurs when a swamp is drained and replaced with raw sewage and other kinds of stinking waste.,Dec 5,trumparoma
" December 02, 2016",4070,3885,When you ejaculate so hard it destroys everything in a two mile radius.,Dec 3,nuclear cumsplosion
" November 29, 2016",748,3480,When a woman is pregnant and is keeping it a secret.,Dec 2,baby in the closet
" November 29, 2016",6555,5417,"A self-declared follower of the Christian faith and its principles of unconditional love, helping the less fortunate and renunciation of violence and worldly goods, who also rabidly supports President-elect Donald Trump, an unabashed narcissist, racist, misogynist, xenophobe and pussy grabbing real estate con-man of shiny, gaudy buildings.",Dec 1,Trump Christian
" November 25, 2016",4712,3438,"(n) Used to reference a dog's butt hole immediately prior to the dog having a bowel movement. Right before a dog has a bowel movement, their butt hole starts to expand and pucker, causing an uncanny resemblance to Donald Trump's mouth. The Trumpy Butt is a signal to the owner or dog walker that the dog is about to go. The state following Trumpy Butt is often referred to as ""Brown Eye.""",Nov 26,Trumpy Butt
" November 17, 2016",1097,3228,This means that somebody was too loud during sex the night before.'Microwave' refers to the coitus that was had.,Nov 25,I Heard You Using the Microwave
" April 26, 2006",3159,814,"Folks.As in, a group multiple people.",Nov 24,folx
" March 24, 2008",3381,4077,"A fake, unaccredited school using Donald Trump's name that offers classes in real estate, management, negotiation, entrepreneurship, and wealth creation. They are another example of a diploma mill, like Walden University or Trinity Southern University. Their main source of advertising is from spam, which also include offers for pet medications, diet pills, software, loans, photo contests, and mortgage applications. ",Nov 23,Trump University
" June 30, 2008",596,2580,Screw things up for yourself.  Let yourself down.  Betray yourself by acting in a way that's opposite to your own interests or (conscious) intentions.,Nov 19,played myself
" November 14, 2016",4434,1291,"When a man mansplains what ""mansplaining"" means.",Nov 18,manmansplaining
" June 17, 2008",1194,1438,"A person who performs ""special tasks"" for Emperor Palpatine of the Galactic Empire. Mara Jade was a known Hand.",Nov 17,Emperor's Hand
" April 20, 2009",755,2749,"A corrupt governmental body made up of thieves, also sullied by nepotism and croneyism.",Nov 16,Kleptocracy
" November 12, 2016",4342,5689,"A giant, unavoidable bowel movement whose aftermath can clear an entire house and leaves its shocked victims in a mood as foul as its odor.",Nov 15,tronald dump
" November 11, 2016",4603,5608,The act of grabbing a girl by the vagina,Nov 14,Trumpalingus
" November 09, 2016",2829,6081,"When everything that can go wrong , goes wrong.",Nov 12,Feeling 2016
" November 09, 2016",5085,7760,"A feeling typically associated with dread,night terrors and flashbacks from the presidential election results.",Nov 11,Post-Trump Stress Disorder
" November 09, 2016",8992,9599,"Doing something very stupid, like when America voted for Trump to be the president.",Nov 10,Pulling An America
" July 15, 2016",8906,8886,The punishment or fate a society deserves to receive.,Nov 9,Trumpence
" March 24, 2009",2533,1249,Term coined for the Bromance between Olympic swimmers Ryan Lochte and Michael Phelps. ,Nov 6,Phlochte
" November 29, 2016",1051,3030,"Whoja vu is to people as Deja vu is to events.That eerie feeling you've met someone before, even though you just met them for the first time",Nov 30,Whoja vu
" November 28, 2016",3437,8139,The fear of Donald Trump,Nov 29,Trumpophobia
" November 14, 2012",2863,2062,"disease earned through the chain of command in the US military, specifically, from a superior to a subordinate or a hired author",Nov 28,pentagonorrhea
" August 11, 2014",884,1833,"used as a slang term to describe something with a conflict of interest, much like it would be a conflict of interest to hire a dingo to babysit your infant while you leave the house. In this situation the dingo has a contrast of interest and will most likely NOT do a good job babysitting your infant.This term was first used on the popular HBO show, last week tonight with John Oliver.",Nov 22,calling dingo
" November 16, 2016",676,2448,relating to or denoting circumstances in which objective facts are less important in shaping public opinion than emotional or personal beliefs.,Nov 21,post-truth
" November 03, 2010",1713,7683,"The feeling you have the day after an election, because you stayed up late trying to find out the results.",Nov 8,Election hangover
" June 23, 2008",1442,8411,A controversial process of extracting otherwise-secret information from a friend or co-worker by getting them drunk and thereby loosening their control on their tongue. ,Nov 7,beerboarding
" April 29, 2004",2652,2770,"A male cougar.  Single, usually divorced, and at a minimum 10 years older than a cougar.",Nov 5,manther
" December 03, 2005",632,2599,"Droplifting is the opposite of shoplifting; it involves leaving a product or item in a shop, rather than taking one.  It has been used by artists and musicians to promote their work for free, whilst some people use droplifting to make political or economic statements. (for example by altering shop's products and then returning them)",Nov 4,droplifting
" August 19, 2003",1153,4906,A former lesbian who is now in a heterosexual relationship.,Nov 3,Hasbian
" April 07, 2005",1109,1933,"The factor by which a male's hottness increases when he's in his uniform.  On a scale of one to ten, a uniform usually increases a guy's number by 2.  Can also be applied to non-military men in some uniforms.",Nov 2,military factor
" June 20, 2011",7588,11187,y u mad,Oct 30,\_()_/
" October 16, 2005",1187,2130,"A dog that lays on its back with all four legs in the air--like a dead cockroach--is commonly described as ""roaching.""",Nov 1,roaching
" September 24, 2007",4106,3685,"A nap taken after someone has consumed any amount of caffeine    (i.e. coffee) resulting not in sleep, but blissful rest, while still mildly conscious.",Oct 31,coffee nap
" April 23, 2009",6230,5202,"A comment on a Facebook item (e.g. status, note, etc) that was removed by the author due to A) misspelling, B) stupid remark, C) awkward input, or D) other.The result is typically confusion and several wasted minutes on the part of the one who was commented on or anyone who posted previously.",Oct 29,ghost post
" May 15, 2014",1183,1288,"when you want someone to do something, take your phone and say ""do it for the vine"" while recording him, then he'll do it because of the ""social"" pressure.",Oct 28,Do it for the vine!
" April 25, 2006",1930,3972,One who is completely lacking movie knowledge.,Oct 27,Cinematard
" May 18, 2009",2602,6471,1. An phrase overused by those trying to sound sophisticated and/or intelligent.2. A phrase used frequently by Tobias Bluth from Arrested Development.,Oct 26,If you will
" January 24, 2007",3666,8197,To thoroughly clean one's teeth before visiting the dentist for a teeth cleaning.,Oct 25,precrestination
" July 08, 2004",614,1939,"1. an exclamation used when you want to punctuate/emphasize an obvious or insulting quip or action2. an exclamation highlighting something you did not know until then3. a personal reminder",Oct 24,note to self
" January 31, 2006",1167,1916,When your head bobs around when you about to fall asleep when sitting upright.  It is given this name because it looks like you're driving offroad.  ,Oct 23,four-wheeling
" May 14, 2009",1890,5026,"A businessman who is looking to buy companies at giveaway prices, as opposed to venture capitalists.",Oct 22,Vulture Capitalist
" May 29, 2014",8239,6192,"Romantic comedy or romcom specifically geared toward moms. Most mere mortals will not understand momcoms without a mom to translate the comedy for them. Momcommers will say things such as, ""You wouldn't get it, you're not a mom"" or ""I guess I just really got the comedy because I am a mom""",Oct 21,mom-com
" October 31, 2014",7160,12782,"What a man does to maintain his erection, usually while waiting for more porn to load or doing something else.",Oct 20,maintenance strokes
" April 24, 2007",1794,3477,"A friend, maybe a best friend, who you get into trouble with and who is somewhat responsible for your actions.",Oct 19,accountabilabuddy
" June 22, 2016",1541,4342,A big ol pupper.,Oct 18,doggo
" October 15, 2016",880,1936,"The process by which a song's title is inferred through the lyrics, even though the actual title of the song is different.Named after the song ""Bring Me To Life"" by Evanescence, which many nimrods erroneously believe to be called ""Wake Me Up Inside."" However, this phenomenon is not limited to this song only.",Oct 17,"""Wake Me Up Inside"" syndrome"
" October 15, 2016",779,2922,"T-Rex sex is a loud, passionate and savage encounter.",Oct 16,T-Rex sex
" October 01, 2016",654,4993,When someone is only a dick to certain people,Oct 2,Selective Dickism
" July 26, 2016",563,2451,Verb: To scroll through all of your personal email and social media on your couch or bean bag at the end of a hard day. You find this to be an effective way to decompress or chill.,Oct 15,Scrollaxing
" December 19, 2004",1734,4304,"A prerecorded call that is sent to hundreds or thousands of telephone numbers. An automatic dialing computer goes through a targeted list of phone numbers.Or: an individual call received.",Oct 14,robocall
" December 08, 2008",8345,11281,"A conspiracy theorist who believes that Barack Obama is ineligible for the Presidency of the United States, based on any number of claims related to his place of birth, birth certificate, favorite birthday, or whether or not he has heard the song Africa by Toto.",Oct 13,Birther
" October 22, 2015",1698,4687,"Having a violent accident so bad, it's obvious from afar that all of your bones are broken",Oct 12,he need some milk
" October 10, 2016",569,1119,"1.	An unintentionally inaccurate statement or idea; possibly common and often used.2.	A pervasive disorder, characterized by a tendency to make inaccurate statements.",Oct 11,inaccurism
