months,oil_urals,cpi,ppi,balance_trade,net_capital_export,deposits_value,deposits_growth,deposits_rate,mortgage_value,mortgage_growth,mortgage_rate,income_per_cap,fixed_basket,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco
2012-06,93.74,366,450.8,18.363,0.095579023,12509440,0.020377883,5.4,343701,0.677637745,12.18,52818.8,13494.23,165.34,97.26,70.42,52.53,46.29,39,30.48
2012-07,102.78,369.2,446.9,14.889,-0.133856894,12833440,0.02590044,5.3,424105,0.598562404,12.2,47862.9,13762.47,137.93,85.62,65.25,57.58,43.42,38.25,31.1
2012-08,113.09,373.8,441.9,12.794,-0.172391487,12830586,-0.000222388,5.2,510527,0.579234398,12.25,43694.4,13660.59,100.08,85.13,69.04,52.53,46.64,40.22,32.11
2012-09,111.73,374.1,464.6,12.785,-0.169049786,13057606,0.001960396,5.5,604721,0.565061544,12.26,45348.6,13726.03,156.84,91.76,69.87,51.88,47.3,40.66,32.9
2012-10,110.23,376.2,487,17.37,0.009942439,13057606,0.001960396,5.8,690820,0.526087206,12.34,49737.2,13807.34,153.86,97.07,69.15,51.77,47.19,41.19,32.69
2012-11,108.65,377.9,479.1,15.614,-0.114300301,13196495,0.010636636,6,791792,0.518212794,12.44,51261,13872.82,163.06,90.97,70.37,51.74,48.97,40.83,32.93
2012-12,108.6,379.2,473.5,16.041,-0.158659394,13434237,0.018015541,6.1,895130,0.500616924,12.55,87653.4,13948.2,135.25,90.53,68.42,49.1,46.94,41.01,33.1
2013-01,111.92,381.2,468.3,17.851,-0.186334838,14251046,0.06080055,6.1,1017316,0.458691142,12.67,39108.3,14289.4,152.51,82.27,69.46,52.41,45.2,40.25,32.84
2013-02,114.51,384.9,466.2,19.183,-0.121335654,14069260,-0.012755976,6.2,51472,0.333264259,12.69,51394.4,14377.54,132.42,89.46,68.5,52.57,47.9,0.1,32.62
2013-03,107.4,387.1,469.8,17.95,-0.139418928,14396193,0.023237398,6.1,131412,0.28388452,12.83,52700,14581.91,136.02,90.61,70.03,52,47.56,41.96,33.07
2013-04,101.99,388.5,472.2,18.336,-0.066347574,14738946,0.023808586,6.1,224235,0.25163966,12.89,58779.1,14739.33,139.43,89.07,70.6,50.64,47.09,41.3,32.61
2013-05,103.34,390.4,466.6,16.432,-0.156641347,15210054,0.03196348,5.7,336199,0.273244739,12.62,46508.8,14983.92,160.69,87.26,72.47,51.77,47.35,40.77,2.31
2013-06,102.62,393,462.1,16.954,-0.076730382,15227268,0.001131751,5.6,429229,0.248844199,12.7,56458.1,15130.84,152.76,94.53,70.28,52.62,46.56,41.09,32.23
2013-07,108.6204,394.7,464,16.104,0.081603869,15632019,0.026580671,5.4,535188,0.261923344,12.62,54012.1,15163.82,144.03,88.67,71.88,51.01,48.08,41.42,32.55
2013-08,111.8138,397.9,473.4,15.748,0.230889479,15796827,0.010542976,5.3,654765,0.282527663,12.45,52740.4,15241.93,164.7,87.09,70.99,54.5,48.22,42.33,33.15
2013-09,111.3933,398.5,486.7,16.474,0.288541259,15945713,3.7628e-06,5.4,774624,0.280960972,12.41,48234.9,15215.84,153.23,89.36,71.11,59.91,49.12,42.1,34.53
2013-10,108.1613,399.3,493.6,18.968,0.091997697,15945713,3.7628e-06,5.1,894584,0.294959613,12.37,56903.8,15285.65,155.91,91.81,73.59,57.26,48.28,41.96,34.52
2013-11,107.9176,401.6,487.9,15.777,0.010439349,16062065,0.007296757,5,1029124,0.299740336,12.26,56583.4,15367.58,165.95,89.25,70.99,55.99,49.29,42.02,34.55
2013-12,110.622,403.9,480.6,20.191,0.25871205,16260794,0.012372569,5.1,1160728,0.296714444,11.93,88547.9,15417.34,142.39,86.81,71.2,56.6,48.5,42,33.97
2014-01,107.1991,405.9,485.5,20.182,0.13058092,16957531,0.042847662,5.3,1338731,0.315944112,12.12,40307,15608.27,198.42,107.62,78.97,58.75,47.04,41.44,33.49
2014-02,107.988,408.3,487.7,20.634,0.075639889,16689420,-0.015810733,5.09,79003,0.534873329,12.28,45474,15730.81,152.53,101.67,75.98,60.06,49.24,41.79,33.65
2014-03,106.8776,411.2,485.6,13.698,-0.236880223,16908024,0.013098358,5.07,197265,0.501118619,12.29,46980,15916.88,146.41,96.63,75.02,55.3,49.75,41.91,33.26
2014-04,107.076,415.3,496.6,21.449,0.169775305,16563850,-0.020355661,5.18,333115,0.485562022,11.97,53510,16041.58,174.22,101.15,74.26,59.19,49.32,40.95,32.96
2014-05,107.843,419.1,500.3,21.583,0.31347371,16847471,0.017122891,5.19,493603,0.468186996,12.3,47334,16205.25,171.27,102.33,79.09,59.03,50.24,41.17,32.87
2014-06,109.6476,422.8,502.4,19.978,0.178364988,16756486,-0.005400514,5.33,628163,0.463468219,12.2,51590,16295,205.59,94.73,74.82,59,48.7,41.18,33.06
2014-07,105.6383,425.5,506.5,15.818,-0.017759563,16883220,0.00756328,5.54,766009,0.431289566,12.23,55216,16251.41,185.69,100.27,77.87,60.43,50.93,41.97,33.67
2014-08,101.4165,427.5,514.8,18.632,0.183134366,17111775,0.013537406,5.63,922855,0.40944461,12.22,53338,16134.39,174.76,108,96,72.02,52.81,43.11,34.83
2014-09,95.6732,428.6,514.7,18.076,0.097244142,17297538,0.001526068,5.71,1067947,0.378665004,12.29,50830,16165.3,173.3,113.58,85.38,65.13,51.41,43.26,34.52
2014-10,86.6257,431.4,510.8,14.256,-0.248418389,17297538,0.001526068,5.95,1215518,0.358752224,12.44,60461,16269.79,177.29,105.03,84.43,68.9,52.82,43.85,35.37
2014-11,78.9665,434.9,512.5,16.54,0.048361539,17685383,0.022421977,6.23,1379684,0.340639223,12.85,62173,16648.7,162,101.75,83.47,61.88,53.21,43.23,34.3
2014-12,61.2833,440.5,510.1,15.317,-0.241394681,18087076,0.022713277,12.29,1528991,0.31726899,12.62,89252,16910.54,156.85,100.39,82.98,59.94,49.89,42.64,34.33
2015-01,46.3414,452,513.9,15.183,-0.247695967,18552682,0.025742469,12.33,1753294,0.309668634,13.17,39156,17817.4,208.07,99.59,92.28,55.22,52.64,43.29,33.88
2015-02,57.863,469.4,520.7,16.889,-0.181496559,19328702,0.041827915,11.22,70259,-0.110679341,14.16,58366,18295.07,190.86,99.44,83.85,61.92,51.49,41.86,34.35
2015-03,54.6423,479.8,531.7,14.695,0.072784348,19077332,-0.013005012,11.16,149640,-0.241426507,14.71,54221,18557.88,180.67,114.36,74.32,45.17,50.41,40.49,31.35
2015-04,59.1295,485.6,561,16.65,-0.223740035,19092873,0.000814632,8.97,217176,-0.348044969,14.7,65119,18642.71,149.1,110.75,74.97,44.49,50.36,39.92,31.41
2015-05,63.3737,487.8,575.9,15.602,-0.277116249,19132819,0.002092194,8.86,297857,-0.396565661,14.05,51882,18745.28,212.87,108.69,75.83,49.86,50.42,39.16,31.09
2015-06,61.4105,489.5,568.9,16.416,-0.178296126,19383170,0.013084899,9.39,371332,-0.408860439,13.46,60050,18720.65,167.37,138.14,72.24,50.93,49.01,38.91,30.29
2015-07,55.8961,490.5,572.8,14.788,-0.065115691,19892300,0.026266601,8.74,458999,-0.400791636,13.29,63194,19156.19,211.83,115.64,77.49,52.36,49.35,39.62,30.98
2015-08,45.5825,494.4,581.2,11.428,-0.386646629,20402581,0.025652187,8.44,555335,-0.398242411,13.44,56201,19042.99,205.64,105.59,91.4,50.5,51.23,39.95,30.89
2015-09,47.0118,496.1,581.9,9.838,-0.455742421,21121680,0.035245492,8.45,650852,-0.390557771,12.88,53859,19088.53,142.85,114.18,83.28,54.42,50.07,39.06,30.69
2015-10,47.3436,499,575.5,10.501,-0.263397868,21214913,0.00441409,6.92,759239,-0.375378234,13.12,55946,19140.87,242.23,115.38,81.23,56.45,49.67,38.84,30.41
2015-11,42.3962,502.7,585.5,11.246,-0.320072551,21192815,-0.001041626,7.45,870312,-0.369194685,12.89,57984,19213.32,191.2,115.37,81.3,51.19,49.62,39.48,30.48
2015-12,36.7805,506.4,581.6,10.108,-0.34007965,21491188,0.01407897,8.43,982732,-0.357267636,12.29,102709,19274.42,172.89,96.39,80.55,53.17,49.42,40.09,30.37
2016-01,29.1125,510.3,568.7,12.663,-0.165975104,23219077,0.080399883,8.2,1157760,-0.339665795,12.92,,19461.67,164.26,98.79,74.05,51.1,48.62,38.19,29.76
2016-02,30.5943,515.2,560.8,8.481,-0.49783883,22801529,-0.017982972,7.68,61748,-0.121137506,12.51,,19544.19,149.88,97.07,84.12,53.62,46.89,38.11,29.85
2016-03,36.6171,518.5,551.9,7.991,-0.456209595,22970506,0.007410775,7.46,204217,0.364721999,12.1,,19807.43,174.65,115.18,72.09,50.68,47.05,38.06,29.67
2016-04,39.9762,520.9,569.1,8.721,-0.476216216,22518876,-0.0196613,7.67,323136,0.487899215,12.86,,19904.31,213.12,104.28,73.85,51.81,47.97,37.39,28.92
2016-05,45.0185,523.2,584,7.439,-0.523202154,22673775,0.006878629,7.04,446114,0.497745562,12.94,,20031.98,205.89,99.88,73.46,50.11,47.57,36.96,29.16
2016-06,46.6518,525.3,589.6,8.421,-0.487024854,22924700,0.01106675,6.92,549848,0.480744994,12.99,,20099.15,195.13,98.56,73.12,50.37,45.49,37.46,29.36
2016-07,43.6614,527.2,605.3,9.085,-0.385650527,23062717,0.00602045,6.78,663919,0.446449774,12.99,,20422.5,136.94,87.61,77.89,53.62,46.79,37.74,29.83
2016-08,43.8159,530.1,606.1,7.507,-0.343104655,23453188,0.016930833,6.77,774561,0.394763521,12.82,,20380.73,250.3,90.41,73.36,53.08,46.4,38.04,29.68
2016-09,44.3677,530.1,597.8,5.823,-0.408111405,23453188,0.016930833,,899539,0.382094547,12.66,,20354.78,180.76,99.65,69.81,50.2,45.71,38.4,29.78
2016-10,,531,601.9,,,,,,,,,,,,,,,,,
