category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol,vintage
Red,US,Big Basin 2014 Coast Grade Vineyard Pinot Noir (Ben Lomond Mountain),Pinot Noir,48,750 ml,95,Big Basin,"This wine is a study of how to make Pinot Noir both extremely light and yet powerfully flavorful. Underripe black raspberry meets with white pepper and dill on the nose. The bright and lively palate dances across the tongue with thyme, rosemary and pine flavors against tart red fruit. It's easy to guzzle.",12.80%,2014
Red,Portugal,Herdade do Esporo 2011 Torre do Esporo Garrafeira Red (Alentejo),Portuguese Red,180,750 ml,95,Herdade do Esporo,"Named after the tower that dominates the buildings of Esporo, this wine is the pinnacle of achievement from the estate. It is a beautiful, silky textured wine that has dark tannins, a dense structure and intense black fruits. The sum is much more than the parts: a very fine, long-lived wine. Drink from 2019.",14.50%,2011
Sparkling,France,Deutz 2007 Amour de Deutz Brut Ros (Champagne),Champagne Blend,200,750 ml,95,Deutz,"Crisp red fruit dominates this beautifully crafted wine. Poised and stylish, it exudes sophistication with its bright red currant fruit and delicious acidity. A lively mousse enhances its crisp texture and fine aftertaste. Drink from 2018.",12%,2007
White,France,La Chablisienne 2014 Chteau Grenouilles Grand Cru (Chablis),Chardonnay,89,750 ml,95,La Chablisienne,"This small property with its own chteau lies within the lower portion of Vaudsir but is considered a Grand Cru in its own right. The winethe flagship of the cooperativeis opulent, showing strong wood aging flavors that will soften with time. Ripe and generous with yellow fruit flavor, it also boasts a tight mineral acidity and crispness, making it a good candidate for cellaring. Drink from 2021.",13%,2014
White,US,Shea 2014 Shea Vineyard Chardonnay (Willamette Valley),Chardonnay,35,750 ml,95,Shea,"As fabulous as ever, this brilliant compendium of nutty-toasty-buttery scents and flavors is never tiring. It's vivid, fruit-loaded and bracing. Well-ripened citrus and stone fruits come into focus, along with streaks of vanilla and lemongrass.",13.60%,2014
Red,US,Shea 2014 Shea Vineyard Homer Pinot Noir (Willamette Valley),Pinot Noir,92,750 ml,95,Shea,"Homer is the winery's top level reserve cuve. Aromatic and complete in every detail, it opens with cinnamon and violet scents, plum and cherry fruit soaked in mocha chocolate and the density and complexity that only the finest Pinot Noirs attain. Drink with pleasure now through the 2020s.",14.80%,2014
Red,US,Merry Edwards 2014 Georganne Pinot Noir (Russian River Valley),Pinot Noir,63,750 ml,94,Merry Edwards,"Planted in 2006, this vineyard is one of the newer sites for the Queen of Pinot, who coaxes a strong-willed, high-strung complement of charcuterie and wild lavender from its vines. Bright red currant and raspberry are met by floral, herbal competition, which vies for attention on the palate, girded by strong tannins and mellow oak.",14.50%,2014
Red,US,Pia 2013 Buckeye Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,99,750 ml,94,Pia,"Bright red currant is complemented by dark, brooding black fruit tones in this complex, nuanced and grippy wine, young and showy in its mountain genetics. Forest floor, mint, cedar and graphite fleck the fruit, with complexity knocking on the door.",14.70%,2013
Red,US,Babcock 2014 Slice of Heaven Rita's Crown Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,60,750 ml,94,Babcock,"Baked strawberry pastry aromas meet with star anise, savory herbs and an earthy forest floor funk full of composting underbrush on the dynamic nose of this bottling by pioneer Bryan Babcock. There is lively energy to the sip, carrying flavors of bay leaf, eucalyptus and tobacco against a backbone of black plum fruit.",13.90%,2014
White,France,La Chablisienne 2014 Les Clos Grand Cru (Chablis),Chardonnay,69,750 ml,94,La Chablisienne,"From the grandest of the Grand Cru vineyards, this wine is powerful and structured. Its intense white and yellow fruit gains extra richness from subtle wood aging. It's juicy, ripe and full in the mouth. Drink from 2021.",13%,2014
Red,US,Merry Edwards 2014 Georganne Pinot Noir (Russian River Valley),Pinot Noir,63,750 ml,94,Merry Edwards,"Planted in 2006, this vineyard is one of the newer sites for the Queen of Pinot, who coaxes a strong-willed, high-strung complement of charcuterie and wild lavender from its vines. Bright red currant and raspberry are met by floral, herbal competition, which vies for attention on the palate, girded by strong tannins and mellow oak.",14.50%,2014
Red,US,Pia 2013 Buckeye Vineyard Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,99,750 ml,94,Pia,"Bright red currant is complemented by dark, brooding black fruit tones in this complex, nuanced and grippy wine, young and showy in its mountain genetics. Forest floor, mint, cedar and graphite fleck the fruit, with complexity knocking on the door.",14.70%,2013
Red,Italy,Basilisco 2012 Storico (Aglianico del Vulture),Aglianico,30,750 ml,94,Basilisco,"Made with ungrafted 80-year-old vines, this gorgeous wine opens with an enticing bouquet of perfumed berry, fragrant blue flower, baking spice, leather and a whiff of Mediterranean brush. The concentrated enveloping palate is still young but already offers blackberry extract, raspberry jam, licorice, dried sage and tobacco. Firm fine-grained tannins offer age-worthy support and a velvety texture. Drink 20202032.",14.50%,2012
Sparkling,France,Deutz 2006 Amour de Deutz Brut (Champagne),Champagne Blend,180,750 ml,94,Deutz,"Still very crisp and fruity with only a hint of maturity, this is a bright, apple- and citrus-driven wine. Light and stylish, it gets its generous minerality from the Chardonnay in the blend. While it's great now, it will be even better from 2018.",12%,2006
White,France,La Chablisienne 2014 Blanchot Grand Cru (Chablis),Chardonnay,69,750 ml,94,La Chablisienne,"From the most southerly of the Grand Cru vineyards, this wine is firm and tightly structured. Its wood aging shows in its toasty, spicy character that will integrate as the wine ages. Its rich yellow fruit and taut acidity suggest it will taste best from from 2021.",13%,2014
Red,US,Nicora 2014 Law Vineyard Red (Adelaida District),Rhne-style Red Blend,55,750 ml,94,Nicora,"Rich black plum pudding, cigar box and pine needle aromas show on the nose of this blend of 60% Syrah and 40% Grenache from this increasingly prominent vineyard. The sip is hearty with tons of juniper, licorice and forest floor spice that enhance the incredibly lavish base of blackberry and black currant fruit. The structure is rigid in form yet polished and soft, with acidity laced throughout.",15.70%,2014
Red,US,Sawyer & Lindquist 2014 Pinot Noir (Edna Valley),Pinot Noir,50,750 ml,94,Sawyer & Lindquist,"From a certified biodynamic vineyard planted by Bob and Louisa Lindquist, this bottling offers vivid red cherry fruit, black pepper and tons of clove spice on the nose. The palate is soft with more red fruit, but loaded with ample amounts of star anise and other baking spices. Zesty on all fronts.",13.50%,2014
White,France,Simonnet-Febvre 2014 Les Clos Grand Cru (Chablis),Chardonnay,70,750 ml,94,Simonnet-Febvre,"The grandest of the Chablis Grand Crus has produced a structured, still very young, wine. With its ripe apple and Bartlett pear fruit and tight, chalky mineral texture, it will be impressive once it unwinds. Drink from 2020.",13%,2014
Red,US,Clos de la Tech 2012 Santa Cruz Mountains Estates Pinot Noir (Santa Cruz Mountains),Pinot Noir,42,750 ml,94,Clos de la Tech,"Though much lower in price than the single vineyard offeringsand without the microchip on the labelthis bottling carries all of the earthy aspects that characterize this iconoclastic winery. Umami aromas of nori wrap meet with dried purple flowers and blackberry on the nose. The mouthfeel is soft and full, with flavors full of loam, beet juice, incense and crushed boysenberry.",14.10%,2012
Red,US,Freemark Abbey 2012 Cabernet Bosch Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,150,750 ml,94,Freemark Abbey,"Brushy sage meets succulent blackberry, blueberry and tar in this impressive wine, which offers generous structure and complex tannin. Though juicy and decidedly enjoyable now, it will benefit from further cellaring; best 2022 through 2032.",14.50%,2012
Red,US,Merry Edwards 2014 Meredith Estate Pinot Noir (Russian River Valley),Pinot Noir,63,750 ml,94,Merry Edwards,"From one of the producer's older vineyard sites, fully mature and steady, this wine shines in cranberry, rhubarb and strawberry before finding richer, riper streaks of blueberry and blackberry. Generous tannin is seasoned by layers of piquant cinnamon and vanilla. It's lush and bold.",14.50%,2014
Fortified,Portugal,Blandy's 2002 Colheita Single Harvest Sercial (Madeira),Sercial,50,500 ml,94,Blandy's,Sercial produces the driest style of Madeira. This is certainly a dry wine that gets its richness from concentration and the wood aging. It has spice and old-wood taste as well as wonderfully perfumed spirits and candied lemon. Drink now.,20%,2002
Red,US,Jarvis 2013 Estate Grown Cave Fermented Tempranillo (Napa Valley),Tempranillo,85,750 ml,94,Jarvis,"From hillside vineyards on just one acre of the producer's estate, this lovely wine is pungently earthy in violet and fresh compost, its profile bright and lean. Cherry, orange and pomegranate make for a compelling expression of the variety, complemented by a meaty, gamy tease on the finish.",13.20%,2013
White,Germany,Maximin Grnhuser 2015 Abtsberg Auslese Grosse Lage Riesling (Mosel),Riesling,60,375 ml,94,Maximin Grnhuser,"There's a marked tropical richness (think guava and melon) here compared to the producer's other 2015 ausleses. Plump and plush despite it's dainty alcoholic footprint, it lingers lusciously while remaining pert with acidity. Brilliantly balanced and irresistibly sweet, it can be enjoyed now through 2040.",7%,2015
Red,Portugal,Quinta de Chocapalha 2013 Vinha Me Red (Lisboa),Portuguese Red,40,750 ml,94,Quinta de Chocapalha,"The top red from Chocapalha, this comes from a single parcel. It has concentrated tannins, along with the minty flavors that come from new wood. Balancing that combination are the rich fruits: blackberry, damson along with a touch of licorice. It's a powerful wine that needs aging. Drink from 2018.",14%,2013
Red,US,Shea 2014 Block 5 Pinot Noir (Willamette Valley),Pinot Noir,66,750 ml,94,Shea,"Dark and juicy, this selection comes out swinging with bold fruit flavors of black cherry, blackberry and black currant. Highlights of oranges, espresso and dark chocolate compound the scents and flavors. It builds into a gorgeous midpalate, that extends gracefully through a lingering finish. Supple and sensuous, it leaves you with a trace of sea salt caramel in the back of the palate.",14.80%,2014
Red,Australia,Torbreck 2013 The Pict Mataro (Barossa Valley),Mataro,75,750 ml,94,Torbreck,"This full-bodied, almost liquorous rendering of Mourvdre is packed with fruit, power and finesse. Aromas of smoke, vanilla and graham crackers frame flavors of jammy blackberries and cassis. These finish with some alcoholic warmth yet remain plush and elegant. Drink now2025.",15%,2013
White,US,Lucie 2015 Dutton Ranch Dutton Hill Vineyard Chardonnay (Russian River Valley),Chardonnay,50,750 ml,94,Lucie,"Exotically floral on the nose, the prettiness of this wine follows through on the palate, salty and high in acidity, with a tang of lemon peel and lemon verbena. Focused and fresh, it has body and weight within that context, ultimately finding a balance that persists on the lengthy finish.",14.50%,2015
Red,US,Shea 2014 Block 23 Pinot Noir (Willamette Valley),Pinot Noir,66,750 ml,94,Shea,"One of several limited-block selections, this particular cuve is 100% Pommard clone. The lush fruit core contains a generous mix of flavorscandied orange peel, candied ginger and chocolate cherries. The tannins have a breakfast tea character, and everything is smoothly melded and ready for immediate enjoyment.",13.60%,2014
White,Germany,Fritz Haag 2015 Brauneberger Juffer Sonnenuhr Auslese Goldkapsel Riesling (Mosel),Riesling,52,375 ml,94,Fritz Haag,"Rich, sticky swirls of caramel and honey fill the palate of this lip-smacking sweet Riesling. It's slight in body and electric with acidity, yet its heaving, sun-kissed tropical fruit flavors persist boldly on the finish. Stunning already, it's sure to improve through 2030.",7.50%,2015
Red,US,Clos de la Tech 2012 Domaine Lois Louise Twisty Ridge Pinot Noir (Santa Cruz Mountains),Pinot Noir,62,750 ml,94,Clos de la Tech,"This winery atop the mountains overlooking Silicon Valley makes amazingly earthy and age-worthy wines. This bottling's nose is soil-driven, with sun-baked loam laid across red cherry, condensed lilacs, cola and sandalwood aromas. The sip is structured firmly and strategically like the frame of a well-built home, where dark mulberry and savory spices reside. Drink now2028.",13.70%,2012
Red,Italy,Contrade di Taurasi - Lonardo 2011 Vigne d'Alto (Taurasi),Aglianico,80,750 ml,94,Contrade di Taurasi - Lonardo,"Truffle, new leather, ripe plum, tilled soil and chopped herb are some of the aromas you'll find on this impressive red. Polished and powerfully structured, the palate delivers morello cherry, ripe blackberry, star anise and clove set against a backbone of tightly knit, velvety tannins that lend firm support and a smooth texture. Drink 20212031.",14.50%,2011
Sparkling,France,Deutz 2008 Cuve William Deutz (Champagne),Champagne Blend,70,375 ml,94,Deutz,"A high proportion of Pinot Noir gives this Deutz prestige cuve richness as well as a strong green fruit character. Citrus, green apples and intense acidity underpin this finely understated wine. Drink from 2018.",12%,2008
Sparkling,France,Deutz 2010 Brut (Champagne),Champagne Blend,60,750 ml,94,Deutz,"This wine, though still young, reveals much about the Deutz style as well as the vintage. It strikes a balance between softness and crispness that fits the ethos of the house. At the same time, it's an attractive medium-term bottling, in line with what many producers acheived in 2010. It should be kept until 2019.",12%,2010
White,France,La Chablisienne 2014 Les Preuses Grand Cru (Chablis),Chardonnay,69,750 ml,94,La Chablisienne,"Produced from vines high up the Grand Cru slope, this wine is finely textured and stylish while also full-bodied. It has weight, spice from wood aging, precise acidity and a strongly mineral, salty edge. Drink from 2021.",13%,2014
Red,Italy,Mastroberardino 2009 Radici Riserva (Taurasi),Aglianico,80,750 ml,94,Mastroberardino,"Pipe tobacco, spiced plum, underbrush, vanilla, new leather and balsamic aromas jump out of the glass while the juicy delicious palate doles out fleshy black cherry, crushed raspberry, licorice and ground pepper. Firm, velvety and enveloping tannins provide smooth polished support. Drink through 2029.",13.50%,2009
Red,US,Nicora 2014 Russell Family Vineyard Red (Paso Robles Willow Creek District),Rhne-style Red Blend,55,750 ml,94,Nicora,"This blend of 90% Syrah, 5% Grenache and 5% Mourvdre offers Dr. Pepper, cola, pepper-crusted beef and teriyaki touches on the savory, gamy nose. It is a full and hearty sip, with thick, soft and silky tannins presenting flavors of boysenberry, soy, black pepper and candied violet flowers. Well balanced and delicious.",15.30%,2014
Red,US,O'Connor 2014 Pinot Noir (Russian River Valley),Pinot Noir,35,750 ml,94,O'Connor,"From longtime growers based in the Green Valley, this is focused, site-specific winemaking at its finest, an exploration of forested pine and airtight acidity that buzzes on the palate with electricity and freshness. Tannins play a supportive, silky and unobtrusive role, allowing room for plum and dark cherry to speak.",14.20%,2014
Red,US,Pine Ridge 2014 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,150,750 ml,94,Pine Ridge,"Cocoa powder is met by overfilling notions of wild blackberry and black cherry in this memorably textured and complex wine from the mountain. A smoothness on the midpalate roughs out the rockiness of the back tannins and fistfuls of supportive oak, finishing in a high-toned minerality that echoes volcanic soils and gravel.",14.70%,2014
Sparkling,France,Roland Champion 2011 Special Club Blanc de Blancs Chouilly Grand Cru Brut Chardonnay (Champagne),Chardonnay,80,750 ml,94,Roland Champion,"Produced from old vines in the Grand Cru vineyards of Chouilly in the Cte des Blancs, this is a beautifully crisp, ripe wine, showing taut fruit and fine, stylish acidity. As a Special Club bottling, it adheres to stringent qualitative guidelines set out by an elite group of growers. Still young, it will be best from 2019.",12.50%,2011
White,US,Blue Farm 2014 Laceroni Vineyard Chardonnay (Russian River Valley),Chardonnay,65,750 ml,94,Blue Farm,"Near the town of Graton, this site provides cool-climate structure and personality to this wine. Olive, fig and minerality of the wet-stone variety are lifted by aromas of beautiful white flowers. Fully balanced, with a voluptuous edge, it's powerful and pretty.",14%,2014
Red,US,Challen 2013 Bentrock Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,65,750 ml,94,Challen,"The recent vintages from this Santa Maria-based winery of actress Challen Cates and winemaker Kevin Law are some of the most impressive wines out there. This is dark in the glass, with a rich bouquet of cinnamon-clove foam, black plum pudding and hot pastry. It hits the palate with panache and power, showing allspice, dried ginger and sharp cola notes atop rich black cherry fruit.",14.90%,2013
Sparkling,France,H. Blin 2008 Millsime Brut (Champagne),Champagne Blend,69,750 ml,94,H. Blin,"What this mature, ripe wine has lost in fruit, it has gained in richness and complexity. Its toasty, nutty character attracts, along with its tight acidity and taut, nervy texture. Nicely evolved and well-balanced, it is ready to drink now.",12.50%,2008
Red,Portugal,Casa da Passarella 2013 O Fugitivo Vinhas Centenrias Red (Do),Portuguese Red,50,750 ml,94,Casa da Passarella,"As the wine's name indicates, it is made from century old vines, planted by a Burgundian who arrived in Portugal to escape World War One. The result is a wine of immense concentration, dark tannins and beautiful fruit. The vineyard is planted as a field blend, the grapes are fermented in traditional open stone lagares. It is a superb wine that deserves further aging. Drink from 2019.",13%,2013
White,US,Della 2015 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,70,750 ml,94,Della,"Barrel toast rises on the nose of this cloudy, still youthful wine, still somewhat to be determined in complexity and nuance, yet undoubtedly impressive on the nose and palate. Delicious acidity is at its core, supportive of its sharp, crispness of apple, richer tones of creme brle and exotic foundation.",14.50%,2015
Red,US,Domaine Divio 2014 Pinot Noir (Chehalem Mountains),Pinot Noir,55,750 ml,94,Domaine Divio,"The third of the winery's 2014 Pinots to be released is the best yet. Vibrant and captivating from the first sniff to the final sip, this deftly displays lightly spicy cherry fruit, lively acidity and a supple mouthfeel. There's just the right touch of new wood and the balance throughout to age long-term. Drink now through 2030.",13.30%,2014
White,Germany,Fritz Haag 2015 Brauneberger Juffer Auslese Goldkapsel Riesling (Mosel),Riesling,42,375 ml,94,Fritz Haag,"Pristine peach and grapefruit flavors contrast with slightly stinky but captivating soil and saffron complexities in this sprightly auslese. Its honey-kissed sweetness pierces through a long, lemony finish. It's delicious already but should continue to improve through 2030, likely beyond.",7.50%,2015
Red,US,Limerick Lane 2014 1910 Block Estate Grown Zinfandel (Russian River Valley),Zinfandel,54,750 ml,94,Limerick Lane,"Robust and richly layered, this block-designate from the producer's estate is sly in complexity, pumping its fist in ripeness and concentration before slowly unfurling elements of dusty black cherry, black olive and fig. The finish teases in white pepper and cardamom.",15.10%,2014
White,Italy,Teruzzi & Puthod 2011 Riserva (Vernaccia di San Gimignano),Vernaccia,30,750 ml,94,Teruzzi & Puthod,"Enticing scents of Spanish broom, acacia, mature orchard fruit and honey set the tone on this delicious white. Boasting depth, complexity and character, the creamy palate delivers layers of ripe yellow apple, vanilla, pear, white almond and a savory note of flinty mineral. Tangy acidity provides balance. It's a great expression of Vernaccia's more serious side and aging potential. Drink through 2019.",14%,2011
Sparkling,France,Deutz 2008 Amour de Deutz Brut Ros (Champagne),Champagne Blend,100,375 ml,94,Deutz,"The half-bottle format has sped up the maturing of this wine. It rides a fine line between crisp red fruit and fuller, toastier character. With great acidity, layers of zingy citrus and a soft texture, it's delicate and ready to drink.",12%,2008
Red,US,Rsonance 2014 Rsonance Vineyard Pinot Noir,Pinot Noir,65,750 ml,94,Rsonance,"This exceptional vineyard, more than 35-years-old, brings a wealth of subtle details to a wine that has both grace and power. There's truffle, earth, mocha, plum, spice, coffee and on and on it goes, all well integrated already. Experience would suggest that wines from this vineyard, previously made for Sineann, are exceptionally ageworthy. Drink now if you must, or cellar and drink from 2022 to 2030.",13.50%,2014
White,Italy,Tre Monti 2015 Vitalba in Anfora Albana (Romagna),Albana,24,750 ml,94,Tre Monti,"Fermented in clay amphora, this fascinating orange wine opens with alluring aromas of dried yellow stone fruit, baking spice, aromatic herb, pressed yellow flower and a balsamic note. Boasting more fruit and flavor than many other wines in this genre, the savory enveloping palate presents apricot, yellow peach, candied nectarine zest, crystallized ginger and a hint of flinty mineral. Tangy acidity provides balance and lift while a honeyed note closes the lingering finish. Simply gorgeous.",15%,2015
White,Germany,Dr. Loosen 2014 Erdener Treppchen Auslese Riesling (Mosel),Riesling,64,375 ml,94,Dr. Loosen,"Laser strikes of acidity and deep, mineral intensitiy lend a grounded elegance to this otherwise sunny, yielding dessert wine. It's intensely honeyed, bursting with sweet pineapple and peach flavors, yet finely filigreed in mouthfeel. Delicious already, it should improve through 2040.",7.50%,2014
Red,US,Patland 2013 Stagecoach Vineyard Select Barrel Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,175,750 ml,94,Patland,"Juicy, dusty and wrapped in cedar, this rarefied wine is classic in nature, with highlights of pencil shavings, red currant and a dose of dried cherry. The oak is robust and supportive, offering specks of vanilla and clove, the tannins thick and tenacious, ready to mellow in time. Drink best from 2023 through 2033.",14.80%,2013
White,US,Blue Farm 2014 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Chardonnay,55,750 ml,94,Blue Farm,"Bright and refreshing acidity is the star of this lovely, windswept wine, powerful yet integrated in tannin and oak. The racy, feral notes of anise, apple blossom and nutmeg are complemented by a teasingly voluptuous spirit that never overwhelms.",14.10%,2014
