var,category
mosque_count_1000,int64
leisure_count_1000,int64
sport_count_1000,int64
market_count_1000,int64
green_part_1500,float64
prom_part_1500,float64
office_count_1500,int64
office_sqm_1500,int64
trc_count_1500,int64
trc_sqm_1500,int64
cafe_count_1500,int64
cafe_sum_1500_min_price_avg,float64
cafe_sum_1500_max_price_avg,float64
cafe_avg_price_1500,float64
cafe_count_1500_na_price,int64
cafe_count_1500_price_500,int64
cafe_count_1500_price_1000,int64
cafe_count_1500_price_1500,int64
cafe_count_1500_price_2500,int64
cafe_count_1500_price_4000,int64
cafe_count_1500_price_high,int64
big_church_count_1500,int64
church_count_1500,int64
mosque_count_1500,int64
leisure_count_1500,int64
sport_count_1500,int64
market_count_1500,int64
green_part_2000,float64
prom_part_2000,float64
office_count_2000,int64
office_sqm_2000,int64
trc_count_2000,int64
trc_sqm_2000,int64
cafe_count_2000,int64
cafe_sum_2000_min_price_avg,float64
cafe_sum_2000_max_price_avg,float64
cafe_avg_price_2000,float64
cafe_count_2000_na_price,int64
cafe_count_2000_price_500,int64
cafe_count_2000_price_1000,int64
cafe_count_2000_price_1500,int64
cafe_count_2000_price_2500,int64
cafe_count_2000_price_4000,int64
cafe_count_2000_price_high,int64
big_church_count_2000,int64
church_count_2000,int64
mosque_count_2000,int64
leisure_count_2000,int64
sport_count_2000,int64
market_count_2000,int64
green_part_3000,float64
prom_part_3000,float64
office_count_3000,int64
office_sqm_3000,int64
trc_count_3000,int64
trc_sqm_3000,int64
cafe_count_3000,int64
cafe_sum_3000_min_price_avg,float64
cafe_sum_3000_max_price_avg,float64
cafe_avg_price_3000,float64
cafe_count_3000_na_price,int64
cafe_count_3000_price_500,int64
cafe_count_3000_price_1000,int64
cafe_count_3000_price_1500,int64
cafe_count_3000_price_2500,int64
cafe_count_3000_price_4000,int64
cafe_count_3000_price_high,int64
big_church_count_3000,int64
church_count_3000,int64
mosque_count_3000,int64
leisure_count_3000,int64
sport_count_3000,int64
market_count_3000,int64
green_part_5000,float64
prom_part_5000,float64
office_count_5000,int64
office_sqm_5000,int64
trc_count_5000,int64
trc_sqm_5000,int64
cafe_count_5000,int64
cafe_sum_5000_min_price_avg,float64
cafe_sum_5000_max_price_avg,float64
cafe_avg_price_5000,float64
cafe_count_5000_na_price,int64
cafe_count_5000_price_500,int64
cafe_count_5000_price_1000,int64
cafe_count_5000_price_1500,int64
cafe_count_5000_price_2500,int64
cafe_count_5000_price_4000,int64
cafe_count_5000_price_high,int64
big_church_count_5000,int64
church_count_5000,int64
mosque_count_5000,int64
leisure_count_5000,int64
sport_count_5000,int64
market_count_5000,int64
price_doc,int64
