Hourly Wages,1 Adult,1 Adult 1 Child,1 Adult 2 Children,1 Adult 3 Children,2 Adults (One Working),2 Adults (One Working) 1 Child,2 Adults (One Working) 2 Children,2 Adults (One Working) 3 Children,2 Adults,2 Adults 1 Child,2 Adults 2 Children,2 Adults 3 Children,FIPS Code,Location,year
Living Wage,$9.76,$20.40,$25.33,$32.28,$16.55,$19.74,$22.16,$24.94,$8.27,$11.38,$13.93,$16.67,01079,"Lawrence County, Alabama",2015
Living Wage,$10.67,$21.43,$26.36,$33.65,$16.87,$20.77,$23.19,$26.32,$8.43,$11.89,$14.45,$17.36,01081,"Lee County, Alabama",2015
Living Wage,$10.13,$20.76,$25.69,$32.74,$16.70,$20.11,$22.53,$25.40,$8.35,$11.56,$14.12,$16.90,01083,"Limestone County, Alabama",2015
Living Wage,$10.87,$21.27,$26.20,$33.43,$17.27,$20.61,$23.03,$26.09,$8.64,$11.81,$14.37,$17.25,01085,"Lowndes County, Alabama",2015
Living Wage,$9.65,$20.03,$24.96,$31.22,$15.84,$19.38,$21.79,$23.89,$7.92,$11.19,$13.75,$16.15,01087,"Macon County, Alabama",2015
Living Wage,$10.13,$20.76,$25.69,$32.74,$16.70,$20.11,$22.53,$25.40,$8.35,$11.56,$14.12,$16.90,01089,"Madison County, Alabama",2015
Living Wage,$9.87,$20.03,$24.96,$31.55,$16.06,$19.38,$21.79,$24.21,$8.03,$11.19,$13.75,$16.31,01091,"Marengo County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$32.02,$16.15,$19.38,$21.79,$24.69,$8.07,$11.19,$13.75,$16.55,01093,"Marion County, Alabama",2015
Living Wage,$9.69,$20.03,$24.96,$31.74,$15.88,$19.38,$21.79,$24.40,$7.94,$11.19,$13.75,$16.40,01095,"Marshall County, Alabama",2015
Living Wage,$10.84,$21.17,$26.10,$33.11,$17.20,$20.51,$22.93,$25.78,$8.60,$11.76,$14.32,$17.09,01097,"Mobile County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$32.12,$16.24,$19.38,$21.79,$24.78,$8.12,$11.19,$13.75,$16.59,01099,"Monroe County, Alabama",2015
Living Wage,$10.87,$21.27,$26.20,$33.43,$17.27,$20.61,$23.03,$26.09,$8.64,$11.81,$14.37,$17.25,01101,"Montgomery County, Alabama",2015
Living Wage,$9.76,$20.40,$25.33,$32.28,$16.55,$19.74,$22.16,$24.94,$8.27,$11.38,$13.93,$16.67,01103,"Morgan County, Alabama",2015
Living Wage,$9.77,$20.03,$24.96,$32.06,$15.96,$19.38,$21.79,$24.72,$7.98,$11.19,$13.75,$16.56,01105,"Perry County, Alabama",2015
Living Wage,$9.65,$20.03,$24.96,$31.22,$15.84,$19.38,$21.79,$23.89,$7.92,$11.19,$13.75,$16.15,01107,"Pickens County, Alabama",2015
Living Wage,$9.96,$20.07,$25.00,$32.15,$16.27,$19.42,$21.83,$24.81,$8.14,$11.21,$13.77,$16.61,01109,"Pike County, Alabama",2015
Living Wage,$9.95,$20.16,$25.09,$31.39,$16.14,$19.51,$21.93,$24.05,$8.07,$11.26,$13.82,$16.23,01111,"Randolph County, Alabama",2015
Living Wage,$10.27,$20.99,$25.92,$33.05,$17.04,$20.33,$22.75,$25.71,$8.52,$11.67,$14.23,$17.06,01113,"Russell County, Alabama",2015
Living Wage,$10.33,$21.17,$26.10,$32.98,$17.20,$20.51,$22.93,$25.64,$8.60,$11.76,$14.32,$17.02,01117,"Shelby County, Alabama",2015
Living Wage,$10.33,$21.17,$26.10,$32.98,$17.20,$20.51,$22.93,$25.64,$8.60,$11.76,$14.32,$17.02,01115,"St. Clair County, Alabama",2015
Living Wage,$9.95,$20.09,$25.02,$31.29,$16.29,$19.43,$21.85,$23.95,$8.14,$11.22,$13.78,$16.18,01119,"Sumter County, Alabama",2015
Living Wage,$9.66,$20.06,$24.99,$31.72,$15.86,$19.40,$21.82,$24.39,$7.93,$11.21,$13.76,$16.40,01121,"Talladega County, Alabama",2015
Living Wage,$9.85,$20.03,$24.96,$31.68,$16.04,$19.38,$21.79,$24.34,$8.02,$11.19,$13.75,$16.37,01123,"Tallapoosa County, Alabama",2015
Living Wage,$9.71,$21.06,$25.99,$32.55,$16.68,$20.41,$22.82,$25.22,$8.34,$11.71,$14.27,$16.81,01125,"Tuscaloosa County, Alabama",2015
Living Wage,$9.98,$20.09,$25.02,$31.84,$16.22,$19.44,$21.85,$24.50,$8.11,$11.22,$13.78,$16.45,01127,"Walker County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$32.12,$16.24,$19.38,$21.79,$24.78,$8.12,$11.19,$13.75,$16.59,01129,"Washington County, Alabama",2015
Living Wage,$9.65,$20.03,$24.96,$31.22,$15.84,$19.38,$21.79,$23.89,$7.92,$11.19,$13.75,$16.15,01131,"Wilcox County, Alabama",2015
Living Wage,$9.91,$20.03,$24.96,$31.71,$16.24,$19.38,$21.79,$24.37,$8.12,$11.19,$13.75,$16.39,01133,"Winston County, Alabama",2015
Living Wage,$9.98,$20.53,$25.46,$32.04,$16.29,$19.87,$22.29,$24.71,$8.07,$11.44,$14.00,$16.56,11500,"Anniston-Oxford-Jacksonville, AL",2015
Living Wage,$10.67,$21.43,$26.36,$33.65,$16.87,$20.77,$23.19,$26.32,$8.42,$11.89,$14.45,$17.36,12220,"Auburn-Opelika, AL",2015
Living Wage,$10.28,$21.06,$25.99,$32.86,$17.10,$20.40,$22.82,$25.52,$8.22,$11.71,$14.27,$16.96,13820,"Birmingham-Hoover, AL",2015
Living Wage,$10.00,$21.10,$26.03,$33.68,$17.14,$20.44,$22.86,$26.35,$8.08,$11.72,$14.28,$17.38,19300,"Daphne-Fairhope-Foley, AL",2015
Living Wage,$9.76,$20.40,$25.33,$32.28,$16.55,$19.74,$22.16,$24.94,$7.96,$11.38,$13.93,$16.67,19460,"Decatur, AL",2015
Living Wage,$9.76,$20.24,$25.17,$31.91,$16.14,$19.58,$22.00,$24.57,$7.97,$11.30,$13.85,$16.49,20020,"Dothan, AL",2015
Living Wage,$9.87,$20.10,$25.03,$31.66,$16.06,$19.44,$21.86,$24.32,$8.02,$11.23,$13.78,$16.36,22520,"Florence-Muscle Shoals, AL",2015
Living Wage,$9.19,$20.18,$25.11,$31.41,$16.06,$19.53,$21.94,$24.08,$7.68,$11.27,$13.83,$16.24,23460,"Gadsden, AL",2015
Living Wage,$10.13,$20.76,$25.69,$32.74,$16.70,$20.11,$22.53,$25.40,$8.15,$11.56,$14.12,$16.90,26620,"Huntsville, AL",2015
Living Wage,$10.84,$21.17,$26.10,$33.11,$17.20,$20.51,$22.93,$25.78,$8.51,$11.76,$14.32,$17.09,33660,"Mobile, AL",2015
Living Wage,$10.87,$21.27,$26.20,$33.43,$17.27,$20.61,$23.03,$26.09,$8.52,$11.81,$14.37,$17.25,33860,"Montgomery, AL",2015
Living Wage,$9.71,$20.98,$25.91,$32.44,$16.61,$20.32,$22.74,$25.11,$7.94,$11.67,$14.22,$16.76,46220,"Tuscaloosa, AL",2015
Living Wage,$11.57,$23.70,$29.29,$38.40,$18.54,$22.66,$25.11,$29.58,$9.27,$13.08,$15.94,$19.81,02,Alaska,2015
Living Wage,$10.37,$21.42,$27.02,$34.20,$17.18,$20.39,$22.84,$25.38,$8.59,$11.95,$14.80,$17.71,02013,"Aleutians East Borough, Alaska",2015
Living Wage,$12.18,$25.58,$31.18,$39.38,$19.69,$24.55,$27.00,$30.56,$9.85,$14.03,$16.88,$20.30,02016,"Aleutians West Census Area, Alaska",2015
Living Wage,$11.74,$23.80,$29.40,$38.95,$18.70,$22.77,$25.22,$30.13,$9.35,$13.14,$15.99,$20.08,02020,"Anchorage Municipality, Alaska",2015
Living Wage,$11.89,$24.39,$29.99,$37.89,$18.81,$23.35,$25.80,$29.07,$9.41,$13.43,$16.29,$19.55,02050,"Bethel Census Area, Alaska",2015
Living Wage,$11.54,$23.05,$28.64,$36.93,$17.81,$22.01,$24.46,$28.11,$8.91,$12.76,$15.62,$19.07,02060,"Bristol Bay Borough, Alaska",2015
Living Wage,$12.77,$24.76,$30.36,$40.35,$20.00,$23.72,$26.17,$31.54,$10.00,$13.62,$16.47,$20.79,02068,"Denali Borough, Alaska",2015
Living Wage,$11.41,$22.87,$28.47,$36.00,$18.41,$21.83,$24.28,$27.18,$9.20,$12.67,$15.53,$18.61,02070,"Dillingham Census Area, Alaska",2015
Living Wage,$11.81,$24.96,$30.56,$40.65,$19.23,$23.93,$26.38,$31.84,$9.62,$13.72,$16.57,$20.94,02090,"Fairbanks North Star Borough, Alaska",2015
Living Wage,$10.75,$21.95,$27.55,$36.21,$17.43,$20.91,$23.36,$27.40,$8.71,$12.21,$15.07,$18.72,02100,"Haines Borough, Alaska",2015
Living Wage,$10.04,$20.96,$26.56,$33.62,$16.28,$19.92,$22.37,$24.80,$8.14,$11.72,$14.57,$17.42,02105,"Hoonah-Angoon Census Area, Alaska",2015
Living Wage,$11.48,$24.21,$29.81,$38.20,$18.68,$23.18,$25.63,$29.38,$9.34,$13.34,$16.20,$19.71,02110,"Juneau City and Borough, Alaska",2015
Living Wage,$10.80,$21.74,$27.33,$34.63,$17.19,$20.70,$23.15,$25.81,$8.59,$12.10,$14.96,$17.92,02122,"Kenai Peninsula Borough, Alaska",2015
Living Wage,$10.73,$23.14,$28.73,$37.96,$18.09,$22.10,$24.55,$29.14,$9.05,$12.80,$15.66,$19.59,02130,"Ketchikan Gateway Borough, Alaska",2015
Living Wage,$10.87,$22.47,$28.06,$36.98,$17.78,$21.43,$23.88,$28.16,$8.89,$12.47,$15.33,$19.10,02150,"Kodiak Island Borough, Alaska",2015
Living Wage,$9.93,$20.81,$26.40,$33.90,$16.66,$19.77,$22.22,$25.08,$8.33,$11.64,$14.49,$17.56,02164,"Lake and Peninsula Borough, Alaska",2015
Living Wage,$10.76,$22.55,$28.15,$37.10,$17.56,$21.51,$23.96,$28.28,$8.78,$12.51,$15.37,$19.16,02170,"Matanuska-Susitna Borough, Alaska",2015
Living Wage,$11.73,$24.83,$30.43,$38.44,$19.14,$23.80,$26.25,$29.63,$9.57,$13.65,$16.51,$19.83,02180,"Nome Census Area, Alaska",2015
Living Wage,$11.25,$23.14,$28.73,$36.33,$18.63,$22.10,$24.55,$27.51,$9.31,$12.80,$15.66,$18.77,02185,"North Slope Borough, Alaska",2015
Living Wage,$13.11,$24.21,$29.80,$37.67,$19.53,$23.17,$25.62,$28.85,$9.77,$13.34,$16.20,$19.44,02188,"Northwest Arctic Borough, Alaska",2015
Living Wage,$10.99,$22.29,$27.89,$35.28,$17.26,$21.25,$23.70,$26.46,$8.63,$12.38,$15.24,$18.25,02195,"Petersburg Census Area, Alaska",2015
Living Wage,$10.80,$21.88,$27.48,$34.77,$16.95,$20.84,$23.29,$25.95,$8.48,$12.18,$15.03,$17.99,02198,"Prince of Wales-Hyder Census Area, Alaska",2015
Living Wage,$11.73,$23.54,$29.13,$37.94,$18.18,$22.50,$24.95,$29.13,$9.09,$13.00,$15.86,$19.58,02220,"Sitka City and Borough, Alaska",2015
Living Wage,$12.06,$23.77,$29.37,$37.12,$19.16,$22.73,$25.18,$28.30,$9.58,$13.12,$15.98,$19.17,02230,"Skagway Municipality, Alaska",2015
Living Wage,$10.53,$22.35,$27.95,$35.35,$17.40,$21.31,$23.76,$26.54,$8.70,$12.41,$15.27,$18.29,02240,"Southeast Fairbanks Census Area, Alaska",2015
Living Wage,$11.50,$22.63,$28.23,$36.78,$17.91,$21.59,$24.04,$27.96,$8.96,$12.55,$15.41,$19.00,02261,"Valdez-Cordova Census Area, Alaska",2015
Living Wage,$10.54,$21.65,$27.25,$34.48,$17.38,$20.61,$23.06,$25.66,$8.69,$12.06,$14.92,$17.85,02270,"Wade Hampton Census Area, Alaska",2015
Living Wage,$10.35,$21.40,$26.99,$35.40,$16.82,$20.36,$22.81,$26.58,$8.41,$11.93,$14.79,$18.31,02275,"Wrangell City and Borough, Alaska",2015
Living Wage,$10.54,$21.66,$27.25,$35.78,$17.02,$20.62,$23.07,$26.97,$8.51,$12.06,$14.92,$18.50,02282,"Yakutat City and Borough, Alaska",2015
Living Wage,$10.34,$20.77,$26.37,$33.39,$16.57,$19.73,$22.18,$24.57,$8.28,$11.62,$14.48,$17.30,02290,"Yukon-Koyukuk Census Area, Alaska",2015
Living Wage,$11.51,$23.50,$29.10,$38.50,$18.43,$22.47,$24.92,$29.69,$8.82,$12.99,$15.84,$19.86,11260,"Anchorage, AK",2015
Living Wage,$11.81,$24.96,$30.56,$40.65,$19.23,$23.93,$26.38,$31.84,$8.97,$13.72,$16.57,$20.94,21820,"Fairbanks, AK",2015
Living Wage,$10.38,$22.67,$28.59,$37.55,$17.47,$21.59,$24.13,$28.18,$8.73,$12.62,$15.64,$19.41,04,Arizona,2015
Living Wage,$9.15,$21.00,$26.92,$34.26,$15.91,$19.93,$22.47,$24.88,$7.96,$11.78,$14.80,$17.76,04001,"Apache County, Arizona",2015
Living Wage,$10.40,$21.71,$27.63,$36.08,$16.73,$20.63,$23.17,$26.71,$8.36,$12.14,$15.16,$18.67,04003,"Cochise County, Arizona",2015
Living Wage,$11.24,$23.55,$29.47,$37.55,$18.19,$22.47,$25.01,$28.18,$9.10,$13.05,$16.08,$19.41,04005,"Coconino County, Arizona",2015
Living Wage,$10.50,$22.28,$28.19,$36.90,$16.87,$21.20,$23.74,$27.52,$8.43,$12.42,$15.44,$19.08,04007,"Gila County, Arizona",2015
Living Wage,$9.57,$21.79,$27.71,$36.34,$16.99,$20.71,$23.25,$26.96,$8.50,$12.17,$15.20,$18.80,04009,"Graham County, Arizona",2015
Living Wage,$9.60,$21.00,$26.92,$34.23,$15.91,$19.93,$22.47,$24.86,$7.96,$11.78,$14.80,$17.75,04011,"Greenlee County, Arizona",2015
Living Wage,$10.10,$21.72,$27.63,$35.12,$16.44,$20.64,$23.18,$25.74,$8.22,$12.14,$15.16,$18.19,04012,"La Paz County, Arizona",2015
Living Wage,$10.40,$22.73,$28.65,$37.73,$17.61,$21.66,$24.20,$28.36,$8.80,$12.65,$15.67,$19.50,04013,"Maricopa County, Arizona",2015
Living Wage,$9.72,$21.72,$27.63,$35.65,$16.65,$20.64,$23.18,$26.28,$8.33,$12.14,$15.16,$18.46,04015,"Mohave County, Arizona",2015
Living Wage,$10.09,$21.55,$27.47,$35.69,$16.31,$20.48,$23.02,$26.32,$8.16,$12.06,$15.08,$18.48,04017,"Navajo County, Arizona",2015
Living Wage,$9.80,$22.17,$28.09,$36.88,$16.80,$21.09,$23.64,$27.50,$8.40,$12.37,$15.39,$19.07,04019,"Pima County, Arizona",2015
Living Wage,$10.40,$22.73,$28.65,$37.73,$17.61,$21.66,$24.20,$28.36,$8.80,$12.65,$15.67,$19.50,04021,"Pinal County, Arizona",2015
Living Wage,$10.16,$21.79,$27.71,$35.28,$16.82,$20.71,$23.25,$25.91,$8.41,$12.17,$15.20,$18.27,04023,"Santa Cruz County, Arizona",2015
Living Wage,$10.23,$22.00,$27.92,$36.66,$16.92,$20.93,$23.47,$27.28,$8.46,$12.28,$15.30,$18.96,04025,"Yavapai County, Arizona",2015
Living Wage,$10.55,$22.38,$28.30,$37.21,$17.03,$21.30,$23.85,$27.84,$8.52,$12.47,$15.49,$19.24,04027,"Yuma County, Arizona",2015
Living Wage,$11.24,$23.55,$29.47,$37.55,$18.19,$22.47,$25.01,$28.18,$8.72,$13.05,$16.08,$19.41,22380,"Flagstaff, AZ",2015
Living Wage,$9.72,$21.72,$27.63,$35.65,$16.65,$20.64,$23.18,$26.28,$7.96,$12.14,$15.16,$18.46,29420,"Lake Havasu City-Kingman, AZ",2015
Living Wage,$10.40,$22.73,$28.65,$37.73,$17.61,$21.66,$24.20,$28.36,$8.30,$12.65,$15.67,$19.50,38060,"Phoenix-Mesa-Scottsdale, AZ",2015
Living Wage,$10.23,$22.00,$27.92,$36.66,$16.92,$20.93,$23.47,$27.28,$8.22,$12.28,$15.30,$18.96,39140,"Prescott, AZ",2015
Living Wage,$10.40,$21.71,$27.63,$36.08,$16.73,$20.63,$23.17,$26.71,$8.30,$12.14,$15.16,$18.67,43420,"Sierra Vista-Douglas, AZ",2015
Living Wage,$9.80,$22.17,$28.09,$36.88,$16.80,$21.09,$23.64,$27.50,$8.00,$12.37,$15.39,$19.07,46060,"Tucson, AZ",2015
Living Wage,$10.55,$22.38,$28.30,$37.21,$17.03,$21.30,$23.85,$27.84,$8.38,$12.47,$15.49,$19.24,49740,"Yuma, AZ",2015
Living Wage,$9.50,$19.71,$24.46,$31.29,$16.03,$19.39,$21.85,$24.70,$8.02,$11.05,$13.52,$16.19,05,Arkansas,2015
Living Wage,$9.22,$19.16,$23.91,$30.02,$15.43,$18.84,$21.30,$23.43,$7.71,$10.78,$13.25,$15.55,05001,"Arkansas County, Arkansas",2015
Living Wage,$9.18,$19.11,$23.86,$30.37,$15.39,$18.79,$21.24,$23.78,$7.70,$10.75,$13.22,$15.73,05003,"Ashley County, Arkansas",2015
Living Wage,$9.31,$19.26,$24.02,$31.02,$15.55,$18.94,$21.40,$24.43,$7.77,$10.83,$13.30,$16.06,05005,"Baxter County, Arkansas",2015
Living Wage,$9.57,$19.99,$24.74,$32.12,$16.22,$19.67,$22.12,$25.53,$8.11,$11.19,$13.66,$16.60,05007,"Benton County, Arkansas",2015
Living Wage,$9.24,$19.19,$23.94,$30.65,$15.45,$18.87,$21.33,$24.06,$7.72,$10.79,$13.26,$15.87,05009,"Boone County, Arkansas",2015
Living Wage,$9.06,$19.11,$23.86,$30.74,$15.39,$18.79,$21.24,$24.15,$7.70,$10.75,$13.22,$15.92,05011,"Bradley County, Arkansas",2015
Living Wage,$9.37,$19.37,$24.12,$30.28,$15.58,$19.05,$21.50,$23.69,$7.79,$10.88,$13.35,$15.68,05013,"Calhoun County, Arkansas",2015
Living Wage,$9.35,$19.26,$24.01,$30.37,$15.56,$18.94,$21.39,$23.78,$7.78,$10.82,$13.30,$15.73,05015,"Carroll County, Arkansas",2015
Living Wage,$9.19,$19.11,$23.86,$30.83,$15.40,$18.79,$21.24,$24.23,$7.70,$10.75,$13.22,$15.96,05017,"Chicot County, Arkansas",2015
Living Wage,$9.25,$19.11,$23.86,$30.26,$15.46,$18.79,$21.24,$23.67,$7.73,$10.75,$13.22,$15.67,05019,"Clark County, Arkansas",2015
Living Wage,$9.18,$19.11,$23.86,$30.16,$15.39,$18.79,$21.24,$23.56,$7.70,$10.75,$13.22,$15.62,05021,"Clay County, Arkansas",2015
Living Wage,$9.46,$19.27,$24.02,$30.43,$15.67,$18.95,$21.41,$23.84,$7.84,$10.83,$13.30,$15.76,05023,"Cleburne County, Arkansas",2015
Living Wage,$9.05,$19.48,$24.23,$30.45,$15.72,$19.16,$21.62,$23.86,$7.86,$10.94,$13.41,$15.77,05025,"Cleveland County, Arkansas",2015
Living Wage,$9.18,$19.11,$23.86,$30.57,$15.39,$18.79,$21.24,$23.98,$7.70,$10.75,$13.22,$15.83,05027,"Columbia County, Arkansas",2015
Living Wage,$9.40,$19.42,$24.17,$30.35,$15.62,$19.10,$21.56,$23.75,$7.81,$10.91,$13.38,$15.72,05029,"Conway County, Arkansas",2015
Living Wage,$8.86,$19.38,$24.13,$30.95,$15.87,$19.06,$21.52,$24.35,$7.94,$10.89,$13.36,$16.02,05031,"Craighead County, Arkansas",2015
Living Wage,$9.54,$19.46,$24.21,$30.76,$15.75,$19.14,$21.60,$24.16,$7.87,$10.93,$13.40,$15.92,05033,"Crawford County, Arkansas",2015
Living Wage,$10.38,$20.72,$25.48,$32.63,$17.15,$20.40,$22.86,$26.03,$8.58,$11.56,$14.03,$16.86,05035,"Crittenden County, Arkansas",2015
Living Wage,$9.57,$19.45,$24.20,$30.92,$15.79,$19.13,$21.58,$24.33,$7.89,$10.92,$13.39,$16.00,05037,"Cross County, Arkansas",2015
Living Wage,$9.35,$19.11,$23.86,$30.83,$15.79,$18.79,$21.24,$24.23,$7.89,$10.75,$13.22,$15.96,05039,"Dallas County, Arkansas",2015
Living Wage,$9.18,$19.11,$23.86,$30.44,$15.39,$18.79,$21.24,$23.85,$7.70,$10.75,$13.22,$15.77,05041,"Desha County, Arkansas",2015
Living Wage,$9.18,$19.11,$23.86,$30.69,$15.39,$18.79,$21.24,$24.10,$7.70,$10.75,$13.22,$15.89,05043,"Drew County, Arkansas",2015
Living Wage,$9.87,$20.15,$24.90,$31.99,$16.61,$19.83,$22.29,$25.40,$8.30,$11.27,$13.74,$16.54,05045,"Faulkner County, Arkansas",2015
Living Wage,$9.36,$19.36,$24.11,$30.45,$15.57,$19.04,$21.50,$23.86,$7.79,$10.88,$13.35,$15.77,05047,"Franklin County, Arkansas",2015
