Cuisine,Price,Michelin_star_review,Michelin_star,Address,Standard,Review,Retaurant_name,location
Japanese,"$13,$24",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","229 E. 9th St., New York 10003",Good standard.,"
			There's a ton of Japanese restaurants that line this stretch of the East Village, so why Soba-Ya? Why not Soba-Ya, its ultra-dedicated patrons would argue-for the buckwheat soba as well as the hearty udon on tap here are consistently off-the-charts good. Co-owner and mini-mogul, Bon Yagi, favors authenticity over flash in his establishments. And here he employs that traditional aesthetic to sweet perfection; along with a graceful, but simply appointed dining space; and quiet, well-timed service. A meal might begin with sea urchin and grated mountain yam, kissed with wasabi and crispy, toasted nori; then transition to a seasonal noodle dish like warm soba mingled with plump, pickled oysters, mountain yam, cilantro and tempura root vegetables.
				","
	Soba-Ya
","ction"",""id"":""40.72972|"
American,"$50,$74",none,Good standard.,"141 W. 10th St., New York 10014",none,"
			Funky, relaxed, and locally minded, the idea behind this farm-to-table style of dining might seem overdone if the cooking here wasn't so very good. Enter carefully down a steep set of stairs to find low ceilings, large canvas artwork, and comfortable seating that lets you settle in and ponder just how very local the lettuce can be (answer: the rooftop). In fact, much of the produce here was harvested from their aeroponic rooftop gardens, while the rest is sourced from local purveyors. From start to finish, the American fare is consistently pleasing. Highlights include crispy fried P.E.I. oysters with jalapeño-buttermilk dressing, thick and juicy grilled sausage with house pickles and flatbread, and gooey chocolate brownies with pistachio ice cream.
				","
	Bell Book & Candle
",0.7346|-74.00085|0|3|z
Spanish,"$25,$49",none,Good standard.,"259 W. 19th St., New York 10011",none,"
			True, Soccarat is named for that ridiculously tasty burnished rice crust at the bottom of the paella pan. And yes, this place serves one of the city's best. The paella de la huerta with chicken combines spicy house-made chorizo, chickpeas, artichokes, tomatoes, and more in one traditional hot flat-bottom pan built for two (or more). However, there is much more on the menu to explore, especially during their highly regarded brunch-time feast of steak a la plancha with eggs, or an ensalada mixta tossing greens, asparagus, boiled egg, tuna, and olives. Glossy walls reflect the convivial room's gentle light, while mirrors and portraits lend depth and color. Communal tables are packed with your newest old friends and tapas-loving locals.
				","
	Socarrat
",""":""-73.999725|40.74261"
Pizza,"$25,$49",none,Simple standard.,"230 Ninth Ave., New York 10001",none,"
			Head to Co. for something other than those Naples-aping pizzerias that have come to monopolize the whole of New York. A serious destination for its dedicated take on pies, this carb haven pays equal attention to the dough and toppings, with outstanding results. These are the ways of celebrated baker and chef, Jim Lahey, who perfected his yeasty, smoky flavors at Sullivan Street Bakery (a few doors away) and is NYC's resident expert on bread-making. Amid wood-paneled walls, wine racks, and modern-looking mirrors, crowds savor innovative combinations, such as spicy merguez with smoked pepper sauce, pecorino, and mint on a puffy crust. Nightly specials include a creamy leek and celeriac soup, finished with olive oil and freshly ground black pepper.
				","
	Co.
",0.747257|-74.0008|0|3|
Indian,"$50,$74","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","27 W. 24th St., New York 10010",Very good standard.,"
			Creative cuisine, attention to detail and stunning décor set Junoon apart from its upscale Indian associates. Step through the restaurant's ebony wood doors, and you'll find a dramatic, welcoming space adorned with treasures from the subcontinent. The large bar up front, replete with two antique jhoolas (swings) crafted from Burmese teak, delivers sophistication and fun-and by day, lunch is served in the light and airy (Patiala) room. Dinner guests are treated to the more theatrical room, walking along the length of the space through an ancient wooden arch and carved panels, seemingly afloat in a reflecting pool. This leads to an amber-tinted dining area where tables are luxuriously spaced. The overall effect is exotic, luxe and transporting-not easily forgotten. The talented kitchen team is particularly adept at bringing out contrasting flavors and textures in vegetarian dishes. A plate of kofta paneer, highlighting soft cottage cheese-like dumplings with a crisp exterior, puddled in a mustard-greens curry studded with English peas and abundant chilies, reaches epic heights when paired with a cheese-filled naan. But for a truly regal affair, opt for the chicken biryani-aromatic, moist and perfectly spiced.
				","
	Junoon
",0.74325|-73.99077|0|3|
American,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","72 Hudson Ave., Brooklyn 11201",Simple standard.,"
			This local standout is situated in a waterfront neighborhood that feels not only charming but utterly untouched by time. The original carriage house was a butcher shop before becoming Vinegar Hill House-a lineage that seems apropos of such steady and perfectly delicious cooking. Chef/co-owner Jean Adamson's wood-fired fare is both rustic and enchanting. Start with a wintry fennel salad dressed in lemony olive oil and arranged with fronds over a swipe of burnt onion crème (think of the best onion dip you've ever had). Then, dig into a roasted half chicken with copious jus and a splash of snappy sherry vinegar served in a cast iron skillet. Dark and impossibly moist chocolate Guinness cake is outrageously good, beneath a thick layer of cream cheese frosting.
				","
	Vinegar Hill House
",0.70266|-73.98139|0|3|
Korean,"$13,$24",none,Simple standard.,"2 W. 32nd St., New York 10001",none,"
			Tasty, cheap, quick, and clean, Mandoo Bar knows exactly who it is and what it does well. A neon pink ""M"" lights up the front window, through which passersby can glimpse a sort of grandmotherly chef folding dumplings with myriad fillings. Each wrapper color indicates what is tucked within, with green for vegetable, white for pork, and pink for seafood. True to its name, these mandoo can be found on every table. Crisp fried pork goon mandoo are half-moon shaped and seared until brown and blistered, stuffed with minced pork seasoned with Chinese chives. Simple flavors are the hallmarks of their boiled vegetable dumplings-enticingly plump and chewy. The full kitchen also offers an array of larger dishes, like jap chae and bi bim bap.
				","
	Mandoo Bar
",",""id"":""40.74721|-73.98"
Southern,"$25,$49",none,Good standard.,"509 Myrtle Ave., Brooklyn 11205",none,"
			Southern food meets bohemian city life at SoCo, an urbane, industrial-chic restaurant where guests are greeted at the door with a splash of wonderful jazz. The gracious, hospitable staff manages to meander through the young professionals and artsy Pratt students with ease, and if the cool charm of SoCo doesn't woo you, the outstanding Southern fare will certainly do the trick. Organic buttermilk-fried chicken arrives crispy and tender, and served over a delicious red velvet waffle; while fall-off-the-bone short ribs are braised in an irresistible coconut-molasses-ginger sauce, and served with creamy garlic mashed potatoes and tender okra. To finish, a soft peach cobbler is spiced to perfection. Brunch is especially popular, so arrive early.
				","
	SoCo
","istAttraction"",""id"":""4"
Korean,"$25,$49",none,Good standard.,"10 W. 32nd St., New York 10001",none,"
			24-hour access to delicious Korean food? Yes please, Miss Korea. Located in the heart of K-Town, this popular restaurant is guaranteed to have a line out the door during peak dinner hours, but once inside you'll find a fairly serene décor, with each of its floors dedicated to a unique aspect of Korean culture. The first floor offers the most robust menu; the second floor is more intimate, with Zen-like private dining rooms and a set menu featuring Imperial cuisine. Each floor is packed with blonde wooden tables fixed with grills. However, make sure to go for the outstanding clay pot galbi highlighting tender USDA Prime beef short ribs marinated on the bone for 24 hours, then cut tableside and grilled to heavenly perfection on the spot.
				","
	Miss Korea
",",""id"":""40.747505|-73.9"
Korean,"$25,$49",none,Good standard.,"1250 Broadway, New York 10001",none,"
			A longtime favorite of Korean barbecue fans, this lively yet homey joint delivers an authentic and charming experience. Donning an old-school vibe, the room may seem trapped in time, but rest assured as there is delish food and free-flowing soju on deck here. Bypass the first floor and find a roost on the second level, where warm, almost maternal servers with a sense of humor present an array of fragrant grilled meats. The haemool pa jeon is a flaky seafood pancake and excellent starter that may be trailed by delicate slices of galbi sizzling on the grill. Further indulge this meat feast with jaeyook gui or marinated pork grilled to pink perfection. Yet still be sure to save room for boodae chongol-a bubbling stew of kimchi, pork, vegetables, and noodles.
				","
	Kang Suh
",":{""model"":""last_visite"
Japanese,"$13,$24",none,Simple standard.,"296 Grand St., Brooklyn 11211",none,"
			It's almost impossible to believe, but little Bozu preceded the Williamsburg dining boom and has been flourishing for over a decade now. That's practically a dinosaur in these parts, but this hep cat shows no signs of slowing down. It's still jumping every night of the week with an energetic crowd. And why not? Eating here is a blast, and their sushi is the bomb-quite literally. The unique sushi bombs (flat coin-like rice cakes topped with fish, spicy sauces and such) are one of the kitchen's signature dishes and for good reason. But do try the tender pork Betty and delicious fried tako balls too. The menu here has been described as ""authentically inauthentic."" But however named, the important thing is that the food is executed with care and attention.
				","
	Bozu
","is"":{""model"":""last_vis"
Contemporary,"$50,$74","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","160 Havemeyer St., No. 5, Brooklyn 11211",Simple standard.,"
			Vegetables bask in the spotlight at this stellar South Williamsburg counter, where the formidable team of Chefs José Ramírez-Ruiz and Pamela Yung apply their fine dining aptitude to produce an improvisational feast out of the season's bounty. Turning the notion of service on its head, members of the kitchen step away from their stations to deliver their intricate compositions-each of them plated on hand thrown pottery. The briefest of descriptions is offered upon presentation, which means that a mouthful of ""grilled squash,"" for example, might also deliver raw slivers of pattypan, creamy peanut sauce, and a dusting of dried mint. Embellishments like foie gras and trout roe are used sparingly and to splendid effect, never outshining the true flavor of the produce. Semilla's bread is house-made, excellent, and used to accentuate the menu; as seen in a wedge of flax seed-barley sourdough with cultured butter to accompany a roasted carrot ""mille-feuille,"" alongside smoked potato purée and fava greens sauce. Although the duo of sweets to finish may include options that disappoint, dessert can also be an electrifying success as in the egg yolk-saffron sorbet, cloud of smoked cream, and passion fruit.
				","
	Semilla
","istAttraction"",""id"":""4"
Contemporary,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","391 Van Brunt St., Brooklyn 11231",Simple standard.,"
			The Good Fork is a perfect neighborhood restaurant with a serious local following. Located on the food-centric Van Brunt Street near the Red Hook Waterfront, this inviting spot swaps New York pretense for pure passion-it's the dream of a married couple who built the restaurant from scratch, literally. Co-owner Ben Schneider crafted the space, while his classically trained wife, Chef Sohui Kim, helms the kitchen. Her cuisine emphasizes Korean and other global flavors as well as a commitment to locality. Homemade dumplings are filled with nicely seasoned pork, crisped, and served with black vinegar dipping sauce. Market-fresh bluefish is not only superbly cooked but creatively served with buttery taro root mash, citrus sauce, and pickled radish.
				","
	The Good Fork
","istAttraction"",""id"":""4"
Korean,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","12 E. 32nd St., New York 10016",Good standard.,"
			Beyond an ordinary façade lies this serene, shoes-off retreat with traditional low tables, Korean artifacts, and meditative music. Said footwear is stored in cubbies, seating is the color of bamboo, and clay teapots adorn the back wall. The setting is soothing, but the atmosphere is surprisingly convivial, with groups gabbing over stuffed shiitake mushrooms and green tea. The ssam bap offers a fun DIY experience with a long platter of fillings. Dark leafy lettuce and thin, herbaceous sesame leaves are topped with creamy slices of avocado, crunchy bean sprouts, pickled daikon, carrot, cucumber, radish, and three rice options-white, brown, and a nutty, purple-tinged multigrain. Topped with miso ssam sauce, each bite is a fresh burst of uplifting textures.
				","
	HanGawi
",",""id"":""40.74666|-73.98"
Seafood,"$25,$49",none,Simple standard.,"302 Metropolitan Ave., Brooklyn 11211",none,"
			Williamsburg's restaurant scene is awash in excellence these days, yet this guy still manages to find its own niche. Their particular bag is fresh seafood, rendered in an inventive American fashion, and served in a charming, rustic dining room awash in warm woods and nautical lighting fixtures. Out front, you'll find a lively, packed bar; toward the back, cozy seating and a truly welcoming service staff. Pristine dorade ceviche arrives bursting with crisp onion and bright cilantro; while a lovingly constructed lobster roll teems with sweet, fresh lobster. Wild-caught King salmon confit is paired with smoked crème fraîche, dill and toasted bagel crumbs. Don't miss the superb Jonah crab bucatini with tender Littleneck clams, lemon and parsley.
				","
	Extra Fancy
","s"":{""model"":""last_visi"
American,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","247 S. 1st St., Brooklyn 11211",Simple standard.,"
			Rye's Classic Old Fashioned-a carefully crafted swirl of liquid amber-is the perfect personification of Chef Cal Elliott's beloved gastropub: strong, satisfying, and comforting. Anchored by a reclaimed mahogany bar, the Brooklyn speakeasy is accented accordingly with creaky plank flooring, a pressed-tin ceiling, and exposed filament bulbs overhead. For even more reasons to imbibe, climb down to the basement offshoot, The Bar Below Rye. Bar snacks such as oysters, cheeses, and duck rillettes with pickled watermelon lead to a succinct lineup of cooking that includes crispy skin seared Scottish salmon dressed with seasonal vegetables and preserved lemon. For dessert, the warm and fudgy molten chocolate cake is another classic Rye gets just right.
				","
	Rye
",""":{""model"":""last_visit"
American,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","524 Court St., Brooklyn 11231",Simple standard.,"
			Doug Crowell and Chef Ryan Angulo run the sort of joint we'd all like to have at the end of our street. It's warm and relaxed, run with care and attention, offers an appealing menu for all occasions-and has prices that encourage regular attendance. The name may refer to the tidal strait but also evokes feelings of comfort and cheer in a place that's already cute and where the close-set tables and large bar both add to the animated atmosphere. The kitchen seeks out worthy suppliers and with no little skill imbues each dish with that little extra something, be it the cod with Littleneck clams, the fresh linguini with beets or indeed the buttermilk-fried chicken. This care is even evident at weekend brunches on standouts like short rib hash.
				","
	Buttermilk Channel
","istAttraction"",""id"":""4"
American,"$25,$49",none,Good standard.,"7 Greene Ave., Brooklyn 11238",none,"
			With its worn-in good looks, it's no surprise that No. 7 is this neighborhood's favorite hangout-a place where a cool crowd sip at the lively bar and sink into the dining room's sumptuous, horseshoe-shaped banquette. Add to that a menu so intriguingly original, it started a movement (the brand now includes kiosks serving sandwiches and veggie burgers), and you've got a recipe for success. A delicious alchemy is at work in the open kitchen creating the likes of braised pork shoulder-stuffed cabbage paired with grilled stone fruit panzanella. Starters and dessert here are every bit as fun as the main event. And the proof is in the perfectly ripe avocado topped with smoked trout, tobiko, and jalapeño oil; followed by the decadent brandy Alexander tiramisu.
				","
	No. 7
",",""id"":""40.68606|-73.97"
Italian,"$25,$49",none,Simple standard.,"243 DeKalb Ave., New York 11205",none,"
			Candlelight bounces off white-tiled walls and colorful mosaic throughout this cozy hideaway's small, tasteful dining room. Locals return for the two daily cocktails (one bitter, one sour) along with the short, none-too-complicated menu that is a study in the strength of focus. This is the type of inviting neighborhood joint that calls for a glass of wine and plate of soulful pasta at the bar. Dishes are straightforward but satisfy in their careful execution. A squid salad with cannellini beans, tomato, herbs, and fantastic olive oil is elevated by seasoning and texture from toasted breadcrumbs. Tortelli stuffed with fluffy ricotta find a succulent home in pork ragù. A wonderfully rich and almost chocolate-hued braised beef rib tops buttery whipped potatoes.
				","
	Roman's
",",""id"":""40.68971|-73.96"
Asian,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","2 Hope St., Brooklyn 11211",Simple standard.,"
			Everything's buzzing at the Manila Social Club, a sibling-run Filipino restaurant with a ton of heart and some formidable culinary talent. Straddling a bustling corner of Roebling Street, it's a small but lovely space, with a sweet little bar that doubles as a welcome refuge for waiting customers. Chef Björn DelaCruz may be self-trained but delivers one surprise after another. Filipino guilty pleasures like Spam fries are served with banana ketchup and pickled mango sauce; while perfectly fried whole snapper gets a delicious lift from jasmine rice tucked with cubed sweet chayote and hints of absinthe. Big spenders can impress their friends by calling ahead to order the $100 Golden Cristal donut for a dessert made with ube (sweet purple yam).
				","
	Manila Social Club
","ois"":{""model"":""last_vi"
Mexican,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","241 S. 4th St., Brooklyn 11211",Simple standard.,"
			Flaunting the trademark style of Chef Jason Marcus, this Mexican romp packs Williamsburg denizens into a slender space set aglow by etched brass ceiling pendants. A delicious alchemy is at work here, as evidenced in the crabmeat-topped tamale flan sauced with fava bean-poblano purée; baked lamb meatballs in chipotle cream accompanied by grilled garlic and cheese sprinkled Texas toast; or strawberry tres leches with fragrant cilantro ice cream. Like the menu, the beverage listing is loads of fun. Wines are whimsically arranged under headings of iconic women (Rieslings listed in the Helen Mirren section are described as concentrated and transcendent), and deconstructed margaritas feature a shot of tequila poured over frozen cubes of fruit juices.
				","
	Xixa
","is"":{""model"":""last_vis"
American,"$25,$49",none,Good standard.,"773 Fulton St., Brooklyn 11217",none,"
			This Fort Greene standout offers delicious cooking and just so happens to be pretty cool, too. The beverage menu features riffs on the Negroni cocktail-one for instance substitutes reposado tequila for gin. Walls are lined with reclaimed planks of the Coney Island boardwalk, and genuinely hospitable service tames the packed house. Quality trumps quantity in the streamlined selection of product-driven creations. A neatly arranged row of silver dollar-sized kimchi pancakes, topped with tender strands of pulled pork make an enticing starter; while toothsome and tender house-made gnocchi is plated with snap peas, sautéed wild mushrooms, and sweet peas for a springtime treat. Finish with a contemporary take on banana cake enhanced with coconut cream foam.
				","
	Prospect
","istAttraction"",""id"":""4"
American,"$25,$49",none,Simple standard.,"365 Van Brunt St., Brooklyn 11231",none,"
			Surprisingly mellow for a restaurant named after a Revolutionary War fort, this Southern tavern (of sorts) is a warm and inviting space where one meal can easily bleed into the next. With a reputation for cocktails, a classic wood bar, and tables covered in colorful oilcloths depicting flora and fauna, this is a lively but not-too-crowded watering hole with solid cooking and heaps of character. A meal could start with crostini topped with local ricotta, shiitake mushrooms, kale, and parmesan. On a blustery day in windswept Red Hook, perhaps the smoky lentil soup will do. Locals return time and again for classics like faultless deviled eggs dusted with paprika. A lean towards the South is seen in the hearty muffuletta of New Orleans fame.
				","
	Fort Defiance
",pois/touristAttraction
American,"$50,$74","Using top quality ingredients, dishes with distinct flavours are carefully prepared to a consistently high standard.  ","One MICHELIN Star : High quality cooking, worth a stop!","135 N. 5th St., Brooklyn 11249",Good standard.,"
			Just removed from the busy thoroughfare, find this understated gem adorned with little more than photographs of field-fresh produce, votives, and a tulip for each table. Service is as laid back and attentive as the ambience. That easygoing feel extends to the menu, which capitalizes on the best ingredients of the moment. Thanks to an impressive resume, Chef Patti Jackson's foundation in Italian cooking adds delicious dimension to this regional American food. Start off with an array of openers, ranging from the cool and bracing flavors of mustard-pickled sardines over arugula, to a paper-thin crostini topped with a quenelle of chicken liver pâté and julienned radish. The golden-brown chickweed pie is a signature for good reason. By the grace of the chef's upbringing in Pennsylvania Dutch country, her warm, yeasty pretzel rolls may be among the best on this side of the Delaware. Follow this with twice-cooked nuggets of buttery spaetzle composed with a springtime mélange of chopped morels and slivered green onion. End your meal on a strong, sweet note with a duo of desserts like almond cake topped with rhubarb compote, and a pitch-perfect panna cotta over a smear of lemon curd.
				","
	Delaware and Hudson
","nd"":{""model"":""location"
American,"$13,$24",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","109 N. Third St., Brooklyn 11249",Simple standard.,"
			It was only a matter of time before owner George Weld would have to find larger digs for his home of the city's best biscuits. Egg's ravenous following is now accommodated in a much larger location that's light and bright with seating at a number of counters and ample table space; yet it's still common to be faced with a queue. Breakfast is served all day, every day, and stars those fantastic buttermilk biscuits. The fresh-baked beauties are split open and smothered with pork sausage-studded sawmill gravy, stacked with country ham, house-made fig jam, and Vermont cheddar cheese; or simply accompanied by molasses, honey, or jelly. Lunchtime brings savory fare like Carolina kale wilted in a spicy tomato broth poured over a wedge of crumbly cornbread.
				","
	Egg
","s"":{""model"":""last_visi"
American,"$25,$49",‘Bibs’ are awarded for simple yet skilful cooking for under £28 or €40.,"Bib Gourmand: good quality, good value cooking: ≤ £28 / 40 € (IRE)","285 Nevins St., Brooklyn 11217",Good standard.,"
			This contemporary American small plates restaurant calls an industrial stretch of Gowanus home. Inside, you'll find a cozy, intimate space with exposed brick walls, filament light bulbs as well as a wood burning oven in the back of the dining room-it's that Brooklyn feel we've come to know and love, and Freek's Mill does it just so. The cuisine is seasonal, light, and fresh, with each plate delivering something unique and unexpected. Try the fried soft-shell crab-its streak of cashew butter balanced by a sweet and spicy sambal and chopped baby bok choy; or the deliciously caramelized barbecue kohlrabi with buttery grits and wilted mustard greens. Close out with a beautifully aged duck breast coupled with refried cranberry beans and a rosemary-honey glaze.
				","
	Freek's Mill
","staurant"",""id"":""40.679"
