Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,Turnstile Station Name,Stop Number
138,138,L29,BMT,Canarsie,Canarsie - Rockaway Pkwy,Bk,L,At Grade,40.646654,-73.90185,ROCKAWAY PKY,24
108,108,M01,BMT,Myrtle Av,Middle Village - Metropolitan Av,Q,M,Elevated,40.711396,-73.889601,METROPOLITAN AV,1
109,109,M04,BMT,Myrtle Av,Fresh Pond Rd,Q,M,Elevated,40.706186,-73.895877,FRESH POND RD,2
110,110,M05,BMT,Myrtle Av,Forest Av,Q,M,Elevated,40.704423,-73.903077,FOREST AVE,3
111,111,M06,BMT,Myrtle Av,Seneca Av,Q,M,Elevated,40.702762,-73.90774,SENECA AVE,4
112,630,M08,BMT,Myrtle Av,Myrtle - Wyckoff Avs,Bk,M,Elevated,40.69943,-73.912385,MYRTLE-WYCKOFF,5
113,113,M09,BMT,Myrtle Av,Knickerbocker Av,Bk,M,Elevated,40.698664,-73.919711,KNICKERBOCKER,6
114,114,M10,BMT,Myrtle Av,Central Av,Bk,M,Elevated,40.697857,-73.927397,CENTRAL AV,7
97,97,M11,BMT,Jamaica,Myrtle Av,Bk,J M Z,Elevated,40.697207,-73.935657,MYRTLE AV,8
98,98,M12,BMT,Jamaica,Flushing Av,Bk,J M,Elevated,40.70026,-73.941126,FLUSHING AV,9
99,99,M13,BMT,Jamaica,Lorimer St,Bk,J M,Elevated,40.703869,-73.947408,LORIMER ST,10
100,100,M14,BMT,Jamaica,Hewes St,Bk,J M,Elevated,40.70687,-73.953431,HEWES ST,11
101,101,M16,BMT,Jamaica,Marcy Av,Bk,J M Z,Elevated,40.708359,-73.957757,MARCY AV,12
102,625,M18,BMT,Jamaica,Essex St,M,J M Z,Subway,40.718315,-73.987437,ESSEX ST,13
230,619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204,BROADWAY/LAFAY,14
167,167,A32,IND,8th Av - Fulton St,W 4 St,M,A B C D E F M,Subway,40.732338,-74.000495,W 4 ST-WASH SQ,15
229,601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209,14TH STREET,16
228,228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878,-73.992821,23 ST-6 AVE,17
227,607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.987823,34 ST-HERALD SQ,18
226,609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569,42 ST-BRYANT PK,19
225,225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329,47-50 STS ROCK,20
276,276,F12,IND,Queens - Archer,5 Av/53 St,M,E M,Subway,40.760167,-73.975224,5 AVE-53 ST,21
275,612,F11,IND,Queens - Archer,Lexington Av/53 St,M,E M,Subway,40.757552,-73.969055,LEXINGTON-53 ST,22
274,606,F09,IND,Queens - Archer,Court Sq,Q,E M,Subway,40.747846,-73.946,COURT SQ-23 ST,23
273,273,G21,IND,Queens - Archer,Queens Plaza,Q,E M R,Subway,40.748973,-73.937243,PROSPECT AVE,24
272,272,G20,IND,Queens - Archer,36 St,Q,M R,Subway,40.752039,-73.928781,WASHINGTON-36 A,25
271,271,G19,IND,Queens - Archer,Steinway St,Q,M R,Subway,40.756879,-73.92074,ST LAWRENCE AVE,26
270,270,G18,IND,Queens - Archer,46 St,Q,M R,Subway,40.756312,-73.913333,46 ST-BLISS ST,27
269,269,G16,IND,Queens - Archer,Northern Blvd,Q,M R,Subway,40.752885,-73.906006,NEWKIRK AVE,28
268,268,G15,IND,Queens - Archer,65 St,Q,M R,Subway,40.749669,-73.898453,63 DR-REGO PARK,29
267,616,G14,IND,Queens - Archer,Jackson Hts - Roosevelt Av,Q,E F M R,Subway,40.746644,-73.891338,JKSN HT-ROOSVLT,30
266,266,G13,IND,Queens - Archer,Elmhurst Av,Q,M R,Subway,40.742454,-73.882017,ELMHURST AVE,31
265,265,G12,IND,Queens - Archer,Grand Av - Newtown,Q,M R,Subway,40.737015,-73.877223,GRAND-NEWTOWN,32
264,264,G11,IND,Queens - Archer,Woodhaven Blvd,Q,M R,Subway,40.733106,-73.869229,WILSON AVE,33
263,263,G10,IND,Queens - Archer,63 Dr - Rego Park,Q,M R,Subway,40.729846,-73.861604,63 DR-REGO PARK,34
262,262,G09,IND,Queens - Archer,67 Av,Q,M R,Subway,40.726523,-73.852719,67 AVE,35
261,261,G08,IND,Queens - Archer,Forest Hills - 71 Av,Q,E F M R,Subway,40.721691,-73.844521,FOREST HILLS-71,36
