id,quarter,timestamp,price_doc,kremlin_km,full_sq,life_sq,kitch_sq,floor,max_floor,sub_area,okurg_district
16,Q3-11,2011-09-20,1850000,14.11860041,51.0,29.3898305085,8.91419491525,15.0,17.0,Mar'ino,South Eastern 
17,Q3-11,2011-09-20,6300000,10.31352228,47.0,31.0,7.38095238095,4.0,5.0,Kuz'minki,South Eastern 
18,Q3-11,2011-09-20,5900000,8.927901339,42.0,28.1627906977,6.70542635659,2.0,5.0,Nagornoe,Southern 
19,Q3-11,2011-09-22,7900000,17.42368658,59.0,32.45,11.8,10.0,14.0,Kosino-Uhtomskoe,Eastern 
20,Q3-11,2011-09-22,5200000,11.99140951,44.0,29.0,6.75542635659,4.0,5.0,Gol'janovo,Eastern 
21,Q3-11,2011-09-22,8200000,27.17480611,74.0,44.0,9.5652173913,10.0,14.0,Vnukovo,Western 
22,Q3-11,2011-09-22,5200000,13.91848212,39.0,30.5882352941,7.38336713996,7.0,14.0,Juzhnoe Tushino,North Western 
23,Q3-11,2011-09-23,6250000,16.22013333,48.0,34.0,7.77142857143,6.0,9.0,Severnoe Tushino,North Western 
24,Q3-11,2011-09-23,5750000,15.20493154,32.0,18.6744186047,3.77260981912,3.0,9.0,Chertanovo Central'noe,Southern 
25,Q3-11,2011-09-23,6000000,15.76595734,34.0,19.0,4.4327065809,11.0,12.0,Juzhnoe Tushino,North Western 
26,Q3-11,2011-09-24,1050000,10.15250217,45.0,29.0,6.6746031746,9.0,12.0,Fili Davydkovo,Western 
27,Q3-11,2011-09-26,5000000,12.2453805,35.0,20.0,4.78260869565,4.0,9.0,Otradnoe,North Eastern 
28,Q3-11,2011-09-26,4700000,19.68847158,38.0,20.0,6.66666666667,6.0,9.0,Novo-Peredelkino,Western 
29,Q3-11,2011-09-26,8254400,9.068351888,73.0,38.0,9.5,15.0,17.0,Bogorodskoe,Eastern 
30,Q3-11,2011-09-27,5900000,11.55160025,42.0,25.7727272727,8.36483253589,3.0,5.0,Jaroslavskoe,North Eastern 
31,Q3-11,2011-09-27,6200000,14.41586649,40.0,20.5128205128,3.4188034188,12.0,14.0,Strogino,North Western 
32,Q3-11,2011-09-27,18300000,15.01059889,81.0,46.0,12.0111111111,24.0,25.0,Hovrino,Northern 
33,Q3-11,2011-09-28,4900000,16.04707598,38.0,34.0,9.06666666667,2.0,9.0,Bibirevo,North Eastern 
34,Q3-11,2011-09-28,4400000,12.33917428,31.0,18.0,5.0625,4.0,5.0,Moskvorech'e-Saburovo,Southern 
35,Q3-11,2011-09-28,3900000,37.20515244,39.0,19.0,5.08211382114,1.0,6.0,Staroe Krjukovo,Zelenograd 
36,Q3-11,2011-09-28,4850000,14.18326607,39.0,20.0,6.56814449918,1.0,9.0,Mar'ino,South Eastern 
37,Q3-11,2011-09-29,5700000,10.69493206,37.0,18.5,8.22222222222,9.0,12.0,Ljublino,South Eastern 
38,Q3-11,2011-09-30,4300000,14.61997452,27.0,17.7954545455,7.62662337662,4.0,5.0,Caricyno,Southern 
39,Q3-11,2011-09-30,4500000,12.32333481,33.0,18.0,3.8850931677,2.0,8.8,Veshnjaki,Eastern 
40,Q3-11,2011-09-30,2000000,12.85543932,33.0,19.125,4.25,9.0,12.0,Veshnjaki,Eastern 
41,Q3-11,2011-09-30,6200000,3.921425922,45.0,30.0,5.0,5.0,9.0,Danilovskoe,Southern 
42,Q3-11,2011-09-30,7500000,13.19335936,54.0,30.0,7.5,10.0,12.0,Caricyno,Southern 
43,Q4-11,2011-10-01,5900000,9.145116862,40.0,24.880952381,7.77529761905,3.0,5.0,Preobrazhenskoe,Eastern 
44,Q4-11,2011-10-01,9550000,12.69310373,59.0,42.0,9.06995230525,8.0,12.0,Kon'kovo,South Western 
45,Q4-11,2011-10-01,8600000,14.91321439,77.0,38.5,11.6666666667,10.0,12.0,Brateevo,Southern 
46,Q4-11,2011-10-01,2312800,17.94890404,42.0,32.2325581395,9.06540697674,24.0,25.0,Mitino,North Western 
47,Q4-11,2011-10-03,6200000,12.45895118,38.0,24.5416666667,6.07244318182,4.0,5.0,Vostochnoe Izmajlovo,Eastern 
48,Q4-11,2011-10-03,4833000,18.93333859,36.0,19.5882352941,6.54659442724,5.0,17.0,Novo-Peredelkino,Western 
49,Q4-11,2011-10-03,5300000,14.27223184,44.0,30.1333333333,3.42424242424,2.0,12.0,Jaroslavskoe,North Eastern 
50,Q4-11,2011-10-03,5150000,14.41877416,37.0,20.6,5.49333333333,11.0,14.0,Zapadnoe Degunino,Northern 
51,Q4-11,2011-10-03,1000000,14.61997452,51.0,33.6136363636,14.4058441558,1.0,5.0,Caricyno,Southern 
52,Q4-11,2011-10-03,5098000,16.17954734,37.0,19.0,4.95652173913,6.0,9.0,Vyhino-Zhulebino,South Eastern 
53,Q4-11,2011-10-03,5500000,7.907519074,46.0,29.953125,4.87609011628,9.0,12.0,Tekstil'shhiki,South Eastern 
54,Q4-11,2011-10-03,6000000,5.048867488,38.0,22.0,6.47058823529,11.0,17.0,Donskoe,Southern 
55,Q4-11,2011-10-03,4800000,11.81055208,34.0,19.0,9.0,10.0,16.0,Ljublino,South Eastern 
56,Q4-11,2011-10-04,5500000,11.06517573,43.0,25.0,6.52173913043,1.0,5.0,Novogireevo,Eastern 
57,Q4-11,2011-10-04,2000000,9.766482309,56.0,39.0,9.75,4.0,5.0,Bogorodskoe,Eastern 
58,Q4-11,2011-10-04,5000000,24.90618499,35.0,27.5,5.72916666667,6.0,9.0,Juzhnoe Butovo,South Western 
59,Q4-11,2011-10-04,9950000,9.204766851,75.0,46.0,8.84615384615,12.0,17.0,Sokol,Northern 
60,Q4-11,2011-10-04,990000,15.61823375,64.0,43.7872340426,10.9468085106,14.0,16.0,Chertanovo Central'noe,Southern 
61,Q4-11,2011-10-04,14000000,19.58152764,96.0,50.0,22.2727272727,16.0,22.0,Kurkino,North Western 
62,Q4-11,2011-10-04,7200000,11.53828421,52.0,34.0,8.19290322581,4.0,12.0,Izmajlovo,Eastern 
63,Q4-11,2011-10-04,8400000,7.988774995,44.0,25.2466460268,10.1256601712,10.0,12.0,Preobrazhenskoe,Eastern 
64,Q4-11,2011-10-04,2080000,12.53908266,39.0,39.0,10.1739130435,10.0,12.0,Novogireevo,Eastern 
65,Q4-11,2011-10-04,5750000,6.122810056,35.0,20.0,5.0,11.0,12.0,Donskoe,Southern 
66,Q4-11,2011-10-05,10011000,14.35624953,63.0,60.0,16.0,12.0,17.0,Severnoe Medvedkovo,North Eastern 
67,Q4-11,2011-10-05,1000000,14.88441338,50.0,29.0,7.73333333333,9.0,12.0,Strogino,North Western 
68,Q4-11,2011-10-05,7100000,5.048867488,51.0,29.5263157895,8.68421052632,16.0,17.0,Donskoe,Southern 
69,Q4-11,2011-10-05,2000000,9.404261411,76.0,46.1216216216,14.0370152761,11.0,12.0,Rostokino,North Eastern 
70,Q4-11,2011-10-05,6600000,16.45202723,45.0,30.0,8.0,6.0,12.0,Orehovo-Borisovo Severnoe,Southern 
71,Q4-11,2011-10-05,5300000,15.23459354,32.0,18.5,6.16666666667,9.0,12.0,Bibirevo,North Eastern 
72,Q4-11,2011-10-05,2630000,13.08630242,64.0,28.0,10.0,10.0,17.0,Ochakovo-Matveevskoe,Western 
73,Q4-11,2011-10-06,2600000,3.236725501,66.0,28.5588235294,7.55968858131,2.0,17.0,Taganskoe,Central 
74,Q4-11,2011-10-06,4550000,14.9674249,38.0,21.5909090909,5.75757575758,8.0,17.0,Dmitrovskoe,Northern 
75,Q4-11,2011-10-06,7400000,4.549846342,37.0,21.3382352941,5.33455882353,6.0,9.0,Donskoe,Southern 
76,Q4-11,2011-10-07,5300000,12.16178667,46.0,28.0,7.30434782609,3.0,5.0,Vyhino-Zhulebino,South Eastern 
77,Q4-11,2011-10-07,8900000,17.81151777,74.0,46.0,12.2215686275,17.0,22.0,Orehovo-Borisovo Juzhnoe,Southern 
78,Q4-11,2011-10-07,4950000,11.55109863,30.0,17.0,4.04761904762,7.0,9.0,Kuz'minki,South Eastern 
79,Q4-11,2011-10-07,7800000,15.95980721,53.0,30.0,6.66666666667,13.0,14.0,Teplyj Stan,South Western 
80,Q4-11,2011-10-07,17600000,12.47054357,133.0,64.0,15.4219354839,2.0,17.0,Izmajlovo,Eastern 
81,Q4-11,2011-10-07,1000000,12.90687237,47.0,30.2888888889,5.22222222222,1.0,5.0,Gol'janovo,Eastern 
82,Q4-11,2011-10-07,990000,23.6381015,50.0,30.0,10.7142857143,9.0,10.0,Juzhnoe Butovo,South Western 
83,Q4-11,2011-10-07,1000000,15.44433705,34.0,18.7285714286,4.88571428571,8.0,9.0,Hovrino,Northern 
84,Q4-11,2011-10-07,990000,5.798406149,66.0,42.0,12.1935483871,7.0,12.0,Basmannoe,Central 
85,Q4-11,2011-10-07,9000000,22.85345731,63.0,34.1842105263,10.6825657895,2.0,10.0,Juzhnoe Butovo,South Western 
86,Q4-11,2011-10-07,6700000,13.68062591,43.0,21.0,4.88372093023,7.0,9.0,Babushkinskoe,North Eastern 
87,Q4-11,2011-10-08,990000,8.454494232,45.0,29.503458498,5.9006916996,5.0,9.0,Bogorodskoe,Eastern 
88,Q4-11,2011-10-08,4000000,36.66979069,34.0,20.0,5.34959349593,7.0,12.0,Staroe Krjukovo,Zelenograd 
89,Q4-11,2011-10-08,4450000,11.61569282,43.0,27.3095238095,6.1211001642,9.0,12.0,Pokrovskoe Streshnevo,North Western 
90,Q4-11,2011-10-10,12500000,13.47367148,76.0,56.5135135135,23.7951635846,7.0,15.0,Kon'kovo,South Western 
91,Q4-11,2011-10-10,3775000,12.58901859,32.0,18.7169811321,5.67181246427,8.0,17.0,Obruchevskoe,South Western 
92,Q4-11,2011-10-11,9500000,7.640407131,50.0,29.6666666667,6.74242424242,5.0,9.0,Filevskij Park,Western 
93,Q4-11,2011-10-11,990000,11.73428115,32.0,18.0,4.09090909091,8.0,9.0,Troparevo-Nikulino,Western 
94,Q4-11,2011-10-11,7000000,20.17649107,72.0,42.4189189189,9.86486486486,1.0,9.0,Severnoe Butovo,South Western 
95,Q4-11,2011-10-11,6504000,11.63605008,45.0,30.0,5.0,3.0,5.0,Otradnoe,North Eastern 
96,Q4-11,2011-10-11,12900000,3.112845828,54.0,37.0,7.30975609756,4.0,8.0,Hamovniki,Central 
97,Q4-11,2011-10-12,500000,15.43932721,30.0,18.0,4.19940623454,1.0,17.0,Juzhnoe Tushino,North Western 
98,Q4-11,2011-10-12,9500000,13.29110581,39.0,18.0,5.0625,8.0,17.0,Moskvorech'e-Saburovo,Southern 
99,Q4-11,2011-10-12,7100000,17.09906771,51.0,29.9150943396,8.68502738892,15.0,17.0,Solncevo,Western 
100,Q4-11,2011-10-12,990000,16.47937366,74.0,45.0,12.0,7.0,9.0,Orehovo-Borisovo Severnoe,Southern 
101,Q4-11,2011-10-12,5350000,7.658443944,41.0,25.0,5.29513888889,5.0,9.0,Tekstil'shhiki,South Eastern 
102,Q4-11,2011-10-12,8600000,3.103263595,37.0,16.0,3.52777777778,9.0,12.0,Dorogomilovo,Western 
103,Q4-11,2011-10-12,5950000,15.73710593,44.0,31.0163934426,4.32786885246,4.0,5.0,Bibirevo,North Eastern 
104,Q4-11,2011-10-13,2900000,14.59283418,38.0,34.0,9.06666666667,3.0,4.0,Severnoe Medvedkovo,North Eastern 
105,Q4-11,2011-10-13,4146000,10.22408395,26.0,15.4877942459,4.01857213953,6.0,17.0,Timirjazevskoe,Northern 
106,Q4-11,2011-10-13,5200000,8.022196984,34.0,19.0,4.875,9.0,12.0,Bogorodskoe,Eastern 
107,Q4-11,2011-10-13,6300000,15.55295113,52.0,31.4418604651,7.41705426357,1.0,12.0,Lianozovo,North Eastern 
108,Q4-11,2011-10-13,1000000,15.06995554,74.0,43.4078947368,13.4792936288,14.0,17.0,Zapadnoe Degunino,Northern 
109,Q4-11,2011-10-13,7200000,8.807559671,46.0,27.0641025641,8.23690078038,14.0,17.0,Izmajlovo,Eastern 
110,Q4-11,2011-10-13,13800000,14.08102571,77.0,42.0416666667,11.6285460993,15.0,17.0,Hovrino,Northern 
111,Q4-11,2011-10-13,6200000,9.255590411,44.0,20.0,12.0,8.0,9.0,Pechatniki,South Eastern 
112,Q4-11,2011-10-13,6800000,8.391636715,54.0,31.0,7.75,1.0,5.0,Bogorodskoe,Eastern 
113,Q4-11,2011-10-13,7200000,38.63354573,74.0,43.8157894737,10.1897184823,8.0,9.0,Krjukovo,Zelenograd 
114,Q4-11,2011-10-13,6350000,5.761174676,46.0,28.0,7.75095785441,4.0,5.0,Lefortovo,South Eastern 
115,Q4-11,2011-10-13,4750000,12.21702258,32.0,18.1333333333,5.46878306878,8.0,9.0,Gol'janovo,Eastern 
116,Q4-11,2011-10-14,6100000,16.54739564,50.0,30.0,8.0,8.0,12.0,Dmitrovskoe,Northern 
117,Q4-11,2011-10-14,8100000,17.17148587,58.0,43.0,9.55555555556,4.0,9.0,Jasenevo,South Western 
118,Q4-11,2011-10-14,6800000,19.53960009,54.0,32.0,8.13636363636,15.0,17.0,Novo-Peredelkino,Western 
119,Q4-11,2011-10-14,4650000,13.46359069,32.0,19.462962963,4.32510288066,3.0,5.0,Chertanovo Severnoe,Southern 
120,Q4-11,2011-10-14,5759000,8.839252407,78.0,47.0,10.4444444444,6.0,17.0,Rjazanskij,South Eastern 
121,Q4-11,2011-10-14,990000,12.59036994,51.0,31.0,8.08695652174,12.0,14.0,Vyhino-Zhulebino,South Eastern 
122,Q4-11,2011-10-14,2000000,15.69361904,36.0,22.2857142857,4.5742434905,2.0,9.0,Lianozovo,North Eastern 
123,Q4-11,2011-10-14,6100000,37.90361367,57.0,32.5714285714,15.6842532468,2.0,16.0,Silino,Zelenograd 
124,Q4-11,2011-10-14,1200000,12.70520529,39.0,20.0,8.0,8.0,12.0,Ochakovo-Matveevskoe,Western 
125,Q4-11,2011-10-14,11000000,3.778450629,61.0,42.7260273973,6.57323498419,1.0,5.0,Hamovniki,Central 
126,Q4-11,2011-10-14,7950000,8.259983941,52.0,29.7169811321,7.92452830189,5.0,9.0,Bogorodskoe,Eastern 
127,Q4-11,2011-10-14,8000000,6.12786558,48.0,31.0,7.75,5.0,9.0,Donskoe,Southern 
128,Q4-11,2011-10-15,4950000,15.03695598,39.0,21.0,5.6,6.0,9.0,Orehovo-Borisovo Severnoe,Southern 
129,Q4-11,2011-10-15,5000000,13.06619003,325.0,325.0,72.2222222222,7.0,17.0,Ivanovskoe,Eastern 
130,Q4-11,2011-10-15,8300000,5.53869081,51.0,29.9388888889,8.69193548387,15.0,17.0,Lefortovo,South Eastern 
131,Q4-11,2011-10-15,4800000,12.44714801,33.0,32.0,8.34782608696,5.0,9.0,Golovinskoe,Northern 
132,Q4-11,2011-10-15,4850000,13.66865858,40.0,20.7692307692,7.91208791209,3.0,9.0,Ivanovskoe,Eastern 
133,Q4-11,2011-10-15,2000000,12.29626777,47.0,29.6304347826,5.10869565217,3.0,9.0,Otradnoe,North Eastern 
134,Q4-11,2011-10-15,5900000,10.61340392,37.0,19.0,5.15847665848,1.0,5.0,Obruchevskoe,South Western 
135,Q4-11,2011-10-15,6000000,12.52351362,44.0,28.3555555556,4.88888888889,4.0,5.0,Kon'kovo,South Western 
136,Q4-11,2011-10-17,4700000,6.067378669,32.0,20.0,5.53639846743,2.0,5.0,Lefortovo,South Eastern 
137,Q4-11,2011-10-17,6100000,14.71686976,53.0,32.0,9.0,1.0,5.0,Novokosino,Eastern 
138,Q4-11,2011-10-17,7450000,8.456131078,55.0,35.4938271605,6.02725366876,3.0,5.0,Bogorodskoe,Eastern 
139,Q4-11,2011-10-17,5000000,4.538423495,51.0,28.0,7.41176470588,3.0,5.0,Taganskoe,Central 
140,Q4-11,2011-10-17,4750000,7.527602727,32.0,19.3181818182,5.12004442925,7.0,9.0,Nagatino-Sadovniki,Southern 
141,Q4-11,2011-10-17,3500000,14.96447148,22.0,14.0,3.5,9.0,17.0,Dmitrovskoe,Northern 
142,Q4-11,2011-10-18,2000000,15.15935434,36.0,17.5,10.0,10.0,12.0,Orehovo-Borisovo Severnoe,Southern 
143,Q4-11,2011-10-18,6000000,14.90243674,44.0,27.0,4.82142857143,1.0,5.0,Severnoe Medvedkovo,North Eastern 
144,Q4-11,2011-10-18,1000000,12.33199336,62.0,34.0,8.19290322581,7.0,9.0,Izmajlovo,Eastern 
145,Q4-11,2011-10-18,1500000,17.7292386,43.0,26.6931818182,8.49328512397,7.0,12.0,Birjulevo Vostochnoe,Southern 
146,Q4-11,2011-10-18,8150000,13.95951442,51.0,30.0,7.94736842105,3.0,12.0,Severnoe Izmajlovo,Eastern 
147,Q4-11,2011-10-18,4600000,7.291411509,102.0,59.245,12.8793478261,11.0,12.0,Sokolinaja Gora,Eastern 
148,Q4-11,2011-10-18,14103600,8.067295599,117.0,89.7077922078,11.4520585797,20.0,22.0,Nagatino-Sadovniki,Southern 
149,Q4-11,2011-10-18,5600000,7.946767256,31.0,20.0,5.33333333333,1.0,5.0,Nagatinskij Zaton,Southern 
150,Q4-11,2011-10-18,6200000,14.55797322,59.0,42.0,11.2,9.0,12.0,Vostochnoe Degunino,Northern 
151,Q4-11,2011-10-19,4450000,11.71993975,30.0,18.0,5.0,3.0,5.0,Ljublino,South Eastern 
152,Q4-11,2011-10-19,7050000,20.75609694,54.0,32.0,9.0,13.0,14.0,Novo-Peredelkino,Western 
153,Q4-11,2011-10-19,1000000,14.92453316,46.0,22.0,9.45777027027,11.0,12.0,Chertanovo Central'noe,Southern 
154,Q4-11,2011-10-19,6800000,10.85060308,39.0,23.4,5.85,18.0,22.0,Prospekt Vernadskogo,Western 
155,Q4-11,2011-10-19,1000000,35.49780844,38.0,18.0,4.69565217391,2.0,9.0,Savelki,Zelenograd 
156,Q4-11,2011-10-19,6450000,14.84491007,59.0,35.3888888889,9.43703703704,2.0,5.0,Dmitrovskoe,Northern 
157,Q4-11,2011-10-20,6900000,6.789300619,44.0,29.0,5.97058823529,4.0,5.0,Ajeroport,Northern 
158,Q4-11,2011-10-20,7000000,12.15905325,54.0,35.0,7.36842105263,5.0,9.0,Vojkovskoe,Central 
159,Q4-11,2011-10-20,7500000,9.60860168,60.0,42.0,7.5,2.0,4.0,Ochakovo-Matveevskoe,Western 
160,Q4-11,2011-10-20,5200000,17.28112745,34.0,19.36,2.5252173913,3.0,9.0,Solncevo,Western 
161,Q4-11,2011-10-20,10800000,13.10362639,86.0,50.0,23.1026785714,18.0,22.0,Mar'ino,South Eastern 
162,Q4-11,2011-10-20,5250000,11.61326164,36.0,20.3947368421,4.37030075188,8.0,9.0,Beskudnikovskoe,Northern 
163,Q4-11,2011-10-20,9850000,22.44709443,74.0,29.6,19.0285714286,11.0,17.0,Juzhnoe Butovo,South Western 
164,Q4-11,2011-10-20,5700000,19.15980422,39.0,21.6666666667,6.96072796935,6.0,16.0,Severnoe Butovo,South Western 
165,Q4-11,2011-10-20,1000000,36.69800406,85.0,47.8771929825,18.8088972431,9.0,14.0,Savelki,Zelenograd 
166,Q4-11,2011-10-20,2000000,13.76365791,36.0,18.5,6.16666666667,11.0,12.0,Moskvorech'e-Saburovo,Southern 
167,Q4-11,2011-10-20,5550000,12.35354292,44.0,28.0,6.0,7.0,9.0,Vostochnoe Degunino,Northern 
168,Q4-11,2011-10-20,3000000,23.05048525,38.0,19.0,7.6,12.0,17.0,Juzhnoe Butovo,South Western 
169,Q4-11,2011-10-20,6500000,12.60312985,47.0,27.7179487179,7.23076923077,3.0,5.0,Ochakovo-Matveevskoe,Western 
170,Q4-11,2011-10-20,6400000,8.650671133,42.0,26.0,6.93333333333,4.0,5.0,Nagatinskij Zaton,Southern 
171,Q4-11,2011-10-21,37000000,12.37653429,115.0,85.2741935484,22.7397849462,7.0,8.0,Krylatskoe,Western 
172,Q4-11,2011-10-21,4450000,9.288873485,32.0,18.4242424242,5.81818181818,1.0,5.0,Pechatniki,South Eastern 
173,Q4-11,2011-10-21,5000000,5.788287122,30.0,18.0,4.0,8.0,9.0,Juzhnoportovoe,South Eastern 
174,Q4-11,2011-10-21,6000000,9.568890071,37.0,22.0,7.0,4.0,9.0,Bogorodskoe,Eastern 
175,Q4-11,2011-10-21,5600000,10.5333784,44.0,29.6666666667,4.94444444444,3.0,5.0,Kuz'minki,South Eastern 
176,Q4-11,2011-10-21,4300000,17.54223594,35.0,21.7777777778,5.98888888889,5.0,9.0,Birjulevo Vostochnoe,Southern 
177,Q4-11,2011-10-21,4400000,4.129298893,30.0,18.0,3.81818181818,3.0,5.0,Danilovskoe,Southern 
178,Q4-11,2011-10-22,11900000,14.9610073,78.0,43.0344827586,15.1886409736,3.0,5.0,Hovrino,Northern 
180,Q4-11,2011-10-22,5050000,9.843632861,32.0,20.0,5.26315789474,7.0,9.0,Perovo,Eastern 
181,Q4-11,2011-10-22,2000000,12.30447683,80.0,50.0465116279,7.14950166113,11.0,17.0,Mar'ino,South Eastern 
182,Q4-11,2011-10-22,10239000,7.280186899,68.0,44.7937799043,8.22742896202,2.0,12.0,Akademicheskoe,South Western 
183,Q4-11,2011-10-22,4950000,15.16474148,38.0,19.7317073171,7.51684088269,2.0,5.0,Orehovo-Borisovo Severnoe,Southern 
184,Q4-11,2011-10-22,5300000,15.64402897,38.0,19.0,6.53333333333,7.0,9.0,Brateevo,Southern 
185,Q4-11,2011-10-24,1000000,10.56276063,43.0,27.0,6.0,6.0,9.0,Horoshevo-Mnevniki,North Western 
186,Q4-11,2011-10-24,18000000,13.09133614,98.0,55.2795275591,13.2190174598,12.0,17.0,Otradnoe,North Eastern 
187,Q4-11,2011-10-24,1200000,10.43268634,31.0,20.0,4.7619047619,2.0,5.0,Kuz'minki,South Eastern 
189,Q4-11,2011-10-24,5500000,13.02402239,38.0,20.14,8.63142857143,15.0,16.0,Ivanovskoe,Eastern 
190,Q4-11,2011-10-24,6150000,11.85950836,37.0,19.0,7.0,10.0,12.0,Ochakovo-Matveevskoe,Western 
191,Q4-11,2011-10-24,4210429,10.38353134,104.0,64.0,11.5468796214,7.0,12.0,Shhukino,North Western 
192,Q4-11,2011-10-24,5500000,12.1794966,45.0,28.0,5.0,5.0,9.0,Gol'janovo,Eastern 
193,Q4-11,2011-10-25,1000000,14.51918329,33.0,19.0,6.0,9.0,14.0,Hovrino,Northern 
194,Q4-11,2011-10-25,5000000,13.68673997,39.0,31.0555555556,7.29335016835,10.0,12.0,Vostochnoe Izmajlovo,Eastern 
195,Q4-11,2011-10-25,1000000,19.90883405,53.0,41.7567567568,11.1351351351,7.0,9.0,Mitino,North Western 
197,Q4-11,2011-10-25,6500000,4.873539337,36.0,20.0,3.96078431373,5.0,6.0,Basmannoe,Central 
198,Q4-11,2011-10-25,7200000,15.226282,54.0,38.0,8.8654131618,3.0,9.0,Juzhnoe Tushino,North Western 
199,Q4-11,2011-10-25,6700000,16.56484798,54.0,44.5,12.3930107527,2.0,5.0,Kapotnja,South Eastern 
200,Q4-11,2011-10-25,18100000,9.058081135,102.0,64.0,13.7142857143,8.0,12.0,Fili Davydkovo,Western 
201,Q4-11,2011-10-25,7150000,5.838068408,38.0,19.0,5.06666666667,15.0,17.0,Horoshevskoe,Northern 
202,Q4-11,2011-10-25,5700000,22.26584093,33.0,14.0,5.0,8.0,9.0,Juzhnoe Butovo,South Western 
203,Q4-11,2011-10-25,4050000,7.659129026,30.0,18.1935483871,5.07726931733,3.0,4.0,Marfino,North Eastern 
204,Q4-11,2011-10-25,10600000,4.904219663,76.0,49.1603773585,10.4279588336,2.0,5.0,Juzhnoportovoe,South Eastern 
205,Q4-11,2011-10-26,5500000,13.17892282,44.0,27.2676056338,5.57746478873,8.0,9.0,Vostochnoe Izmajlovo,Eastern 
206,Q4-11,2011-10-26,5750000,5.028384024,35.0,21.0,5.8132183908,5.0,12.0,Lefortovo,South Eastern 
207,Q4-11,2011-10-26,13500000,12.93967712,72.0,45.0,12.0,10.0,16.0,Krylatskoe,Western 
208,Q4-11,2011-10-26,4850000,16.77998286,32.0,19.1818181818,5.29153605016,6.0,9.0,Chertanovo Juzhnoe,Southern 
209,Q4-11,2011-10-26,7700000,37.58655555,84.0,43.0,11.8620689655,21.0,22.0,Silino,Zelenograd 
210,Q4-11,2011-10-26,2000000,15.55538906,45.0,26.6363636364,7.99090909091,5.0,9.0,Chertanovo Juzhnoe,Southern 
211,Q4-11,2011-10-26,1000000,10.82601491,42.0,19.0,6.33333333333,8.0,12.0,Obruchevskoe,South Western 
212,Q4-11,2011-10-26,6197000,15.61207974,38.0,20.8039215686,4.85356210767,5.0,12.0,Juzhnoe Tushino,North Western 
213,Q4-11,2011-10-26,6200000,6.237770139,37.0,23.640625,5.06584821429,7.0,9.0,Savelovskoe,Northern 
214,Q4-11,2011-10-26,8590000,17.60163678,54.0,32.0,9.0,15.0,17.0,Jasenevo,South Western 
215,Q4-11,2011-10-26,3600000,15.96911719,43.0,28.0,6.53240969817,2.0,4.0,Juzhnoe Tushino,North Western 
217,Q4-11,2011-10-27,360000,11.25518899,60.0,27.8604651163,16.3885088919,16.0,17.0,Obruchevskoe,South Western 
218,Q4-11,2011-10-27,9200000,10.58866396,50.0,28.0,6.0,14.0,22.0,Fili Davydkovo,Western 
219,Q4-11,2011-10-27,3670000,12.70502351,17.0,13.0,3.44385964912,4.0,17.0,Severnoe Izmajlovo,Eastern 
220,Q4-11,2011-10-27,990000,7.584743358,58.0,32.7432432432,7.44164619165,5.0,9.0,Filevskij Park,Western 
221,Q4-11,2011-10-27,9200000,5.24617055,58.0,36.231884058,7.68555116381,8.0,9.0,Danilovskoe,Southern 
222,Q4-11,2011-10-27,6120000,14.67565663,38.0,19.0,5.06666666667,5.0,12.0,Severnoe Medvedkovo,North Eastern 
