"EGHT      "	"8x8, Inc.                           "
"TREE      "	"LendingTree, Inc.                   "
"LXP       "	"Lexington Realty Trust              "
"LGIH      "	"LGI Homes, Inc.                     "
"LHCG      "	"LHC Group, Inc.                     "
"LGND      "	"Ligand Pharmaceuticals Incorporated "
"LNN       "	"Lindsay Corporation                 "
"LQDT      "	"Liquidity Services, Inc.            "
"LAD       "	"Lithia Motors, Inc. Class A         "
"LPSN      "	"LivePerson, Inc.                    "
"LXU       "	"LSB Industries, Inc.                "
"LKSD      "	"LSC Communications, Inc.            "
"LTC       "	"LTC Properties, Inc.                "
"LL        "	"Lumber Liquidators Holdings, Inc.   "
"LITE      "	"Lumentum Holdings, Inc.             "
"LMNX      "	"Luminex Corp                        "
"LMOS      "	"Lumos Networks Corp.                "
"LDL       "	"Lydall, Inc.                        "
"MDC       "	"M.D.C. Holdings, Inc.               "
"MHO       "	"M/I Homes, Inc.                     "
"MGLN      "	"Magellan Health, Inc.               "
"MHLD      "	"Maiden Holdings, Ltd.               "
"MANT      "	"ManTech International Corporation Cl"
"MCS       "	"Marcus Corporation                  "
"HZO       "	"MarineMax, Inc.                     "
"VAC       "	"Marriott Vacations Worldwide Corpora"
"MRTN      "	"Marten Transport, Ltd.              "
"MTRN      "	"Materion Corporation                "
"MTRX      "	"Matrix Service Company              "
"MATX      "	"Matson, Inc.                        "
"MATW      "	"Matthews International Corporation C"
"MDCO      "	"Medicines Company                   "
"MDSO      "	"Medidata Solutions, Inc.            "
"MED       "	"Medifast, Inc.                      "
"MRCY      "	"Mercury Systems, Inc.               "
"VIVO      "	"Meridian Bioscience, Inc.           "
"MMSI      "	"Merit Medical Systems, Inc.         "
"MTH       "	"Meritage Homes Corporation          "
"MEI       "	"Methode Electronics, Inc.           "
"MSTR      "	"MicroStrategy Incorporated Class A  "
"MDXG      "	"MiMedx Group, Inc.                  "
"MKSI      "	"MKS Instruments, Inc.               "
"MINI      "	"Mobile Mini, Inc.                   "
"MNTA      "	"Momenta Pharmaceuticals, Inc.       "
"MCRI      "	"Monarch Casino & Resort, Inc.       "
"TYPE      "	"Monotype Imaging Holdings Inc.      "
"MNRO      "	"Monro Muffler Brake, Inc.           "
"MOG.A     "	"Moog Inc. Class A                   "
"MPAA      "	"Motorcar Parts of America, Inc.     "
"MOV       "	"Movado Group, Inc.                  "
"MTSC      "	"MTS Systems Corporation             "
"MLI       "	"Mueller Industries, Inc.            "
"LABL      "	"Multi-Color Corporation             "
"MYE       "	"Myers Industries, Inc.              "
"MYRG      "	"MYR Group Inc.                      "
"MYGN      "	"Myriad Genetics, Inc.               "
"NANO      "	"Nanometrics Incorporated            "
"NBHC      "	"National Bank Holdings Corporation C"
"NPK       "	"National Presto Industries, Inc.    "
"BABY      "	"Natus Medical Incorporated          "
"NLS       "	"Nautilus Inc                        "
"NCI       "	"Navigant Consulting, Inc.           "
"NAVG      "	"Navigators Group, Inc.              "
"NBTB      "	"NBT Bancorp Inc.                    "
"NP        "	"Neenah Paper, Inc.                  "
"NKTR      "	"Nektar Therapeutics                 "
"NEOG      "	"Neogen Corporation                  "
"NTGR      "	"NETGEAR, Inc.                       "
"NEWM      "	"New Media Investment Group, Inc.    "
"NR        "	"Newpark Resources, Inc.             "
"EGOV      "	"NIC Inc.                            "
"NOG       "	"Northern Oil and Gas, Inc.          "
"NFBK      "	"Northfield Bancorp, Inc.            "
"NWBI      "	"Northwest Bancshares, Inc.          "
"NWN       "	"Northwest Natural Gas Company       "
"NTRI      "	"Nutrisystem, Inc.                   "
"OCLR      "	"Oclaro, Inc.                        "
"OFG       "	"OFG Bancorp                         "
"ONB       "	"Old National Bancorp                "
"OLLI      "	"Ollie's Bargain Outlet Holdings Inc "
"ZEUS      "	"Olympic Steel, Inc.                 "
"OMCL      "	"Omnicell, Inc.                      "
"ASGN      "	"On Assignment, Inc.                 "
"OPB       "	"Opus Bank                           "
"OSUR      "	"OraSure Technologies, Inc.          "
"ORN       "	"Orion Group Holdings, Inc.          "
"ORIT      "	"Oritani Financial Corp.             "
"OFIX      "	"Orthofix International NV           "
"OSIS      "	"OSI Systems, Inc.                   "
"OXM       "	"Oxford Industries, Inc.             "
"GLT       "	"P. H. Glatfelter Company            "
"PKE       "	"Park Electrochemical Corp.          "
"PKY       "	"Parkway, Inc.                       "
"PATK      "	"Patrick Industries, Inc.            "
"PDCE      "	"PDC Energy Inc                      "
"PENN      "	"Penn National Gaming, Inc.          "
"PEI       "	"Pennsylvania Real Estate Investment "
"PRFT      "	"Perficient, Inc.                    "
"PERY      "	"Perry Ellis International, Inc.     "
"PETS      "	"PetMed Express, Inc.                "
"PGTI      "	"PGT Innovations, Inc.               "
"PMC       "	"PharMerica Corporation              "
"PAHC      "	"Phibro Animal Health Corporation Cla"
"PNFP      "	"Pinnacle Financial Partners, Inc.   "
"PES       "	"Pioneer Energy Services Corp.       "
"PJC       "	"Piper Jaffray Companies             "
"PLXS      "	"Plexus Corp.                        "
"POWL      "	"Powell Industries, Inc.             "
"POWI      "	"Power Integrations, Inc.            "
"PRAA      "	"PRA Group Inc                       "
"PRA       "	"ProAssurance Corporation            "
"PGNX      "	"Progenics Pharmaceuticals, Inc.     "
"PRGS      "	"Progress Software Corporation       "
"PRLB      "	"Proto Labs, Inc.                    "
"PRSC      "	"Providence Service Corporation      "
"PFS       "	"Provident Financial Services, Inc.  "
"PSB       "	"PS Business Parks, Inc.             "
"KWR       "	"Quaker Chemical Corporation         "
"QSII      "	"Quality Systems, Inc.               "
"QLYS      "	"Qualys, Inc.                        "
"NX        "	"Quanex Building Products Corporation"
"QNST      "	"QuinStreet, Inc.                    "
"QHC       "	"Quorum Health Corp.                 "
"RRD       "	"R.R. Donnelley & Sons Company       "
"RMBS      "	"Rambus Inc.                         "
"RAVN      "	"Raven Industries, Inc.              "
"RYAM      "	"Rayonier Advanced Materials Inc     "
"RMAX      "	"RE/MAX Holdings, Inc.               "
"RRGB      "	"Red Robin Gourmet Burgers, Inc.     "
"RGS       "	"Regis Corporation                   "
"RCII      "	"Rent-A-Center Inc                   "
"RGEN      "	"Repligen Corporation                "
"RECN      "	"Resources Connection, Inc.          "
"ROIC      "	"Retail Opportunity Investments Corp."
"REX       "	"REX American Resources Corporation  "
"RH        "	"RH                                  "
"RLI       "	"RLI Corp.                           "
"RRTS      "	"Roadrunner Transportation Systems, I"
"ROG       "	"Rogers Corporation                  "
"RT        "	"Ruby Tuesday, Inc.                  "
"RTEC      "	"Rudolph Technologies, Inc.          "
"RUTH      "	"Ruth's Hospitality Group, Inc.      "
"STBA      "	"S&T Bancorp, Inc.                   "
"SBRA      "	"Sabra Health Care REIT, Inc.        "
"SAFT      "	"Safety Insurance Group, Inc.        "
"SAIA      "	"Saia, Inc.                          "
"SAFM      "	"Sanderson Farms, Inc.               "
"SANM      "	"Sanmina-SCI Corporation             "
"BFS       "	"Saul Centers, Inc.                  "
"SCSC      "	"ScanSource, Inc.                    "
"SCHL      "	"Scholastic Corporation              "
"SWM       "	"Schweitzer-Mauduit International, In"
"SCLN      "	"SciClone Pharmaceuticals, Inc.      "
"SGMS      "	"Scientific Games Corporation Class A"
"CKH       "	"SEACOR Holdings Inc.                "
"SCSS      "	"Select Comfort Corporation          "
"SEM       "	"Select Medical Holdings Corporation "
"SIGI      "	"Selective Insurance Group, Inc.     "
"SMTC      "	"Semtech Corporation                 "
"SENEA     "	"Seneca Foods Corporation Class A    "
"SFBS      "	"ServisFirst Bancshares Inc          "
"SHAK      "	"Shake Shack, Inc. Class A           "
"SCVL      "	"Shoe Carnival, Inc.                 "
"SFLY      "	"Shutterfly, Inc.                    "
"SSTK      "	"Shutterstock, Inc.                  "
"SFNC      "	"Simmons First National Corporation C"
"SSD       "	"Simpson Manufacturing Co., Inc.     "
"SKYW      "	"SkyWest, Inc                        "
"SAH       "	"Sonic Automotive, Inc. Class A      "
"SONC      "	"Sonic Corp.                         "
"SJI       "	"South Jersey Industries, Inc.       "
"SBSI      "	"Southside Bancshares, Inc.          "
"SPTN      "	"SpartanNash Company                 "
"SPPI      "	"Spectrum Pharmaceuticals, Inc.      "
"SR        "	"Spire Inc.                          "
"SPOK      "	"Spok Holdings, Inc.                 "
"SPSC      "	"SPS Commerce, Inc.                  "
"SPXC      "	"SPX Corporation                     "
"FLOW      "	"SPX Flow, Inc.                      "
"SRCI      "	"SRC Energy Inc                      "
"STMP      "	"Stamps.com Inc.                     "
"SMP       "	"Standard Motor Products, Inc.       "
"SXI       "	"Standex International Corporation   "
"SMRT      "	"Stein Mart, Inc.                    "
"SCL       "	"Stepan Company                      "
"STL       "	"Sterling Bancorp                    "
"SHOO      "	"Steven Madden, Ltd.                 "
"STC       "	"Stewart Information Services Corpora"
"STRA      "	"Strayer Education, Inc.             "
"RGR       "	"Sturm, Ruger & Company, Inc.        "
"SCMP      "	"Sucampo Pharmaceuticals, Inc. Class "
"INN       "	"Summit Hotel Properties, Inc.,      "
"SXC       "	"SunCoke Energy, Inc.                "
"SMCI      "	"Super Micro Computer, Inc.          "
"SUP       "	"Superior Industries International, I"
"SUPN      "	"Supernus Pharmaceuticals, Inc.      "
"SVU       "	"SUPERVALU INC.                      "
"SRDX      "	"Surmodics Inc                       "
"SYKE      "	"Sykes Enterprises, Incorporated     "
"SNCR      "	"Synchronoss Technologies, Inc.      "
"TLRD      "	"Tailored Brands, Inc.               "
"TISI      "	"Team, Inc.                          "
"TTEC      "	"TeleTech Holdings, Inc.             "
"TNC       "	"Tennant Company                     "
"TESO      "	"Tesco Corporation                   "
"TTEK      "	"Tetra Tech, Inc.                    "
"TTI       "	"TETRA Technologies, Inc.            "
"TDW       "	"Tidewater Inc.                      "
"TTS       "	"Tile Shop Holdings, Inc.            "
"TMST      "	"TimkenSteel Corp                    "
"TWI       "	"Titan International, Inc.           "
"TVTY      "	"Tivity Health, Inc.                 "
"TIVO      "	"TiVo Corp.                          "
"TMP       "	"Tompkins Financial Corporation      "
"BLD       "	"TopBuild Corp.                      "
"TG        "	"Tredegar Corporation                "
"TREX      "	"Trex Company, Inc.                  "
"TGI       "	"Triumph Group, Inc.                 "
"TBI       "	"TrueBlue, Inc.                      "
"TRST      "	"TrustCo Bank Corp NY                "
"TTMI      "	"TTM Technologies, Inc.              "
"TUES      "	"Tuesday Morning Corporation         "
"USCR      "	"U.S. Concrete, Inc.                 "
"USPH      "	"U.S. Physical Therapy, Inc.         "
"SLCA      "	"U.S. Silica Holdings, Inc.          "
"UTEK      "	"Ultratech, Inc.                     "
"UFI       "	"Unifi, Inc.                         "
"UNF       "	"UniFirst Corporation                "
"UNT       "	"Unit Corporation                    "
"UCBI      "	"United Community Banks, Inc.        "
"UFCS      "	"United Fire Group, Inc.             "
"UIHC      "	"United Insurance Holdings Corp.     "
"UVV       "	"Universal Corp                      "
"UEIC      "	"Universal Electronics Inc.          "
"UFPI      "	"Universal Forest Products, Inc.     "
"UHT       "	"Universal Health Realty Income Trust"
"UVE       "	"Universal Insurance Holdings, Inc.  "
"UBA       "	"Urstadt Biddle Properties Inc. Class"
"ECOL      "	"US Ecology, Inc.                    "
"VREX      "	"Varex Imaging Corporation           "
"VDSI      "	"VASCO Data Security International, I"
"VECO      "	"Veeco Instruments Inc.              "
"VRA       "	"Vera Bradley, Inc.                  "
"VRTV      "	"Veritiv Corp                        "
"VVI       "	"Viad Corp                           "
"VIAV      "	"Viavi Solutions Inc.                "
"VICR      "	"Vicor Corporation                   "
"VRTS      "	"Virtus Investment Partners, Inc.    "
"VRTU      "	"Virtusa Corporation                 "
"VSTO      "	"Vista Outdoor Inc                   "
"VSI       "	"Vitamin Shoppe, Inc.                "
"WNC       "	"Wabash National Corporation         "
"WDR       "	"Waddell & Reed Financial, Inc. Class"
"WAGE      "	"WageWorks, Inc.                     "
"WD        "	"Walker & Dunlop, Inc.               "
"WTS       "	"Watts Water Technologies, Inc. Class"
"WDFC      "	"WD-40 Company                       "
"WABC      "	"Westamerica Bancorporation          "
"WLH       "	"William Lyon Homes Class A          "
"WING      "	"Wingstop, Inc.                      "
"WGO       "	"Winnebago Industries, Inc.          "
"WETF      "	"WisdomTree Investments, Inc.        "
"WWW       "	"Wolverine World Wide, Inc.          "
"WRLD      "	"World Acceptance Corporation        "
"WWE       "	"World Wrestling Entertainment, Inc. "
