subfolder,thumbnail,teamname,nmembers
/team/gennaro,/theme/images/avatar.png,Gennaro,1 members
/team/vanillatv,/theme/images/avatar.png,VanillaTV,1 members
/team/fox,/theme/images/avatar.png,Fox,1 members
/team/pinklancers,/theme/images/avatar.png,Pink Lancers Fight Cancer,1 members
/team/revolution,https://static-cdn.jtvnw.net/jtv_user_pictures/team-revolution-team_logo_image-bee66b2c825332ad-300x300.png,Team Revolution,1 members
/team/theartposse,https://static-cdn.jtvnw.net/jtv_user_pictures/team-theartposse-team_logo_image-363b3d76c1e67445-300x300.png,The Art Posse,1 members
/team/brokentier,/theme/images/avatar.png,BROKENTIER,1 members
/team/nolights,https://static-cdn.jtvnw.net/jtv_user_pictures/team-nolights-team_logo_image-7b4e68ddda2f3d7d-300x300.jpeg,Team No Lights,1 members
/team/penotrimus,/theme/images/avatar.png,Penotrimus,1 members
/team/thetakeover,/theme/images/avatar.png,Take Over,1 members
/team/fmscout,https://static-cdn.jtvnw.net/jtv_user_pictures/team-fmscout-team_logo_image-7aa2010144aa21de-300x300.png,FMScout Network,1 members
/team/grailknights,/theme/images/avatar.png,Grail Knights,1 members
/team/playerhood,/theme/images/avatar.png,Playerhood,1 members
/team/lohikeetto,/theme/images/avatar.png,lohikeetto,1 members
/team/absolutelegends,https://static-cdn.jtvnw.net/jtv_user_pictures/team-absolutelegends-team_logo_image-956fdc2d0b50a386-300x300.png,Absolute Legends,1 members
/team/speedrunsbrasil,https://static-cdn.jtvnw.net/jtv_user_pictures/team-speedrunsbrasil-team_logo_image-394d88381290e284-300x300.png,Speedruns Brasil,1 members
/team/roblox,/theme/images/avatar.png,BLOXcasters,1 members
/team/tylertubbies,/theme/images/avatar.png,TylerTubbies,1 members
/team/underdogs,https://static-cdn.jtvnw.net/jtv_user_pictures/team-underdogs-team_logo_image-63756905303fe96c-300x300.jpeg,Channel 4,1 members
/team/t2c,/theme/images/avatar.png,Ten2Cool,1 members
/team/wandelwarriors,/theme/images/avatar.png,Wandel Warriors,1 members
/team/allstar,https://static-cdn.jtvnw.net/jtv_user_pictures/team-allstar-team_logo_image-20139bf4aa2e13bc-300x300.jpeg,Doc's All-Star Squad,1 members
/team/aphobia,https://static-cdn.jtvnw.net/jtv_user_pictures/team-aphobia-team_logo_image-a9477879fd94964e-300x300.jpeg,Aphobia Gaming,1 members
/team/gengame,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gengame-team_logo_image-0952acac2a9043ff-300x300.png,GenGAME,1 members
/team/fragile,https://static-cdn.jtvnw.net/jtv_user_pictures/team-fragile-team_logo_image-fc525b21d0530df9-300x300.png,Fragile Tv,1 members
/team/omgcast,https://static-cdn.jtvnw.net/jtv_user_pictures/team-omgcast-team_logo_image-4391b3d4ad1d8c3a-300x300.png,OMG Cast,1 members
/team/magyarloltv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-magyarloltv-team_logo_image-b1e2c37e696c11fe-300x300.png,Magyar LoL TV,1 members
/team/hungary,/theme/images/avatar.png,Hungary,1 members
/team/streamelekhu,/theme/images/avatar.png,STREAMELEK.hu Magyar Közösség,1 members
/team/transcend,https://static-cdn.jtvnw.net/jtv_user_pictures/team-transcend-team_logo_image-76663342097fcb58-300x300.png,Transcend,1 members
/team/fgcbr,https://static-cdn.jtvnw.net/jtv_user_pictures/team-fgcbr-team_logo_image-72848edf7e1a8105-300x300.png,Fighting Games Community Brazil,1 members
/team/thecastersguild,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thecastersguild-team_logo_image-a1a3c1a073b967d9-300x300.png,The Casters Guild,1 members
/team/continuum,https://static-cdn.jtvnw.net/jtv_user_pictures/team-continuum-team_logo_image-529c2a9b14a04def-300x300.jpeg,Continuum,1 members
/team/salt,https://static-cdn.jtvnw.net/jtv_user_pictures/team-salt-team_logo_image-1c1a0f2aa4f7dc5b-300x300.png,Salt,1 members
/team/sectorone,https://static-cdn.jtvnw.net/jtv_user_pictures/team-sectorone-team_logo_image-52b855aa3e01c852-300x300.png,Sector One,1 members
/team/blizzcon,https://static-cdn.jtvnw.net/jtv_user_pictures/team-blizzcon-team_logo_image-7d70867cc44c48d6-300x300.png,BlizzCon 2016,1 members
/team/lulwut,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lulwut-team_logo_image-96a0f551ae6a7601-300x300.png,LulWut,1 members
/team/teamproject,/theme/images/avatar.png,Team Project,1 members
/team/divinecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/team-divinecraft-team_logo_image-ded506cb705c1f81-300x300.png,DivineCraft,1 members
/team/csl,https://static-cdn.jtvnw.net/jtv_user_pictures/team-csl-team_logo_image-0fc566a52b896660-300x300.png,Collegiate Starleague,1 members
/team/pokestreamers,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pokestreamers-team_logo_image-72d198adf56f30bd-300x300.jpeg,Team Harmony,1 members
/team/bigbluees,/theme/images/avatar.png,Big Blue Esports,1 members
/team/blu,https://static-cdn.jtvnw.net/jtv_user_pictures/team-blu-team_logo_image-edf606803017bbeb-300x300.png,Brush Lickers United,1 members
/team/paingamingeu,https://static-cdn.jtvnw.net/jtv_user_pictures/team-paingamingeu-team_logo_image-f7427cd9f3e29fbf-300x300.jpeg,Pain Gaming,1 members
/team/vox,https://static-cdn.jtvnw.net/jtv_user_pictures/team-vox-team_logo_image-6cf20ca726e33871-300x300.png,VOX,1 members
/team/ironman,/theme/images/avatar.png,Fox Enthusiasts,1 members
/team/rtx,https://static-cdn.jtvnw.net/jtv_user_pictures/team-rtx-team_logo_image-c03b4f5e2988cc79-300x300.png,RTX 2016,1 members
/team/playstation,https://static-cdn.jtvnw.net/jtv_user_pictures/team-playstation-team_logo_image-e5e000c06114b48f-300x300.jpeg,PlayStation,1 members
/team/afktv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-afktv-team_logo_image-f728323d565d9487-300x300.png,Afk.Tv - Oyun Dünyasının Altın Ç,1 members
/team/overclocking,/theme/images/avatar.png,Overclocking,1 members
/team/hardware,/theme/images/avatar.png,Hardware,1 members
/team/ggnore,https://static-cdn.jtvnw.net/jtv_user_pictures/team-ggnore-team_logo_image-6d93fdf5756b847f-300x300.png,GGnoRE,1 members
/team/dtnoverwatch,/theme/images/avatar.png,DeToNator Overwatch,1 members
/team/teamsks,https://static-cdn.jtvnw.net/jtv_user_pictures/team-teamsks-team_logo_image-75e2ce1f68a565fc-300x300.png,Shadow Squad,1 members
/team/asterion,https://static-cdn.jtvnw.net/jtv_user_pictures/team-asterion-team_logo_image-ac9ef718c6b600fb-300x300.png,Asterion,1 members
/team/campaignersguild,/theme/images/avatar.png,Campaigner's Guild,1 members
/team/twingalaxieslive,https://static-cdn.jtvnw.net/jtv_user_pictures/team-twingalaxieslive-team_logo_image-f7b442bfdbf1e0df-300x300.png,TwinGalaxiesLive Channel,1 members
/team/thenextlevel,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thenextlevel-team_logo_image-a298049ac3baed33-300x300.jpeg,thenextlevel,1 members
/team/microsoftstudios,/theme/images/avatar.png,Microsoft Studios,1 members
/team/dream2stream,https://static-cdn.jtvnw.net/jtv_user_pictures/team-dream2stream-team_logo_image-bdfa6124a4bb2063-300x300.png,Dream2Stream,1 members
/team/calbelmusic,/theme/images/avatar.png,Calbel Music,1 members
/team/pn,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pn-team_logo_image-b9c619a380e06d79-300x300.png,Eternal Kingdom,1 members
/team/somniax,https://static-cdn.jtvnw.net/jtv_user_pictures/team-somniax-team_logo_image-00d49482b9753dca-300x300.png,Team Somniax,1 members
/team/drayswefamily,https://static-cdn.jtvnw.net/jtv_user_pictures/team-drayswefamily-team_logo_image-71a8710a145cf27f-300x300.png,DraySWE Family,1 members
/team/thepixelalliance,/theme/images/avatar.png,The Pixel Alliance,1 members
/team/edit,https://static-cdn.jtvnw.net/jtv_user_pictures/team-edit-team_logo_image-950d9d7fddd93587-300x300.,Edit,1 members
/team/aox_gg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-aox_gg-team_logo_image-d88daf8eb54ce958-300x300.png,Training Grounds,1 members
/team/squidhead,/theme/images/avatar.png,Squidhead,1 members
/team/enduranceesports,https://static-cdn.jtvnw.net/jtv_user_pictures/team-enduranceesports-team_logo_image-09e710b2f104711c-300x300.png,Endurance ESports,1 members
/team/redcoats,https://static-cdn.jtvnw.net/jtv_user_pictures/team-redcoats-team_logo_image-0c5c85e7eac38cfb-300x300.png,The RedCoats,1 members
/team/thed100s,/theme/images/avatar.png,The D100s,1 members
/team/gamersleague,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gamersleague-team_logo_image-9c01c11ca5e68660-300x300.png,Gamersleague,1 members
/team/dogehouse,https://static-cdn.jtvnw.net/jtv_user_pictures/team-dogehouse-team_logo_image-817587cf1ae3f436-300x300.jpeg,DogeHouse,1 members
/team/playervision,https://static-cdn.jtvnw.net/jtv_user_pictures/team-playervision-team_logo_image-b19e05e50bf74c16-300x300.png,PlayerVision,1 members
/team/psmvp,https://static-cdn.jtvnw.net/jtv_user_pictures/team-psmvp-team_logo_image-45f2ab189222f13d-300x300.jpeg,#PSMVP,1 members
/team/theskillingnetwork,https://static-cdn.jtvnw.net/jtv_user_pictures/team-theskillingnetwork-team_logo_image-08e4c530d59c4be3-300x300.png,The Skilling Network,1 members
/team/recklessguild,/theme/images/avatar.png,RecklessGuild,1 members
/team/warlegend,https://static-cdn.jtvnw.net/jtv_user_pictures/team-warlegend-team_logo_image-dd08f018b157f96e-300x300.png,War Legend,1 members
/team/lataniere,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lataniere-team_logo_image-bd3e872a0bdb8604-300x300.jpeg,La Tanière,1 members
/team/aspects,/theme/images/avatar.png,Aspects,1 members
/team/armor_tv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-armor_tv-team_logo_image-5dfa7a826c39d615-300x300.png,Armor_TV,1 members
/team/pixelfamily,/theme/images/avatar.png,Pixel Family,1 members
/team/tryhard,/theme/images/avatar.png,TryHard,1 members
/team/espuma,https://static-cdn.jtvnw.net/jtv_user_pictures/team-espuma-team_logo_image-0a14a04518d4fd4b-300x300.png,Monner Mafiaen,1 members
/team/topanga,https://static-cdn.jtvnw.net/jtv_user_pictures/team-topanga-team_logo_image-c4c58af16c0283b4-300x300.png,Topanga,1 members
/team/cybergamer,https://static-cdn.jtvnw.net/jtv_user_pictures/team-cybergamer-team_logo_image-9aac1683dd2601e5-300x300.png,au.cybergamer.com,1 members
/team/primelive,https://static-cdn.jtvnw.net/jtv_user_pictures/team-primelive-team_logo_image-8d75cce97989ced8-300x300.png,Prime Live,1 members
/team/dusktilldawn,https://static-cdn.jtvnw.net/jtv_user_pictures/team-dusktilldawn-team_logo_image-230b9c04ea4628b9-300x300.png,Mistakes Were Made,1 members
/team/dustloop,https://static-cdn.jtvnw.net/jtv_user_pictures/team-dustloop-team_logo_image-a7d94e71197063a4-300x300.png,Dustloop,1 members
/team/cursetv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-cursetv-team_logo_image-b7ea6df93bc55beb-300x300.png,CurseTV,1 members
/team/mmochampion,/theme/images/avatar.png,MMOChampion,1 members
/team/brvesports,/theme/images/avatar.png,Remo Brave,1 members
/team/teampxg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-teampxg-team_logo_image-3e20c968f3a08400-300x300.png,Panda x Gaming,1 members
/team/ggs,/theme/images/avatar.png,GGs,1 members
/team/pclovers,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pclovers-team_logo_image-2063e71cd174ee35-300x300.png,Platinum Clovers,1 members
/team/epicgames,/theme/images/avatar.png,Epic Games,1 members
/team/hardlyentertainmentgaming,https://static-cdn.jtvnw.net/jtv_user_pictures/team-hardlyentertainmentgaming-team_logo_image-d6cfb72f8c3b9648-300x300.png,Hardly Entertainment Gaming,1 members
/team/kappasquad,/theme/images/avatar.png,Kappa Squad,1 members
/team/thevikingsteam,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thevikingsteam-team_logo_image-6b016103c851081f-300x300.png,Team Vikings,1 members
/team/eegnation,https://static-cdn.jtvnw.net/jtv_user_pictures/team-eegnation-team_logo_image-ae5656cbf57c72b4-300x300.png,GGN,1 members
/team/pridegg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pridegg-team_logo_image-4fb8d98ad21f42af-300x300.png,Sferis PRIDE,1 members
/team/sec,/theme/images/avatar.png,All That Glitters,1 members
/team/battleathletes,https://static-cdn.jtvnw.net/jtv_user_pictures/team-battleathletes-team_logo_image-5442d2aa443b0068-300x300.png,Battle Athletes,1 members
/team/thefamily,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thefamily-team_logo_image-19ed731c7cd3840d-300x300.png,The-Family,1 members
/team/corsetsandstilettos,https://static-cdn.jtvnw.net/jtv_user_pictures/team-corsetsandstilettos-team_logo_image-2735a03d393e2adf-300x300.png,Corsets and Stilettos,1 members
/team/cogumelando,https://static-cdn.jtvnw.net/jtv_user_pictures/team-cogumelando-team_logo_image-5b7fb8703e467288-300x300.png,Cogumelando Network,1 members
/team/theorder,https://static-cdn.jtvnw.net/jtv_user_pictures/team-theorder-team_logo_image-963ba70154e86f4e-300x300.png,The Order,1 members
/team/lolgamecommunity,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lolgamecommunity-team_logo_image-dacbeff397a12743-300x300.png,Powerlust.it,1 members
/team/atrax,https://static-cdn.jtvnw.net/jtv_user_pictures/team-atrax-team_logo_image-b22b75a35eb7d660-300x300.png,AtraX,1 members
/team/singaming,/theme/images/avatar.png,Sin Gaming,1 members
/team/enigma6group,https://static-cdn.jtvnw.net/jtv_user_pictures/team-enigma6group-team_logo_image-53233e362fcad2e2-300x300.png,Enigma6,1 members
/team/detonation,https://static-cdn.jtvnw.net/jtv_user_pictures/team-detonation-team_logo_image-2aa8c9a30010447d-300x300.jpeg,DetonatioN Gaming,1 members
/team/ael,/theme/images/avatar.png,A.E.L,1 members
/team/vodka,https://static-cdn.jtvnw.net/jtv_user_pictures/team-vodka-team_logo_image-f054c585fd8b6d57-300x300.png,vodka,1 members
/team/quarantinetv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-quarantinetv-team_logo_image-fabcdcd0a6dcbb17-300x300.png,QuarantineTV,1 members
/team/parasol,https://static-cdn.jtvnw.net/jtv_user_pictures/team-parasol-team_logo_image-d9852d7d3642c9d4-300x300.jpeg,Parasol,1 members
/team/adeptmedia,/theme/images/avatar.png,Adept Media,1 members
/team/pingeros,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pingeros-team_logo_image-9310a8f05dceb088-300x300.png,Pingeros,1 members
/team/stratsco,https://static-cdn.jtvnw.net/jtv_user_pictures/team-stratsco-team_logo_image-5d50e52f7532ae8c-300x300.png,Strats,1 members
/team/gameover,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gameover-team_logo_image-754b0b464b642c4f-300x300.png,GameOver,1 members
/team/infinityseven,https://static-cdn.jtvnw.net/jtv_user_pictures/team-infinityseven-team_logo_image-63e5c589d221cfd1-300x300.jpeg,Infinity Seven,1 members
/team/team_preparation,/theme/images/avatar.png,Team Preparation,1 members
/team/reunited,https://static-cdn.jtvnw.net/jtv_user_pictures/team-reunited-team_logo_image-de6f7df417ba7759-300x300.png,REUNITED,1 members
/team/team_kappa,https://static-cdn.jtvnw.net/jtv_user_pictures/team-team_kappa-team_logo_image-5d2f625d70f62494-300x300.png,Team Kappa,1 members
/team/bandofstreamers,/theme/images/avatar.png,Band of Streamers,1 members
/team/lzh,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lzh-team_logo_image-69d5d75ec8d7ca8a-300x300.jpeg,Lzuruha,1 members
/team/ezg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-ezg-team_logo_image-a72c354a6b561b30-300x300.jpeg,EZG,1 members
/team/tifursos,https://static-cdn.jtvnw.net/jtv_user_pictures/team-tifursos-team_logo_image-37613ed20183ee1f-300x300.png,TIFURSOS,1 members
/team/rebirth,/theme/images/avatar.png,Rebirth Esports,1 members
/team/cloudbro,/theme/images/avatar.png,CloudBro,1 members
/team/erack,https://static-cdn.jtvnw.net/jtv_user_pictures/team-erack-team_logo_image-5f41a91ec43804eb-300x300.png,Erack Esports,1 members
/team/teamhun,https://static-cdn.jtvnw.net/jtv_user_pictures/team-teamhun-team_logo_image-8085793fd2673c64-300x300.png,Hearthstone Hungary,1 members
/team/ggtv,/theme/images/avatar.png,GGtv,1 members
/team/thewetbandits,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thewetbandits-team_logo_image-347adcca3927983b-300x300.jpeg,The Wet Bandits,1 members
/team/alfierules,/theme/images/avatar.png,Alfierules,1 members
/team/auzom,/theme/images/avatar.png,auzom,1 members
/team/the_lab,https://static-cdn.jtvnw.net/jtv_user_pictures/team-the_lab-team_logo_image-0e11bfba0027c0d6-300x300.jpeg,The Blue Wave,1 members
/team/marathon_gamers,https://static-cdn.jtvnw.net/jtv_user_pictures/team-marathon_gamers-team_logo_image-aed4e31ae84bbfe7-300x300.jpeg,The Marathon Gamers,1 members
/team/viustudio,/theme/images/avatar.png,VIU Studio,1 members
/team/alienhcasting,https://static-cdn.jtvnw.net/jtv_user_pictures/team-alienhcasting-team_logo_image-cc1959cf184f3608-300x300.png,Alien-h Casting,1 members
/team/interwebz,https://static-cdn.jtvnw.net/jtv_user_pictures/team-interwebz-team_logo_image-f9e5d82fb1d75794-300x300.jpeg,Oxide Fan Club,1 members
/team/averageleaguegaming,/theme/images/avatar.png,Average League Gaming,1 members
/team/cosplay,https://static-cdn.jtvnw.net/jtv_user_pictures/team-cosplay-team_logo_image-acfc90913cc9d8f7-300x300.jpeg,The Cosplay Collective,1 members
/team/bsquad,https://static-cdn.jtvnw.net/jtv_user_pictures/team-bsquad-team_logo_image-731275d00adae19f-300x300.png,#BSQUAD,1 members
/team/hardrandom,https://static-cdn.jtvnw.net/jtv_user_pictures/team-hardrandom-team_logo_image-db91936e27c7899e-300x300.jpeg,Hardrandom,1 members
/team/virtuous,https://static-cdn.jtvnw.net/jtv_user_pictures/team-virtuous-team_logo_image-f4f99e0bd7be124b-300x300.png,Virtuous,1 members
/team/geekgamertv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-geekgamertv-team_logo_image-9112b353b3e83bd9-300x300.png,GeekGamer.TV,1 members
/team/pbwgaming,/theme/images/avatar.png,PBW Gaming,1 members
/team/slinkies,https://static-cdn.jtvnw.net/jtv_user_pictures/team-slinkies-team_logo_image-7e25ea3c3b2202a7-300x300.jpeg,The Slinkies,1 members
/team/takeover,https://static-cdn.jtvnw.net/jtv_user_pictures/team-takeover-team_logo_image-7532cad5c1d714aa-300x300.png,TaKeOver,1 members
/team/labaz,https://static-cdn.jtvnw.net/jtv_user_pictures/team-labaz-team_logo_image-0a705711f72dc85c-300x300.png,La BaZ,1 members
/team/no_pants,https://static-cdn.jtvnw.net/jtv_user_pictures/team-no_pants-team_logo_image-67207cc461438ebb-300x300.png,No Pants,1 members
/team/evolution,https://static-cdn.jtvnw.net/jtv_user_pictures/team-evolution-team_logo_image-9412770f6152fdf5-300x300.png,Host,1 members
/team/vake,https://static-cdn.jtvnw.net/jtv_user_pictures/team-vake-team_logo_image-6a6b15d9233b4bd8-300x300.jpeg,VAKEtv,1 members
/team/nbg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-nbg-team_logo_image-c09b80289d6e70ca-300x300.png,NaturalBornGamers,1 members
/team/proplaywatch,https://static-cdn.jtvnw.net/jtv_user_pictures/team-proplaywatch-team_logo_image-86eff28d560365df-300x300.jpeg,Pro Play Watch,1 members
/team/afromask,/theme/images/avatar.png,AfroMaskFamily,1 members
/team/sykostreamernation,https://static-cdn.jtvnw.net/jtv_user_pictures/team-sykostreamernation-team_logo_image-13659415190e014c-300x300.png,Syko Streamer Nation,1 members
/team/lolchile,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lolchile-team_logo_image-b6ad80da256b4944-300x300.png,LOLCHILE,1 members
/team/latgaming,/theme/images/avatar.png,LAT Gaming,1 members
/team/dinahsminions,https://static-cdn.jtvnw.net/jtv_user_pictures/team-dinahsminions-team_logo_image-a4abf08cb1d38b20-300x300.png,Dinahs Minions,1 members
/team/vigil,https://static-cdn.jtvnw.net/jtv_user_pictures/team-vigil-team_logo_image-52a7e89ffd347a19-300x300.jpeg,evac,1 members
/team/gamingcorner,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gamingcorner-team_logo_image-ebbc67b4005a3e98-300x300.png,GamingCorner,1 members
/team/duxter,https://static-cdn.jtvnw.net/jtv_user_pictures/team-duxter-team_logo_image-82a9bb6e987b6641-300x300.png,Duxter #gamerlife,1 members
/team/exilemod,https://static-cdn.jtvnw.net/jtv_user_pictures/team-exilemod-team_logo_image-335de066f96f0f98-300x300.png,Agora,1 members
/team/the_legend_himself,/theme/images/avatar.png,The Legend Himself,1 members
/team/getgoodgaming,https://static-cdn.jtvnw.net/jtv_user_pictures/team-getgoodgaming-team_logo_image-3385f254de922b0c-300x300.png,The Office,1 members
/team/gamerb,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gamerb-team_logo_image-01c407640e9a8a40-300x300.jpeg,GamerB,1 members
/team/firstclass,https://static-cdn.jtvnw.net/jtv_user_pictures/team-firstclass-team_logo_image-1f59f026edbee828-300x300.jpeg,First Class,1 members
/team/arreat,https://static-cdn.jtvnw.net/jtv_user_pictures/team-arreat-team_logo_image-527e84d1a05a0145-300x300.jpeg,arreat.de,1 members
/team/cardboard,/theme/images/avatar.png,A Cardboard Box In The Ocean,1 members
/team/hwagaming,/theme/images/avatar.png,HWA Gaming TV,1 members
/team/teamstrong,/theme/images/avatar.png,Normal Difficulty,1 members
/team/thgit,https://static-cdn.jtvnw.net/jtv_user_pictures/team-thgit-team_logo_image-cec14ae97365c1f1-300x300.png,THGit,1 members
/team/gameshow,https://static-cdn.jtvnw.net/jtv_user_pictures/team-gameshow-team_logo_image-e7694c9a606df9c0-300x300.png,Gameshow,1 members
/team/weouthere,/theme/images/avatar.png,We Out Here,1 members
/team/suomiscape,/theme/images/avatar.png,SuomiScape,1 members
/team/pantherstv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-pantherstv-team_logo_image-48d0e34fcc8fbf7f-300x300.png,PanthersTV,1 members
/team/team3v,https://static-cdn.jtvnw.net/jtv_user_pictures/team-team3v-team_logo_image-c44a159d9398eed5-300x300.jpeg,Veni Vidi Vici - 3V,1 members
/team/havok,https://static-cdn.jtvnw.net/jtv_user_pictures/team-havok-team_logo_image-f24166e65bcff496-300x300.png,HAVOK Gaming,1 members
/team/derpsquad,/theme/images/avatar.png,Derp Squad,1 members
/team/mutheadtv,https://static-cdn.jtvnw.net/jtv_user_pictures/team-mutheadtv-team_logo_image-840b661f780ac363-300x300.png,MutheadTV,1 members
/team/creationesports,https://static-cdn.jtvnw.net/jtv_user_pictures/team-creationesports-team_logo_image-4eaebb46921af55d-300x300.jpeg,Creation eSports,1 members
/team/teamboogey,https://static-cdn.jtvnw.net/jtv_user_pictures/team-teamboogey-team_logo_image-56f0dcbc6fa54998-300x300.png,#TeamBOOGEY,1 members
/team/ultimateteamgamers,https://static-cdn.jtvnw.net/jtv_user_pictures/team-ultimateteamgamers-team_logo_image-5d54c4cdbee35fb9-300x300.png,Ultimate Team Gamers,1 members
/team/novus,https://static-cdn.jtvnw.net/jtv_user_pictures/team-novus-team_logo_image-7bba8b24d7fc0c04-300x300.png,noVus,1 members
/team/socialtronlivenetwork,https://static-cdn.jtvnw.net/jtv_user_pictures/team-socialtronlivenetwork-team_logo_image-5c2fc070c7e66b14-300x300.png,SocialTron Live Network,1 members
/team/alsenteam,https://static-cdn.jtvnw.net/jtv_user_pictures/team-alsenteam-team_logo_image-aa838d999d4fd051-300x300.png,ALSEN-Team,1 members
/team/escgaming,https://static-cdn.jtvnw.net/jtv_user_pictures/team-escgaming-team_logo_image-451c6c32f888bc97-300x300.jpeg,ESC Gaming,1 members
/team/blacklist,https://static-cdn.jtvnw.net/jtv_user_pictures/team-blacklist-team_logo_image-76971d13f290bcaf-300x300.png,Blacklist,1 members
/team/hob,https://static-cdn.jtvnw.net/jtv_user_pictures/team-hob-team_logo_image-a80d8a89f008d0df-300x300.png,Hall of bros,1 members
/team/mlg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-mlg-team_logo_image-952cb8258c2bbacf-300x300.jpeg,Major League Gaming,1 members
/team/ign,/theme/images/avatar.png,IGN,1 members
/team/90gq,/theme/images/avatar.png,Team 90gQ,1 members
/team/primetimegamers,https://static-cdn.jtvnw.net/jtv_user_pictures/team-primetimegamers-team_logo_image-bbc60b75dfcf8cca-300x300.jpeg,PrimeTimeGamers,1 members
/team/cyb0rg,https://static-cdn.jtvnw.net/jtv_user_pictures/team-cyb0rg-team_logo_image-b6867d17b76732f0-300x300.png,CyB0RG,1 members
/team/teamg3x,https://static-cdn.jtvnw.net/jtv_user_pictures/team-teamg3x-team_logo_image-6ed2f5862509933d-300x300.png,g3nerationX,1 members
/team/lbee,https://static-cdn.jtvnw.net/jtv_user_pictures/team-lbee-team_logo_image-851c1d59c392ff68-300x300.jpeg,Liga Brasileira de Esportes Elet,1 members
/team/gamesacademy,/theme/images/avatar.png,Gamers Club,1 members
