title,clue,date,year,answer,day
 ,"""How does it feel ...,"" in Dylan's ""Like a Rolling Stone""", August 11, 2015,CHORUS, Tuesday
 ,In a New York minute, August 11, 2015,ATONCE, Tuesday
 ,Kansas city, August 11, 2015,TOPEKA, Tuesday
 ,Mexican money, August 11, 2015,PESO, Tuesday
 ,Unrefined, August 11, 2015,CRASS, Tuesday
 ,N'awlins sandwich, August 11, 2015,POBOY, Tuesday
 ,Prime draft classification, August 11, 2015,ONEA, Tuesday
 ,Modern alternative to a taxi, August 11, 2015,UBER, Tuesday
 ,Bit of band equipment, August 11, 2015,AMP, Tuesday
 ,Roast pig side dish, August 11, 2015,POI, Tuesday
 ,Oversaw, August 11, 2015,RAN, Tuesday
 ,"Word cried before ""on it"" or ""lost""", August 11, 2015,GET, Tuesday
 ,iPad reading, August 11, 2015,EBOOK, Tuesday
 ,"""Nattering"" sort in a Spiro Agnew speech", August 11, 2015,NABOB, Tuesday
 ,Off-white shade, August 11, 2015,ECRU, Tuesday
 ,Opportunity, August 11, 2015,SHOT, Tuesday
 ,Tide competitor, August 11, 2015,ALL, Tuesday
 ,"___-Lo Green, former coach on ""The Voice""", August 11, 2015,CEE, Tuesday
 ,"Sends to the canvas, for short", August 11, 2015,KOS, Tuesday
 ,Sudden contractions, August 11, 2015,SPASMS, Tuesday
 ,So yesterday, August 11, 2015,OLDHAT, Tuesday
 ,Writer's credit, August 11, 2015,BYLINE, Tuesday
 ,Open-ended threat, August 11, 2015,ORELSE, Tuesday
 ,Part of Hollywood?, August 11, 2015,ROLE, Tuesday
 ,"Stranded during the winter, say", August 11, 2015,ICEDIN, Tuesday
 ,North Dakota city with a nearby Air Force base, August 11, 2015,MINOT, Tuesday
 ,Some inveterate users of steroids, August 11, 2015,HULKS, Tuesday
 ,Go it alone, August 11, 2015,SOLO, Tuesday
 ,Balls, August 11, 2015,ORBS, Tuesday
 ,___-Ball, August 11, 2015,SKEE, Tuesday
 ,A.T.M. requirement, August 11, 2015,PIN, Tuesday
 ,"""___ momento""", August 11, 2015,UNO, Tuesday
 ,Mahmoud Abbas's grp., August 11, 2015,PLO, Tuesday
 ,Smile broadly, August 17, 2015,BEAM, Monday
 ,Fashion designer Christian, August 17, 2015,DIOR, Monday
 ,Outlaw ___ James, August 17, 2015,JESSE, Monday
 ,___ Romeo (Italian car), August 17, 2015,ALFA, Monday
 ,Sicilian peak, August 17, 2015,ETNA, Monday
 ,"Seiji ___, former Boston Symphony director", August 17, 2015,OZAWA, Monday
 ,"Mysteries starting with ""The Tower Treasure"" and ""The House on the Cliff""", August 17, 2015,HARDYBOYSSERIES, Monday
 ,Ski resort vehicle, August 17, 2015,SNOCAT, Monday
 ,"91, to Nero", August 17, 2015,XCI, Monday
 ,Sheltered at sea, August 17, 2015,ALEE, Monday
 ,Soothing stuff, August 17, 2015,ALOE, Monday
 ,Furry TV extraterrestrial, August 17, 2015,ALF, Monday
 ,1968 hit song that spawned a 1978 movie and a 1981 TV show, August 17, 2015,HARPERVALLEYPTA, Monday
 ,"""Float like a butterfly, sting like a bee"" boxer", August 17, 2015,ALI, Monday
 ,"""Rpondez ___ vous plat""", August 17, 2015,SIL, Monday
 ,Become enraged, August 17, 2015,SEERED, Monday
 ,"Comedian/TV host once called the ""Queen of Nice""", August 17, 2015,ROSIE, Monday
 ,"The ""L"" of U.C.L.A.", August 17, 2015,LOS, Monday
 ,Liquid-Plumr rival, August 17, 2015,DRANO, Monday
 ,"""The View"" co-host ___ Shepherd", August 17, 2015,SHERRI, Monday
 ,Forty winks, August 17, 2015,NAP, Monday
 ,"Belle of the ball, for short", August 17, 2015,DEB, Monday
 ,Crimson alumnus, August 17, 2015,HARVARDGRADUATE, Monday
 ,Driveway topper, August 17, 2015,TAR, Monday
 ,"""Help ___ the way!""", August 17, 2015,ISON, Monday
 ,Accusation to Brutus, August 17, 2015,ETTU, Monday
 ,Sine ___ non, August 17, 2015,QUA, Monday
 ,Acme, August 17, 2015,TIPTOP, Monday
 ,"Bit of textspeak, unshortened ... or a hint to the starts of 17-, 27- and 49-Across", August 17, 2015,LAUGHINGOUTLOUD, Monday
 ,"Coleridge's ""___ Khan""", August 17, 2015,KUBLA, Monday
 ,Deborah who was nominated for a record six Best Actress Oscars without ever winning, August 17, 2015,KERR, Monday
 ,Bear in constellation names, August 17, 2015,URSA, Monday
 ,Death row reprieves, August 17, 2015,STAYS, Monday
 ,Very dry, August 17, 2015,SERE, Monday
 ,Comprehends, August 17, 2015,GETS, Monday
 ,Exclamations from Scrooge, August 17, 2015,BAHS, Monday
 ,Pizazz, August 17, 2015,ELAN, Monday
 ,Retro hairstyle, August 17, 2015,AFRO, Monday
 ,Wild and crazy, August 17, 2015,MADCAP, Monday
 ,Ones owing money, August 17, 2015,DEBTORS, Monday
 ,"""Who am ___ judge?""", August 17, 2015,ITO, Monday
 ,Jet-black gem, August 17, 2015,ONYX, Monday
 ,Little troublemaker, August 17, 2015,RASCAL, Monday
 ,Baseball's DiMaggio, August 17, 2015,JOE, Monday
 ,Biblical prophet, August 17, 2015,EZRA, Monday
 ,Go wherever the wind blows?, August 17, 2015,SAIL, Monday
 ,___'Pea (Popeye's kid), August 17, 2015,SWEE, Monday
 ,"Military order, after ""at""", August 17, 2015,EASE, Monday
 ,Where Bill and Hillary Clinton met, August 17, 2015,YALE, Monday
 ,Window ledges, August 17, 2015,SILLS, Monday
 ,Wicked, August 17, 2015,EVIL, Monday
 ,"Oats, for a horse", August 17, 2015,FEED, Monday
 ,Like Siberian winters, August 17, 2015,HARSH, Monday
 ,2015 rom-com set in Hawaii, August 17, 2015,ALOHA, Monday
 ,Staircase part, August 17, 2015,RISER, Monday
 ,"""I knew it all ___!""", August 17, 2015,ALONG, Monday
 ,"""So's ___ old man!""", August 17, 2015,YER, Monday
 ,Gucci alternative, August 17, 2015,PRADA, Monday
 ,Founding principle, August 17, 2015,TENET, Monday
 ,Pueblo brick, August 17, 2015,ADOBE, Monday
 ,"___ Cross, first African-American full-time sports analyst on national TV", August 17, 2015,IRV, Monday
 ,"The ""E"" of Q.E.D.", August 17, 2015,ERAT, Monday
 ,Hindu dress, August 17, 2015,SARI, Monday
 ,Baghdad native, August 17, 2015,IRAQI, Monday
 ,Grazing land, August 17, 2015,PASTURE, Monday
 ,Sots, August 17, 2015,DRUNKS, Monday
 ,"""Just ___"" (Nike slogan)", August 17, 2015,DOIT, Monday
 ,"Go acoustic, informally", August 17, 2015,UNPLUG, Monday
 ,Antlered animals, August 17, 2015,ELKS, Monday
 ,Like a rope during a tug-of-war match, August 17, 2015,TAUT, Monday
 ,Marching band instrument, August 17, 2015,TUBA, Monday
 ,Hideous, August 17, 2015,UGLY, Monday
 ,"""A Death in the Family"" writer James", August 17, 2015,AGEE, Monday
 ,Shredded, August 17, 2015,TORE, Monday
 ,"Remove, as in a coup", August 17, 2015,OUST, Monday
 ,"Multipurpose hand-held devices, for short", August 17, 2015,PDAS, Monday
 ,"""Elvis ___ left the building""", August 17, 2015,HAS, Monday
 ,Bobby of the N.H.L., August 17, 2015,ORR, Monday
 ,Israeli city on the slopes of Mount Carmel, August 13, 2015,HAIFA, Thursday
 ,Gossiped, August 13, 2015,JAWED, Thursday
 ,"""___ La La"" (1964 hit)", August 13, 2015,SHA, Thursday
 ,Visibly terrified, August 13, 2015,ASHEN, Thursday
 ,Redolence, August 13, 2015,AROMA, Thursday
 ,Beldam, August 13, 2015,HAG, Thursday
 ,"12:05 to 12:20 p.m., maybe", August 13, 2015,SHORTLUNCHBREAK, Thursday
 ,Kind of dye, August 13, 2015,AZO, Thursday
 ,Jazz (up), August 13, 2015,PEP, Thursday
 ,Bit of letter-shaped hardware on a door, August 13, 2015,HHINGE, Thursday
 ,"Nordic name meaning ""young warrior""", August 13, 2015,SVEN, Thursday
 ,Approval indication, August 13, 2015,SEAL, Thursday
 ,Diner, August 13, 2015,EATERY, Thursday
 ,Electrician's tool, August 13, 2015,PLIERS, Thursday
 ,Biddy, August 13, 2015,OLDBAT, Thursday
 ,"Caleb who wrote ""The Italian Secretary""", August 13, 2015,CARR, Thursday
 ,European river whose tributaries include the Wigger and the Emme, August 13, 2015,AARE, Thursday
 ,Bit of misfortune, August 13, 2015,BADBREAK, Thursday
 ,"A couple weeks off partying in Florida, say", August 13, 2015,SPRINGBREAKVACATION, Thursday
 ,Any singer in the lead role of 41-Across, August 13, 2015,DIVA, Thursday
 ,Its final scene is set in a tomb, August 13, 2015,AIDA, Thursday
 ,"""Casablanca"" role", August 13, 2015,ILSA, Thursday
 ,Real go-getters, August 13, 2015,TIGERS, Thursday
 ,Haunting presences, August 13, 2015,GHOSTS, Thursday
 ,"The Bat-Signal, e.g.", August 13, 2015,BEACON, Thursday
 ,"""Trs ___""", August 13, 2015,BIEN, Thursday
 ,Start to fill a pot, August 13, 2015,ANTE, Thursday
 ,"Where Bethesda, Md., and Alexandria, Va., are", August 13, 2015,DCAREA, Thursday
 ,One of the Bushes, August 13, 2015,JEB, Thursday
 ,Prefix with code or color, August 13, 2015,UNI, Thursday
 ,Series of ads on TV or radio, August 13, 2015,COMMERCIALBREAK, Thursday
 ,"The Black Keys of rock, e.g.", August 13, 2015,DUO, Thursday
 ,Nestful, August 13, 2015,BROOD, Thursday
 ,Mouthwash instruction, August 13, 2015,RINSE, Thursday
 ,"""Some rise by ___, and some by virtue fall"": Shak.", August 13, 2015,SIN, Thursday
 ,Decaf option, August 13, 2015,SANKA, Thursday
 ,Under stress, August 13, 2015,TAXED, Thursday
 ,Padlock holder, August 13, 2015,HASP, Thursday
 ,Queens stadium eponym, August 13, 2015,ASHE, Thursday
 ,Chain with links, August 13, 2015,IHOP, Thursday
 ,Sword: Fr., August 13, 2015,FER, Thursday
 ,Flower part, August 13, 2015,ANTHER, Thursday
 ,Daring escape, August 13, 2015,JAILBREAK, Thursday
 ,Give ___ for one's money, August 13, 2015,ARUN, Thursday
 ,"""The World of Suzie ___"" (1957 novel)", August 13, 2015,WONG, Thursday
 ,Like an awards ceremony, August 13, 2015,EMCEED, Thursday
 ,Morse T, August 13, 2015,DAH, Thursday
 ,"Rookie officers, in slang", August 13, 2015,SHAVETAILS, Thursday
 ,One being rough on plebes, August 13, 2015,HAZER, Thursday
 ,Hell, August 13, 2015,AGONY, Thursday
 ,Like the Potala Palace of Tibet, August 13, 2015,LHASAN, Thursday
 ,"It might include the line ""You're listening to WABC""", August 13, 2015,STATIONBREAK, Thursday
 ,"Turning point in a tennis match, maybe", August 13, 2015,SERVICEBREAK, Thursday
 ,"Group whose first U.S. hit was ""Waterloo""", August 13, 2015,ABBA, Thursday
 ,Windows can be found on them, August 13, 2015,PCS, Thursday
 ,"Pacific force, for short", August 13, 2015,LAPD, Thursday
 ,"The pea, in ""The Princess and the Pea""", August 13, 2015,IRRITATION, Thursday
 ,Big purveyor of fishing gear, August 13, 2015,ORVIS, Thursday
 ,Heavy metal, August 13, 2015,LEAD, Thursday
 ,Chef's thickening agent, August 13, 2015,AGAR, Thursday
 ,"What cometh after thou, maybe", August 13, 2015,DOST, Thursday
 ,Plotter with Roderigo, August 13, 2015,IAGO, Thursday
 ,Displaying more craft, August 13, 2015,CAGIER, Thursday
 ,"""If I Ruled the World"" rapper", August 13, 2015,NAS, Thursday
 ,"Witch on ""Bewitched""", August 13, 2015,ENDORA, Thursday
 ,Lover's hurt, August 13, 2015,HEARTBREAK, Thursday
 ,Transmission-related units, August 13, 2015,BAUDS, Thursday
 ,Yawns might suggest this, August 13, 2015,ENNUI, Thursday
 ,Dutch city where Charles II lived in exile, August 13, 2015,BREDA, Thursday
 ,"""Hurry up!""", August 13, 2015,CMON, Thursday
 ,Uncontrollably, August 13, 2015,AMOK, Thursday
 ,"Saying ""There's no way we can lose now,"" say", August 13, 2015,JINX, Thursday
 ,No trouble, August 13, 2015,EASE, Thursday
 ,Drained, August 13, 2015,BLED, Thursday
 ,___ Sports, August 13, 2015,CBS, Thursday
 ,"World Factbook publisher, for short", August 13, 2015,CIA, Thursday
 ,Complain loudly, August 18, 2015,YAWP, Tuesday
 ,"""Proud"" ones with cigars", August 18, 2015,PAPAS, Tuesday
 ,Cheek, August 18, 2015,SASS, Tuesday
 ,Iridescent stone, August 18, 2015,OPAL, Tuesday
 ,Prince Valiant's love, August 18, 2015,ALETA, Tuesday
 ,___ Reader, August 18, 2015,UTNE, Tuesday
 ,*Left the flock, August 18, 2015,GONEASTRAY, Tuesday
 ,Greek earth goddess, August 18, 2015,GAEA, Tuesday
 ,Kind of test for newborns, August 18, 2015,APGAR, Tuesday
 ,"""___ Bangs"" (Ricky Martin hit)", August 18, 2015,SHE, Tuesday
 ,"___ Sea, victim of Soviet irrigation projects", August 18, 2015,ARAL, Tuesday
 ,*Walk out, August 18, 2015,STAGEASTRIKE, Tuesday
 ,Tenor Carreras, August 18, 2015,JOSE, Tuesday
 ,Catcher's catch off a batter's bat, August 18, 2015,FOULTIP, Tuesday
 ,Part of an oval, August 18, 2015,ARC, Tuesday
 ,Competitor's lament, August 18, 2015,ILOST, Tuesday
 ,"Kyle ___, ""The Terminator"" hero", August 18, 2015,REESE, Tuesday
 ,*Like baking dough, August 18, 2015,YEASTY, Tuesday
 ,*Sumptuous spreads, August 18, 2015,FEASTS, Tuesday
 ,"Crashes, with ""out""", August 18, 2015,ZONKS, Tuesday
 ,Got by word of mouth, August 18, 2015,HEARD, Tuesday
 ,"Word that, spelled backward, can be a clue for itself", August 18, 2015,PAT, Tuesday
 ,Stalemate, August 18, 2015,IMPASSE, Tuesday
 ,Prefix with diluvian, August 18, 2015,ANTE, Tuesday
 ,*Half of a brother/sister dance duo, August 18, 2015,ADELEASTAIRE, Tuesday
 ,Laze, August 18, 2015,LOLL, Tuesday
 ,Inits. for Windy City commuters, August 18, 2015,CTA, Tuesday
 ,"Loosen, as a knot", August 18, 2015,UNTIE, Tuesday
 ,"Leon who wrote ""The Haj""", August 18, 2015,URIS, Tuesday
 ,World hot spot ... or a hint to the answers to the starred clues, August 18, 2015,MIDDLEEAST, Tuesday
 ,Labyrinth, August 18, 2015,MAZE, Tuesday
 ,"""That's ___""", August 18, 2015,AMORE, Tuesday
 ,Mass-market furniture company, August 18, 2015,IKEA, Tuesday
 ,Furniture strip, August 18, 2015,SLAT, Tuesday
 ,Homes for warblers and wasps, August 18, 2015,NESTS, Tuesday
 ,Two of diamonds?, August 18, 2015,DEES, Tuesday
 ,Exercise discipline, August 18, 2015,YOGA, Tuesday
 ,Individually, August 18, 2015,APOP, Tuesday
 ,First computer company to run an ad during the Super Bowl, August 18, 2015,WANG, Tuesday
 ,"Entreaty that may follow ""pretty""", August 18, 2015,PLEASE, Tuesday
 ,Faux ___, August 18, 2015,PAS, Tuesday
 ,PC key, August 18, 2015,ALT, Tuesday
 ,Slayer of Medusa, August 18, 2015,PERSEUS, Tuesday
 ,Stopped, August 18, 2015,ATAHALT, Tuesday
 ,"Speak, in the Bible", August 18, 2015,SAYEST, Tuesday
 ,Legume with an edible pod, August 18, 2015,SUGARPEA, Tuesday
 ,Game company with a Japanese name, August 18, 2015,ATARI, Tuesday
 ,Weasel, August 18, 2015,SNEAK, Tuesday
 ,Bobby who co-founded the Black Panther Party, August 18, 2015,SEALE, Tuesday
 ,"The ""A"" of MoMA", August 18, 2015,ART, Tuesday
 ,Wouldn't hurt ___, August 18, 2015,AFLY, Tuesday
 ,Wet gunk, August 18, 2015,GOO, Tuesday
 ,Hackneyed, August 18, 2015,TIRED, Tuesday
 ,Rapper born Shawn Corey Carter, August 18, 2015,JAYZ, Tuesday
 ,Product first released by the National Biscuit Company in 1912, August 18, 2015,OREO, Tuesday
 ,"Survey with binoculars, say", August 18, 2015,SCAN, Tuesday
 ,Informal identification, August 18, 2015,ITSME, Tuesday
 ,Sister company of ABC, August 18, 2015,ESPN, Tuesday
 ,"Runs, hits or errors, for short", August 18, 2015,STAT, Tuesday
 ,Villa d'___, August 18, 2015,ESTE, Tuesday
 ,Everything one can do, August 18, 2015,SKILLSET, Tuesday
 ,Without cost: Ger., August 18, 2015,FREI, Tuesday
 ,Isn't at the deadline yet, August 18, 2015,HASTIME, Tuesday
 ,"Tabasco and Chihuahua, in Mxico", August 18, 2015,ESTADOS, Tuesday
 ,Cool ___ cucumber, August 18, 2015,ASA, Tuesday
 ,"Game with a ""perfect score"" of 3,333,360", August 18, 2015,PACMAN, Tuesday
 ,Source of the Trojan horse story, August 18, 2015,AENEID, Tuesday
 ,Grads, August 18, 2015,ALUMS, Tuesday
 ,Miami golf resort, August 18, 2015,DORAL, Tuesday
 ,"Slave woman in ""Uncle Tom's Cabin""", August 18, 2015,ELIZA, Tuesday
 ,"""The Murders in the ___ Morgue""", August 18, 2015,RUE, Tuesday
 ,Grab, August 18, 2015,TAKE, Tuesday
 ,"""Mm-hmm""", August 18, 2015,ISEE, Tuesday
 ,"Data for airport chauffeurs, for short", August 18, 2015,ETAS, Tuesday
 ,Richard Gere title role, August 18, 2015,DRT, Tuesday
 ,French article, August 18, 2015,LES, Tuesday
AS IT WERE,Engaged, August 16, 2015,AFFIANCED, Sunday
AS IT WERE,"Jacques who was ""alive and well and living in Paris""", August 16, 2015,BREL, Sunday
AS IT WERE,Island near the Mariana Trench, August 16, 2015,GUAM, Sunday
AS IT WERE,Pueblo Indian rite, August 16, 2015,RAINDANCE, Sunday
AS IT WERE,Places for light gatherings?, August 16, 2015,ATRIA, Sunday
AS IT WERE,Mario who played Enrico Caruso, August 16, 2015,LANZA, Sunday
AS IT WERE,*Pricey wrap, August 16, 2015,MINKSTOLE, Sunday
AS IT WERE,*Triple Crown winner who himself sired a Kentucky Derby winner, August 16, 2015,SEATTLESLEW, Sunday
AS IT WERE,"When repeated, an aerobics class cry", August 16, 2015,STEP, Sunday
AS IT WERE,___ bar, August 16, 2015,TAPAS, Sunday
AS IT WERE,New faces, August 16, 2015,STRANGERS, Sunday
AS IT WERE,Rejecting higher authority?, August 16, 2015,ATHEISTIC, Sunday
AS IT WERE,Dodger manager with two World Series rings, August 16, 2015,LASORDA, Sunday
AS IT WERE,Shout from the crow's-nest, August 16, 2015,LANDHO, Sunday
AS IT WERE,Seminary subj., August 16, 2015,REL, Sunday
AS IT WERE,Giggle syllable, August 16, 2015,HEE, Sunday
AS IT WERE,Prefix with state, August 16, 2015,TRI, Sunday
AS IT WERE,"""___ seen enough!""", August 16, 2015,IVE, Sunday
AS IT WERE,"""Skedaddle!""", August 16, 2015,OUT, Sunday
AS IT WERE,Impressed with, August 16, 2015,TAKENBY, Sunday
AS IT WERE,Village V.I.P., August 16, 2015,ELDER, Sunday
AS IT WERE,*Carpenter's tool with a cord, August 16, 2015,POWERSAW, Sunday
AS IT WERE,"""Dogs""", August 16, 2015,WIENIES, Sunday
AS IT WERE,Single, August 16, 2015,LONE, Sunday
AS IT WERE,Black rock, August 16, 2015,ONYX, Sunday
AS IT WERE,White-tailed raptor, August 16, 2015,ERNE, Sunday
AS IT WERE,Dad-blasted, August 16, 2015,DRATTED, Sunday
AS IT WERE,Fed. property agency, August 16, 2015,GSA, Sunday
AS IT WERE,Black ___, August 16, 2015,OPS, Sunday
AS IT WERE,Half a Beatles title, August 16, 2015,OBLADI, Sunday
AS IT WERE,"Like the telecast of the 1954 Rose Bowl parade, notably", August 16, 2015,INCOLOR, Sunday
AS IT WERE,"___ Macmillan, 1950s-'60s British P.M.", August 16, 2015,HAROLD, Sunday
AS IT WERE,Plants above the timberline, August 16, 2015,ALPINES, Sunday
AS IT WERE,Skin conditioners, August 16, 2015,TONERS, Sunday
AS IT WERE,Ungainly, August 16, 2015,AWKWARD, Sunday
AS IT WERE,Identified, August 16, 2015,PEGGED, Sunday
