answer,title,clue
FOURTEENPOINTS,"New York Times, Wednesday, April 20, 2016","Proposal of Woodrow Wilson ... or what the scoring values of 18-, 27-, 55- and 66-Across total"
SEENAT,"New York Times, Wednesday, April 20, 2016",Spotted attending
NORAD,"New York Times, Wednesday, April 20, 2016",Santa-tracking org.
ARC,"New York Times, Wednesday, April 20, 2016",Multi-episode story line
ISH,"New York Times, Thursday, April 21, 2016","""More or less"""
MOPPED,"New York Times, Thursday, April 21, 2016","Handled the last details of, with ""up"""
ANNOTATE,"New York Times, Thursday, April 21, 2016",Mark up
UPROOT,"New York Times, Thursday, April 21, 2016","Harvest, perhaps"
MASSAGER,"New York Times, Thursday, April 21, 2016",One rubbing you the right way?
DROWNS,"New York Times, Thursday, April 21, 2016",Is overwhelmed
BLUEGRASSDATE,"New York Times, Thursday, April 21, 2016",Romantic night in Kentucky?
ALGA,"""TEE"" TIME",Bit of pond slime
HES,"""TEE"" TIME",Chaps
ERE,"""TEE"" TIME","""Able was I ___ I saw Elba"""
OEDS,"""TEE"" TIME",Brit. reference sets
ENAMOR,"""TEE"" TIME",Captivate
JOIN,"""TEE"" TIME",Bridge
PANTYHANDLER,"""TEE"" TIME",Victoria's Secret job description?
GRANT,"New York Times, Thursday, April 28, 2016",50s president
EDGINESS,"New York Times, Friday, April 22, 2016",What a pacer may be experiencing
ENOS,"New York Times, Friday, April 22, 2016",Project Mercury primate
RARE,"New York Times, Friday, April 22, 2016","Still red, say"
NENE,"New York Times, Friday, April 22, 2016",Flier not found in 49 states
CONGA,"New York Times, Friday, April 22, 2016",Conform to the party line?
PEDI,"New York Times, Friday, April 22, 2016","Salon job, for short"
FIVEAM,"New York Times, Friday, April 29, 2016",Graveyard hour
SAG,"New York Times, Saturday, April 23, 2016",Lose support
DECOR,"New York Times, Saturday, April 23, 2016",Look inside
HESSE,"New York Times, Saturday, April 23, 2016","""The Glass Bead Game"" author"
IDES,"New York Times, Saturday, April 23, 2016","10/15, e.g."
DATASET,"New York Times, Saturday, April 23, 2016",Table material
MINIM,"New York Times, Wednesday, April 27, 2016",Tiniest bit
NOS,"New York Times, Wednesday, April 27, 2016",Denials
LAGO,"New York Times, Wednesday, April 27, 2016",Body of agua
VENETO,"New York Times, Wednesday, April 27, 2016",Rome's Via ___
ISAKDINESEN,"New York Times, Wednesday, April 27, 2016","Pen name of the female author of ""Out of Africa"""
BEDIMS,"New York Times, Wednesday, April 27, 2016",Makes hazy
WEE,"New York Times, Wednesday, April 27, 2016",Tiny
ARID,"New York Times, Wednesday, April 27, 2016",Not getting much rain
KITE,"New York Times, Monday, April 25, 2016",Toy with a tail
ITIN,"New York Times, Monday, April 25, 2016","""Get ___ writing"""
LEROI,"New York Times, Monday, April 25, 2016","""Vive ___!"" (old French cry)"
ADIN,"New York Times, Monday, April 25, 2016",Score after deuce
BONO,"New York Times, Monday, April 25, 2016",U2 lead singer
LANTZ,"New York Times, Monday, April 25, 2016",Walter who created Woody Woodpecker
BOTTOMROW,"New York Times, Monday, April 25, 2016","64-, 65- and 66-Across, in this puzzle"
STEAMROLLER,"New York Times, Monday, April 25, 2016",Heavy vehicle that smooths a road surface
ERA,"New York Times, Monday, April 25, 2016",Time in history
EAR,"New York Times, Wednesday, April 20, 2016",Canal zone?
OOF,"New York Times, Wednesday, April 20, 2016",Grunt upon hoisting something heavy
WILE,"New York Times, Wednesday, April 20, 2016",___ E. Coyote
FOULSHOT,"New York Times, Wednesday, April 20, 2016",Basketball scoring play
SLED,"New York Times, Thursday, April 21, 2016","Vehicle in ""Frozen"""
ELHI,"New York Times, Thursday, April 21, 2016",Textbook market shorthand
HERBS,"New York Times, Thursday, April 21, 2016",Savory and sage
UTE,"New York Times, Thursday, April 21, 2016",Sport-___
ELK,"New York Times, Thursday, April 21, 2016",Venison source
GEEK,"New York Times, Thursday, April 21, 2016",Nerd (out)
REPRO,"""TEE"" TIME","Copy, briefly"
HALER,"""TEE"" TIME",In better shape
HAIL,"""TEE"" TIME",Weather forecast that's hard to predict?
SAD,"""TEE"" TIME",Low
HATPIN,"""TEE"" TIME",Milliner's accessory
ICETEA,"""TEE"" TIME",Lemonade go-with in an Arnold Palmer
DELL,"""TEE"" TIME",Farmer's place
RISOTTOS,"""TEE"" TIME",Some trattoria orders
RENTALS,"""TEE"" TIME",Landlord's business
ROPE,"New York Times, Thursday, April 28, 2016",Rappeller's need
PES,"New York Times, Thursday, April 28, 2016","Foot, to Flavius"
AURIC,"New York Times, Thursday, April 28, 2016",Goldfinger's first name
SENAT,"New York Times, Thursday, April 28, 2016",French assembly
ADE,"New York Times, Thursday, April 28, 2016",Stand buy
JABBA,"New York Times, Thursday, April 28, 2016","""Return of the Jedi"" villain"
BIRTHDAY,"New York Times, Friday, April 22, 2016",Hallmark occasion
DRAGON,"New York Times, Friday, April 22, 2016","Chinese Fireball or Norwegian Ridgeback, in Harry Potter"
OVARIES,"New York Times, Friday, April 22, 2016",Reproductive couple
JETBLACK,"New York Times, Friday, April 29, 2016",Dark as dark can be
ACADIA,"New York Times, Friday, April 29, 2016","Nova Scotia, once"
INREASON,"New York Times, Friday, April 29, 2016",Not excessively
BYLINE,"New York Times, Friday, April 29, 2016",A ghostwriter isn't given one
ROT,"New York Times, Saturday, April 23, 2016",Garbage
NAFTA,"New York Times, Saturday, April 23, 2016",Acronym in 1990s news
RUM,"New York Times, Saturday, April 23, 2016",Ingredient in a Dark 'n' Stormy
OHARAS,"New York Times, Saturday, April 23, 2016",1936 novel family
EASE,"New York Times, Wednesday, April 27, 2016","Bed of roses, so to speak"
ACHES,"New York Times, Wednesday, April 27, 2016",Has a yen (for)
ROBERTGALBRAITH,"New York Times, Wednesday, April 27, 2016","Pen name of the female author of ""The Cuckoo's Calling"""
ESSAY,"New York Times, Wednesday, April 27, 2016","Written contest entry, say"
ASTA,"New York Times, Wednesday, April 27, 2016",Terrier of old whodunits
RENO,"New York Times, Wednesday, April 27, 2016",Attorney general parodied by Ferrell
ELS,"New York Times, Monday, April 25, 2016",Ernie of the P.G.A.
OEO,"New York Times, Monday, April 25, 2016",Antipoverty agcy.
ERR,"New York Times, Monday, April 25, 2016",Goof up
OBI,"New York Times, Monday, April 25, 2016",Samurai sash
TESS,"New York Times, Monday, April 25, 2016","___ Trueheart, Dick Tracy's love"
MMLI,"New York Times, Monday, April 25, 2016",The year 2051
SPIT,"New York Times, Monday, April 25, 2016",Rotisserie rod
CSI,"New York Times, Monday, April 25, 2016","TV series with ""NY,"" ""Miami"" and ""Cyber"" spinoffs"
NONSELF,"New York Times, Wednesday, April 20, 2016",Material that is foreign to the body
RATA,"New York Times, Wednesday, April 20, 2016",Pro ___
ONEPART,"New York Times, Wednesday, April 20, 2016",Cocktail recipe phrase
DOE,"New York Times, Wednesday, April 20, 2016","A deer, a female deer"
AREYOU,"New York Times, Wednesday, April 20, 2016","Question in response to ""I am"""
WOODY,"New York Times, Thursday, April 21, 2016","Friend of Buzz in ""Toy Story"""
PLEASEDAY,"New York Times, Thursday, April 21, 2016","""Come on, Doris""?"
ARI,"New York Times, Thursday, April 21, 2016","Gold of ""Entourage"""
PAL,"New York Times, Thursday, April 21, 2016",One you might hang with
NYE,"New York Times, Thursday, April 21, 2016",Nevada county with part of Death Valley National Monument
ORE,"New York Times, Thursday, April 21, 2016",Rocky subject?
FALSEDART,"New York Times, Thursday, April 21, 2016",Counterfeit Dodge?
SOAR,"""TEE"" TIME",Wing it?
COVEYS,"""TEE"" TIME",Groups of quail
EDGY,"""TEE"" TIME",Avant-garde
BATTYMOBILE,"""TEE"" TIME",Gulf Coast port that's gone bonkers?
LIZA,"""TEE"" TIME",Multitalented Minnelli
THESAURUS,"New York Times, Thursday, April 28, 2016",See 27-Across
TUBAS,"New York Times, Thursday, April 28, 2016",Big brass
AVATAR,"New York Times, Thursday, April 28, 2016",Online identity
ERGONOMIC,"New York Times, Thursday, April 28, 2016",Like some office furniture
ITALO,"New York Times, Thursday, April 28, 2016",Writer Calvino
ROGETS,"New York Times, Thursday, April 28, 2016","With 17-Across, reference book for a writer"
OVAL,"New York Times, Thursday, April 28, 2016",Like the heads of many hairbrushes
NAILGUN,"New York Times, Friday, April 22, 2016",Sharp shooter?
ZYDECO,"New York Times, Friday, April 22, 2016",Music style featuring accordions
SOLOISTS,"New York Times, Friday, April 22, 2016",They play by themselves
OLIN,"New York Times, Friday, April 22, 2016","Co-star of TV's ""thirtysomething"""
WILES,"New York Times, Friday, April 22, 2016",Trickery
GOODTIME,"New York Times, Friday, April 29, 2016",Ball
SUET,"New York Times, Friday, April 29, 2016",Haggis ingredient
SUP,"New York Times, Friday, April 29, 2016","""What's hangin'?"""
IDEA,"New York Times, Friday, April 29, 2016",It comes to a head
STE,"New York Times, Friday, April 29, 2016","Ursule, e.g.: Abbr."
IDTAG,"New York Times, Friday, April 29, 2016",Means of tracking wildlife
SNERD,"New York Times, Friday, April 29, 2016",Old radio dummy
STARGAZE,"New York Times, Saturday, April 23, 2016","Wander around Hollywood, maybe"
ROLEXES,"New York Times, Saturday, April 23, 2016",Banded status symbols
STDENIS,"New York Times, Saturday, April 23, 2016",Paris suburb that holds the tombs of numerous Fr. monarchs
EYELEVEL,"New York Times, Saturday, April 23, 2016",Ideal height for some contact
SMERSH,"New York Times, Saturday, April 23, 2016",Counterintelligence grp. in 007 novels
ESP,"New York Times, Wednesday, April 27, 2016","It's a ""gift"""
RIPSAW,"New York Times, Wednesday, April 27, 2016",Coarse-toothed tool
GEORGEELIOT,"New York Times, Wednesday, April 27, 2016","Pen name of the female author of ""Silas Marner"""
REBORN,"New York Times, Wednesday, April 27, 2016",Having new energy
ANNA,"New York Times, Wednesday, April 27, 2016",Fashion editor Wintour
YES,"New York Times, Wednesday, April 27, 2016",Affirmative
ESTREET,"New York Times, Monday, April 25, 2016",Thoroughfare in the name of Springsteen's band
MRINBETWEEN,"New York Times, Monday, April 25, 2016","""Don't mess with"" him, per an old song lyric ... or a hint to 18-, 20-, 55- and 58-Across"
FOUNDER,"New York Times, Monday, April 25, 2016",College or company starter
EDY,"New York Times, Monday, April 25, 2016",Big name in ice cream
CLUB,"New York Times, Monday, April 25, 2016",Putter or 9-iron
HYPE,"New York Times, Monday, April 25, 2016",Promotional hoopla
TOUCHDOWN,"New York Times, Wednesday, April 20, 2016",Football scoring play
MISERS,"New York Times, Wednesday, April 20, 2016",Real keepers?
ROTE,"New York Times, Wednesday, April 20, 2016",Mechanical repetition
RUES,"New York Times, Wednesday, April 20, 2016",Laments
ENTREE,"New York Times, Wednesday, April 20, 2016",Main course
AROD,"New York Times, Wednesday, April 20, 2016",Yankee nickname beginning in 2004
ETRE,"New York Times, Wednesday, April 20, 2016",Raison d'___
TAGGING,"New York Times, Wednesday, April 20, 2016","Identifying, on Facebook"
WEREWOLF,"New York Times, Wednesday, April 20, 2016",Lycanthrope
WINDY,"New York Times, Thursday, April 21, 2016",Blusterous
ETTE,"New York Times, Thursday, April 21, 2016",Relative of -ess
DYE,"New York Times, Thursday, April 21, 2016","Frosting ingredient, often"
GNC,"New York Times, Thursday, April 21, 2016",Vitamin World competitor
REYES,"New York Times, Thursday, April 21, 2016",Carlos y Juan Carlos
TRAUMA,"""TEE"" TIME",Source of add-on damages in a lawsuit
SETI,"""TEE"" TIME",___ Institute (astronomers' org.)
SCH,"New York Times, Thursday, April 28, 2016","Duke, e.g.: Abbr."
ELOI,"New York Times, Thursday, April 28, 2016","Morlock victims, in science fiction"
NANAS,"New York Times, Thursday, April 28, 2016",Spoilers?
WESTEND,"New York Times, Thursday, April 28, 2016",London theater district
EASTMAN,"New York Times, Thursday, April 28, 2016",Inventor of roll film
SIFTS,"New York Times, Thursday, April 28, 2016",Sorts (through)
AIRY,"New York Times, Thursday, April 28, 2016",Very light
EACH,"New York Times, Friday, April 22, 2016",A unit
ANOS,"New York Times, Friday, April 22, 2016",Years abroad
PUMA,"New York Times, Friday, April 22, 2016",Moose predator
CATHOLIC,"New York Times, Friday, April 22, 2016",Broad in tastes
FINER,"New York Times, Friday, April 22, 2016",Like silt vis--vis sand
AGO,"New York Times, Friday, April 22, 2016",Years ___
LIVEALITTLE,"New York Times, Friday, April 22, 2016","""Have some fun!"""
FUR,"New York Times, Friday, April 22, 2016",Fox coverage that may be controversial?
EMERGENCIES,"New York Times, Friday, April 22, 2016",What shoulders are often used for
HAMSTERWHEEL,"New York Times, Friday, April 29, 2016",Squeaker in a cage
OREL,"New York Times, Friday, April 29, 2016",City on the Oka River
LES,"New York Times, Friday, April 29, 2016",Arles article
TROVE,"New York Times, Friday, April 29, 2016",Lucky strike
PENALTY,"New York Times, Friday, April 29, 2016",Result of holding or hooking
HEAVING,"New York Times, Friday, April 29, 2016",Shot-putter's activity
SUMMA,"New York Times, Friday, April 29, 2016",Latin word on a diploma
FOR,"New York Times, Friday, April 29, 2016",Dedicated to
MAS,"New York Times, Saturday, April 23, 2016",Partners of 58-Across
VEGAS,"New York Times, Saturday, April 23, 2016","""CSI"" setting"
ESA,"New York Times, Saturday, April 23, 2016",Intl. org. that was the first to land a probe on a comet (2014)
RAREBIT,"New York Times, Saturday, April 23, 2016",Cheese dish
EMMA,"New York Times, Saturday, April 23, 2016","Novel character with ""a comfortable home and happy disposition"""
TOGAS,"New York Times, Saturday, April 23, 2016",Some party wear
LATHE,"New York Times, Saturday, April 23, 2016",Shop item
PAS,"New York Times, Saturday, April 23, 2016",Partners of 44-Across
ANIMA,"New York Times, Wednesday, April 27, 2016","Inner self, to Jung"
ANDYSTACK,"New York Times, Wednesday, April 27, 2016",Pen name of the female author of True Detective stories
SITES,"New York Times, Wednesday, April 27, 2016",Travel guide listings
ICE,"New York Times, Wednesday, April 27, 2016",Cryophobe's fear
CIRRI,"New York Times, Wednesday, April 27, 2016",Wispy clouds
PESOS,"New York Times, Wednesday, April 27, 2016",Cash in Baja
REX,"New York Times, Wednesday, April 27, 2016",Traditional dog name
ASHE,"New York Times, Monday, April 25, 2016",Court legend Arthur
OUR,"New York Times, Monday, April 25, 2016","Thornton Wilder's ""___ Town"""
AMO,"New York Times, Monday, April 25, 2016","""I love,"" to a Latin lover"
OZS,"New York Times, Monday, April 25, 2016",Sixteenths of lbs.
TOG,"New York Times, Monday, April 25, 2016",Dress (up)
LMN,"New York Times, Monday, April 25, 2016",K-O connector
ORATORIO,"New York Times, Wednesday, April 20, 2016","Handel's ""Messiah,"" for one"
SON,"New York Times, Wednesday, April 20, 2016",Male delivery
WASHME,"New York Times, Wednesday, April 20, 2016",Words finger-drawn on a dirty car
AFLOAT,"New York Times, Wednesday, April 20, 2016",Not sinking
CRAM,"New York Times, Wednesday, April 20, 2016","Study all night, say"
OOMPH,"New York Times, Wednesday, April 20, 2016",Vigor
GOODTOGO,"New York Times, Wednesday, April 20, 2016",All set
ETTU,"New York Times, Thursday, April 21, 2016","""I thought you had my back!"""
EBBS,"New York Times, Thursday, April 21, 2016",Decreases
CHILDRENSDORY,"New York Times, Thursday, April 21, 2016",Fishing boat at summer camp?
TBOONE,"New York Times, Thursday, April 21, 2016",Pickens who's a 33-Down
INSTORES,"New York Times, Thursday, April 21, 2016",Not sold on TV or online
YEOMEN,"New York Times, Thursday, April 21, 2016",Title figures in a Gilbert and Sullivan opera
ETHERNET,"New York Times, Thursday, April 21, 2016",Alternative to Wi-Fi
RENEWS,"New York Times, Thursday, April 21, 2016",Doesn't let lapse
ORBITER,"""TEE"" TIME",NASA vehicle
CHOWMEIN,"""TEE"" TIME","Literally, ""fried noodles"""
RAMP,"""TEE"" TIME",Help for motorcycle daredevils
SANEST,"""TEE"" TIME",Having the most marbles
PIECES,"""TEE"" TIME",List for a recital
PEA,"""TEE"" TIME",Word with green or brain
ROLO,"""TEE"" TIME",Hershey chocolate-and-caramel candy
BESTS,"""TEE"" TIME",Personal highs
EBB,"New York Times, Thursday, April 28, 2016",Go out
OTTO,"New York Times, Thursday, April 28, 2016",Cleveland Browns great Graham
SARDIS,"New York Times, Thursday, April 28, 2016",Manhattan eatery since 1927
PIQUE,"New York Times, Thursday, April 28, 2016",Resentment
TURNSTILE,"New York Times, Thursday, April 28, 2016",Subway entrance
EES,"New York Times, Friday, April 22, 2016",Some M.I.T. deg. holders
SPREADSHEET,"New York Times, Friday, April 22, 2016",It has many cells
SMOTE,"New York Times, Friday, April 22, 2016","Hit, old-style"
MARIN,"New York Times, Friday, April 22, 2016",Sausalito's county
ADDTO,"New York Times, Friday, April 22, 2016",Increase
REELS,"New York Times, Friday, April 22, 2016",Casting needs
TYRE,"New York Times, Friday, April 22, 2016",Roller on a carriageway
ERGO,"New York Times, Friday, April 29, 2016",Conclusion lead-in
PASSIONFRUIT,"New York Times, Friday, April 29, 2016",Tropical smoothie flavor
TABOO,"New York Times, Friday, April 29, 2016","Double-dipping, e.g."
UNDER,"New York Times, Friday, April 29, 2016",Answering to
ARABIA,"New York Times, Saturday, April 23, 2016","""Aladdin"" setting"
MARSBARS,"New York Times, Saturday, April 23, 2016",Chocolaty treats introduced in 1932
LAZBOY,"New York Times, Saturday, April 23, 2016",Piece of den furniture
BROMANCE,"New York Times, Saturday, April 23, 2016",Relationship in many a Seth Rogen film
ELAINE,"New York Times, Saturday, April 23, 2016","Sitcom character whose dancing is described as ""a full-body dry heave"""
ANNUM,"New York Times, Wednesday, April 27, 2016","15-Across, e.g."
CHEN,"New York Times, Wednesday, April 27, 2016","""Big Brother"" host Julie"
HALO,"New York Times, Wednesday, April 27, 2016",Prop at a Christmas play
AILS,"New York Times, Wednesday, April 27, 2016",Has a bug
SKI,"New York Times, Wednesday, April 27, 2016",Boot attachment
MUSLIM,"New York Times, Wednesday, April 27, 2016",Five Pillars adherent
PALMREADING,"New York Times, Monday, April 25, 2016",Means of fortunetelling
AMFMRADIO,"New York Times, Monday, April 25, 2016",Audio feature that comes standard on cars
RILED,"New York Times, Monday, April 25, 2016",Provoked
DOUR,"New York Times, Monday, April 25, 2016",Gloomy
MENU,"New York Times, Monday, April 25, 2016","Card with the headings ""Appetizers,"" ""Entrees"" and ""Desserts"""
ANTSY,"New York Times, Monday, April 25, 2016",Overly anxious
AXLE,"New York Times, Monday, April 25, 2016",Rotating car part
HID,"New York Times, Wednesday, April 20, 2016",Concealed
OLDER,"New York Times, Wednesday, April 20, 2016",Word at the bottom of a blog page
SCORIA,"New York Times, Wednesday, April 20, 2016",Dark volcanic rock
TUNICS,"New York Times, Wednesday, April 20, 2016",Loose garb in ancient Rome
SOY,"New York Times, Thursday, April 21, 2016",Tempeh base
MEDS,"New York Times, Thursday, April 21, 2016","Pharmacy stock, informally"
LAMBS,"New York Times, Thursday, April 21, 2016",Innocents
INALL,"New York Times, Thursday, April 21, 2016",Completely
BANKS,"""TEE"" TIME",Targets of the Dodd-Frank Act
REALTYNUMBER,"""TEE"" TIME","Three houses flipped this week, e.g.?"
JOSS,"""TEE"" TIME","Whedon who directed 2012's ""The Avengers"""
WEIRDO,"""TEE"" TIME",Nut
TSAR,"""TEE"" TIME",Khan : Mongolia :: ___ : Russia
CAM,"""TEE"" TIME",N.F.L. QB Newton
DAB,"""TEE"" TIME",Little bit
SPOUTS,"New York Times, Thursday, April 28, 2016",Teakettle parts
TOLLS,"New York Times, Thursday, April 28, 2016",Peals
YOO,"New York Times, Friday, April 22, 2016",___-hoo
PUN,"New York Times, Friday, April 22, 2016",Many a Weird Al Yankovic title
ALLERGY,"New York Times, Friday, April 22, 2016",Cause of a rash response?
NOIDEA,"New York Times, Friday, April 22, 2016","""Got me"""
SNO,"New York Times, Friday, April 29, 2016",___ Balls
ALOE,"New York Times, Friday, April 29, 2016",Healing helper
SNL,"New York Times, Friday, April 29, 2016","Show that's earned more than 40 Emmys, in brief"
EASE,"New York Times, Friday, April 29, 2016",Lack of anxiety
SORTDATA,"New York Times, Friday, April 29, 2016",Spreadsheet function
TERCET,"New York Times, Friday, April 29, 2016",Sonnet-ending unit
THERAVEN,"New York Times, Friday, April 29, 2016","72 of its 108 lines end in ""-ore"" sounds"
ASBESTOS,"New York Times, Saturday, April 23, 2016",Frowned-upon construction material
ROSSI,"New York Times, Saturday, April 23, 2016",Portia de ___ (Ellen DeGeneres's wife)
OMEGA,"New York Times, Wednesday, April 27, 2016",Last in a series
ALLOK,"New York Times, Wednesday, April 27, 2016","""No problem here"""
TIL,"New York Times, Wednesday, April 27, 2016","Up to, informally"
CAMENEAR,"New York Times, Wednesday, April 27, 2016",Approached
ALINE,"New York Times, Wednesday, April 27, 2016",Dior dress style
VINES,"New York Times, Wednesday, April 27, 2016",Trellis climbers
SRIS,"New York Times, Monday, April 25, 2016",Mumbai titles
HASTE,"New York Times, Monday, April 25, 2016",Proverbial waste maker
ALLSET,"New York Times, Monday, April 25, 2016",Completely ready
BEATLE,"New York Times, Monday, April 25, 2016","John, Paul, George or Ringo"
ARNESS,"New York Times, Monday, April 25, 2016","James of ""Gunsmoke"""
ABED,"New York Times, Tuesday, May 3, 2016",Laid up
FACEPLANT,"New York Times, Saturday, April 30, 2016",Result of a bad trip
SPECKS,"New York Times, Wednesday, April 20, 2016",Little bits
DCI,"New York Times, Wednesday, April 20, 2016",Cicero's 601
EATUP,"New York Times, Wednesday, April 20, 2016",Readily accept
JANUS,"New York Times, Wednesday, April 20, 2016",Two-faced Roman god
TIEIN,"New York Times, Wednesday, April 20, 2016",Many a Happy Meal toy
AREA,"New York Times, Wednesday, April 20, 2016",Neck of the woods
TREES,"New York Times, Wednesday, April 20, 2016",Golf course obstacles
ENSUE,"New York Times, Thursday, April 21, 2016",Occur subsequently
NOSEDUD,"New York Times, Thursday, April 21, 2016",Failure to sneeze?
IAGREE,"New York Times, Thursday, April 21, 2016","""Hear, hear!"""
STEAL,"New York Times, Thursday, April 21, 2016",Take home ... in more ways than one?
HERSHEL,"New York Times, Thursday, April 21, 2016","___ Greene, character on ""The Walking Dead"""
MUDD,"New York Times, Thursday, April 21, 2016",Harvey ___ College
ARCH,"""TEE"" TIME",Feature of the western end of the Champs-lyses
RIPTIDE,"""TEE"" TIME",Surfer's worry
BUSTYFARE,"""TEE"" TIME",Hooters menu?
PILE,"""TEE"" TIME",Nap
GUANOS,"""TEE"" TIME",Cave deposits
WHITESALE,"New York Times, Thursday, April 28, 2016",Annual department store event
OOMPH,"New York Times, Thursday, April 28, 2016",Zip
TET,"New York Times, Thursday, April 28, 2016",Asian holiday
SEVER,"New York Times, Thursday, April 28, 2016",Cut off
PUPAE,"New York Times, Thursday, April 28, 2016",Ones in cocoons
ERS,"New York Times, Thursday, April 28, 2016",Oral hesitations
YEWS,"New York Times, Thursday, April 28, 2016",Topiary trees
FORAGE,STELLAR WORK,Grass and such
TONG,"New York Times, Friday, April 22, 2016","Pick up, as ice cubes"
SKEIN,"New York Times, Friday, April 22, 2016",Crocheter's purchase
GREENEGGS,"New York Times, Friday, April 22, 2016",Title food in children's literature
PASSEDOUT,"New York Times, Friday, April 22, 2016",Crashed
AMPS,"New York Times, Friday, April 22, 2016",Tour gear
STMARK,"New York Times, Friday, April 29, 2016","""The Evangelist"" of Christianity"
EASYREAD,"New York Times, Friday, April 29, 2016",Book that doesn't require much time or thought
EVENSO,"New York Times, Friday, April 29, 2016","""But still ..."""
FAB,"New York Times, Friday, April 29, 2016",Dynamite
ICYSTARES,"New York Times, Friday, April 29, 2016",Hostile looks
VALUEMENU,"New York Times, Friday, April 29, 2016",A 99 burger may be on it
AHEAD,"New York Times, Saturday, April 23, 2016",In the future
GINGERALES,"New York Times, Saturday, April 23, 2016",Some home remedies
EDD,"New York Times, Saturday, April 23, 2016",Hall of fame on TV
QUAD,"New York Times, Saturday, April 23, 2016",Learning center
UNWED,"New York Times, Saturday, April 23, 2016","Like all contestants on ""The Bachelor"""
INACAN,"New York Times, Saturday, April 23, 2016",How soda may be sold
TOYOTAS,"New York Times, Saturday, April 23, 2016","Highlanders, e.g."
GST,"New York Times, Saturday, April 23, 2016",Astronomers' std.
EVITE,"New York Times, Wednesday, April 27, 2016",Party notice that lands in your inbox
DEMON,"New York Times, Wednesday, April 27, 2016",Possessive spirit
BASSET,"New York Times, Wednesday, April 27, 2016",Hound variety
VIE,"New York Times, Wednesday, April 27, 2016",Go head-to-head
